Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti01.png and 9 others,3,53.588008880615234,3.3330180106834937,54.60619926452637,53.017616271972656,51.651716232299805,53.789615631103516,51.683664321899414,57.69467353820801,52.277326583862305,54.904937744140625,52.63876914978027,53.615570068359375,20.42,2.861777777777777,18.6,22.0,19.5,21.4,21.4,20.0,20.0,20.5,17.5,23.3,10.7,2.0644444444444443,7.4,9.0,10.3,11.3,11.2,11.7,11.2,11.8,11.3,11.8
resize,Video1,./data/Video1/Confetti01.png and 9 others,3,0.8166627883911133,0.001469894253508149,0.7897186279296875,0.8757114410400391,0.8047389984130859,0.8605384826660156,0.8417701721191406,0.7517337799072266,0.8276176452636719,0.7978630065917969,0.7811260223388672,0.8358097076416016,99.44,3.1359999999999935,100.0,100.0,100.0,94.4,100.0,100.0,100.0,100.0,100.0,100.0,10.7,2.031111111111111,7.5,8.9,10.3,11.3,11.2,11.7,11.2,11.8,11.3,11.8
rotate,Video1,./data/Video1/Confetti01.png and 9 others,3,1.218369483947754,0.002142820146925967,1.2006187438964844,1.176290512084961,1.2274169921875,1.2778472900390625,1.2389087677001953,1.1651802062988281,1.2340068817138672,1.2493896484375,1.14044189453125,1.2735939025878906,13.66,5.289333333333333,12.5,13.0,12.5,16.0,16.0,13.0,12.5,16.0,9.1,16.0,10.7,2.031111111111111,7.5,8.9,10.3,11.3,11.2,11.7,11.2,11.8,11.3,11.8
mirror,Video1,./data/Video1/Confetti01.png and 9 others,3,0.43327903747558594,0.0009761256418035676,0.39145469665527344,0.4360008239746094,0.4891395568847656,0.45452117919921875,0.3998756408691406,0.4266929626464844,0.44864654541015625,0.4065895080566406,0.4148292541503906,0.4650402069091797,12.79,8.123222222222223,12.5,20.0,10.0,12.5,12.5,12.5,11.1,14.3,12.5,10.0,10.7,2.031111111111111,7.5,8.9,10.3,11.3,11.2,11.7,11.2,11.8,11.3,11.8
contour,Video1,./data/Video1/Confetti01.png and 9 others,3,3.364461898803711,0.00587043079172468,3.3079051971435547,3.5459232330322266,3.2983875274658203,3.3089447021484375,3.3903121948242188,3.326692581176758,3.304615020751953,3.4185028076171875,3.354959487915039,3.388376235961914,26.86,3.395999999999999,24.6,29.2,25.8,27.3,30.0,24.2,27.3,25.8,27.5,26.9,10.7,2.031111111111111,7.5,8.9,10.3,11.3,11.2,11.7,11.2,11.8,11.3,11.8
contrastRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,1.1379013061523438,5.754664420641752e-05,1.1237621307373047,1.13616943359375,1.141510009765625,1.1307907104492188,1.1368560791015625,1.1455917358398438,1.139373779296875,1.1468029022216797,1.1317634582519531,1.146392822265625,13.06,0.035999999999999956,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.6,10.71,1.9610000000000003,7.6,8.9,10.3,11.3,11.2,11.7,11.2,11.8,11.3,11.8
brightnessRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,50.858473777770996,16.48286479962735,54.639577865600586,41.400909423828125,51.86915397644043,49.85976219177246,50.024986267089844,55.82380294799805,49.356937408447266,54.65197563171387,50.867319107055664,50.09031295776367,16.349999999999998,2.0494444444444433,14.0,15.6,14.6,17.5,17.9,17.4,16.2,18.2,16.7,15.4,10.62,1.6928888888888887,7.7,8.9,10.4,11.3,11.2,11.1,11.2,11.2,11.4,11.8
gaussianBlur,Video1,./data/Video1/Confetti01.png and 9 others,3,0.1776266098022461,0.00010890726621760728,0.18044471740722656,0.1692485809326172,0.171966552734375,0.18009185791015625,0.18555641174316406,0.17785072326660156,0.16147613525390625,0.1931476593017578,0.16602516174316406,0.1904582977294922,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.63,1.629,7.8,8.9,10.4,11.3,11.2,11.1,11.2,11.2,11.4,11.8
meanThresh,Video1,./data/Video1/Confetti01.png and 9 others,3,2.1969823837280273,0.00030174853539695806,2.1969223022460938,2.2165489196777344,2.2095298767089844,2.189760208129883,2.1689605712890625,2.215557098388672,2.1791553497314453,2.1890926361083984,2.2188758850097656,2.1854209899902344,12.66,2.2404444444444445,11.6,11.4,11.6,15.9,11.9,11.4,13.6,11.9,13.3,14.0,10.63,1.629,7.8,8.9,10.4,11.3,11.2,11.1,11.2,11.2,11.4,11.8
gradientSobel,Video1,./data/Video1/Confetti01.png and 9 others,3,3.385730743408203,0.04861777884798357,3.2036781311035156,3.7450122833251953,3.371753692626953,3.3251380920410156,3.3199310302734375,3.2528209686279297,3.2019901275634766,3.794126510620117,3.4640026092529297,3.178853988647461,13.41,1.5543333333333333,12.7,12.2,12.1,15.2,15.2,12.5,12.5,14.5,12.9,14.3,10.63,1.629,7.8,8.9,10.4,11.3,11.2,11.1,11.2,11.2,11.4,11.8
