Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video3,./data/Video3/Talk10.png and 9 others,3,7.755202293395996,0.03070218306371923,8.14488410949707,7.839393615722656,7.727479934692383,7.800884246826172,7.534637451171875,7.606954574584961,7.657642364501953,7.8467559814453125,7.794551849365234,7.598838806152344,5.03,45.89566666666666,13.5,13.8,15.3,0.0,0.0,0.0,0.0,0.0,7.7,0.0,60.69,0.012111111111111109,60.4,60.7,60.7,60.8,60.7,60.7,60.7,60.7,60.7,60.8
resize,Video3,./data/Video3/Talk10.png and 9 others,3,0.2550773620605469,0.0008683219534254426,0.32744407653808594,0.22604942321777344,0.2509498596191406,0.24682998657226562,0.23899078369140625,0.2764415740966797,0.25839805603027344,0.22611618041992188,0.24596214294433594,0.25359153747558594,10.19,276.4987777777778,0.0,28.6,40.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,60.74,0.0026666666666663634,60.7,60.7,60.7,60.8,60.7,60.8,60.8,60.7,60.7,60.8
rotate,Video3,./data/Video3/Talk10.png and 9 others,3,0.17046451568603516,2.5010927452563516e-05,0.18004417419433594,0.1714038848876953,0.1645183563232422,0.16904830932617188,0.1673126220703125,0.1691913604736328,0.16727447509765625,0.16836166381835938,0.16887664794921875,0.17861366271972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.74,0.0026666666666663634,60.7,60.7,60.7,60.8,60.7,60.8,60.8,60.7,60.7,60.8
mirror,Video3,./data/Video3/Talk10.png and 9 others,3,0.0692739486694336,2.253039585614008e-05,0.0814056396484375,0.06879806518554688,0.06588935852050781,0.06744384765625,0.065765380859375,0.06744384765625,0.06567955017089844,0.06847381591796875,0.0691986083984375,0.07264137268066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.74,0.0026666666666663634,60.7,60.7,60.7,60.8,60.7,60.8,60.8,60.7,60.7,60.8
contour,Video3,./data/Video3/Talk10.png and 9 others,3,0.7782840728759766,0.016054569439600326,0.49503326416015625,0.8463573455810547,0.8565998077392578,0.8146762847900391,0.7370376586914062,0.8591651916503906,0.8535671234130859,0.8956050872802734,0.6234836578369141,0.8013153076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.730000000000004,0.002333333333333068,60.7,60.7,60.7,60.8,60.7,60.8,60.8,60.7,60.7,60.7
contrastRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,0.19159603118896484,0.0001315006263919511,0.22327423095703125,0.193634033203125,0.1889514923095703,0.18800735473632812,0.18947601318359375,0.18951416015625,0.18416404724121094,0.18698692321777344,0.1879119873046875,0.18404006958007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.730000000000004,0.002333333333333068,60.7,60.7,60.7,60.8,60.7,60.8,60.8,60.7,60.7,60.7
brightnessRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,5.0951128005981445,3.1307230568937587,10.07223129272461,5.252275466918945,4.310770034790039,4.3286895751953125,4.497919082641602,4.55235481262207,4.560565948486328,4.384241104125977,4.402713775634766,4.589366912841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.76,0.0026666666666663634,60.7,60.7,60.8,60.8,60.7,60.8,60.8,60.7,60.8,60.8
gaussianBlur,Video3,./data/Video3/Talk10.png and 9 others,3,0.11294937133789062,4.446956558644565e-05,0.09799957275390625,0.10776519775390625,0.11556625366210938,0.121307373046875,0.11648178100585938,0.118560791015625,0.11279106140136719,0.11740684509277344,0.11104583740234375,0.11056900024414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.76,0.0026666666666663634,60.7,60.7,60.8,60.8,60.7,60.8,60.8,60.7,60.8,60.8
meanThresh,Video3,./data/Video3/Talk10.png and 9 others,3,0.32075977325439453,0.0003957278234641611,0.3670787811279297,0.32627105712890625,0.3310394287109375,0.3070068359375,0.30356407165527344,0.3033256530761719,0.3296375274658203,0.31180381774902344,0.30300140380859375,0.32486915588378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.76,0.0026666666666663634,60.7,60.7,60.8,60.8,60.7,60.8,60.8,60.7,60.8,60.8
gradientSobel,Video3,./data/Video3/Talk10.png and 9 others,3,0.5052738189697266,0.0025344425982135967,0.5763149261474609,0.37911415100097656,0.49880027770996094,0.5058002471923828,0.5125141143798828,0.5214405059814453,0.5409908294677734,0.5052852630615234,0.49591064453125,0.5165672302246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.76,0.0026666666666663634,60.7,60.7,60.8,60.8,60.7,60.8,60.8,60.7,60.8,60.8
computeHistogram,Video3,./data/Video3/Talk10.png and 9 others,3,0.15378761291503906,0.00021970190169263838,0.14375686645507812,0.16379356384277344,0.16663551330566406,0.16176223754882812,0.14888763427734375,0.11859893798828125,0.1534748077392578,0.15092849731445312,0.16147613525390625,0.1685619354248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.76,0.0026666666666663634,60.7,60.7,60.8,60.8,60.7,60.8,60.8,60.7,60.8,60.8
computeCanny,Video3,./data/Video3/Talk10.png and 9 others,3,4.91123104095459,0.027929937590063975,4.65611457824707,5.152883529663086,4.946279525756836,5.080232620239258,4.727926254272461,4.9800872802734375,4.873561859130859,5.083761215209961,4.749555587768555,4.861907958984375,1.3800000000000001,19.043999999999997,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,60.730000000000004,0.002333333333333068,60.7,60.7,60.7,60.7,60.7,60.8,60.8,60.7,60.8,60.7
detectSift,Video3,./data/Video3/Talk10.png and 9 others,3,59.21192169189453,4.864541751380279,63.935279846191406,59.964895248413086,59.27300453186035,60.15777587890625,57.90400505065918,56.92911148071289,58.062076568603516,57.14011192321777,61.30194664001465,57.45100975036621,3.54,65.08488888888888,0.0,0.0,0.0,0.0,24.2,11.2,0.0,0.0,0.0,0.0,60.82,0.01733333333333307,60.7,60.7,61.0,61.0,60.7,60.8,60.8,60.7,60.8,61.0
detectSurf,Video3,./data/Video3/Talk10.png and 9 others,3,33.12680721282959,44.15789945508348,51.93305015563965,30.23076057434082,31.727075576782227,31.269073486328125,30.217885971069336,30.71904182434082,31.20899200439453,32.41109848022461,30.305147171020508,31.245946884155273,16.06,940.5448888888887,0.0,0.0,0.0,0.0,76.7,70.6,13.3,0.0,0.0,0.0,60.76,0.00933333333333303,60.7,60.7,60.7,60.7,60.7,60.8,60.8,60.7,60.8,61.0
goodFeatures,Video3,./data/Video3/Talk10.png and 9 others,3,3.8976516723632812,0.09651641469342091,3.7929916381835938,3.802957534790039,3.86688232421875,3.7805747985839844,3.7262439727783203,3.78143310546875,4.765758514404297,3.779315948486328,3.9322853088378906,3.7480735778808594,1.01,10.201,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,60.79,0.007666666666666459,60.7,60.7,60.8,60.8,60.8,60.8,60.8,60.7,60.8,61.0
