Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess6.png and 9 others,3,13.020110130310059,34.081907656021336,29.633760452270508,11.155366897583008,11.100053787231445,11.120080947875977,11.128902435302734,11.246442794799805,11.093854904174805,11.261463165283203,11.328458786010742,11.13271713256836,13.08,27.337333333333333,4.2,11.1,20.0,11.1,11.1,11.1,11.1,20.0,11.1,20.0,19.95,0.25388888888888833,18.6,19.7,19.9,20.1,20.2,20.2,20.2,20.2,20.2,20.2
resize,Video4,./data/Video4/Chess6.png and 9 others,3,2.7353382110595703,47.20451860228221,22.289276123046875,0.5668449401855469,0.5615997314453125,0.5624675750732422,0.5546379089355469,0.5617904663085938,0.5653858184814453,0.55938720703125,0.5652332305908203,0.5667591094970703,70.39,630.8321111111111,0.0,80.0,71.4,83.3,77.8,80.0,70.0,81.8,77.8,81.8,19.95,0.25388888888888833,18.6,19.7,19.9,20.1,20.2,20.2,20.2,20.2,20.2,20.2
rotate,Video4,./data/Video4/Chess6.png and 9 others,3,1.9213829040527344,19.631895278067127,14.531612396240234,0.5321311950683594,0.5130100250244141,0.518646240234375,0.5186557769775391,0.5099582672119141,0.5164146423339844,0.5155086517333984,0.5322933197021484,0.5255985260009766,10.49,23.30322222222222,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,18.2,16.7,19.95,0.25388888888888833,18.6,19.7,19.9,20.1,20.2,20.2,20.2,20.2,20.2,20.2
mirror,Video4,./data/Video4/Chess6.png and 9 others,3,0.2573385238647461,0.0017519301854918012,0.37497520446777344,0.2538013458251953,0.24066925048828125,0.2364826202392578,0.25183677673339844,0.24547576904296875,0.2505016326904297,0.2457427978515625,0.24011611938476562,0.23378372192382812,14.59,65.03877777777778,12.5,20.0,0.0,20.0,20.0,20.0,16.7,16.7,20.0,0.0,19.95,0.25388888888888833,18.6,19.7,19.9,20.1,20.2,20.2,20.2,20.2,20.2,20.2
contour,Video4,./data/Video4/Chess6.png and 9 others,3,3.3162803649902344,57.61005271802989,24.918079376220703,0.9315681457519531,0.8818912506103516,0.9359264373779297,0.9321022033691406,0.9432315826416016,0.9158134460449219,0.9193706512451172,0.9021663665771484,0.8826541900634766,38.2,76.99777777777778,16.7,40.0,37.5,45.0,41.2,42.1,38.9,35.3,35.3,50.0,19.95,0.25388888888888833,18.6,19.7,19.9,20.1,20.2,20.2,20.2,20.2,20.2,20.2
contrastRandomization,Video4,./data/Video4/Chess6.png and 9 others,3,0.8223543167114258,0.0017142924854043587,0.9130287170410156,0.8039569854736328,0.8043193817138672,0.8052444458007812,0.8009529113769531,0.8045291900634766,0.8030509948730469,0.7991600036621094,0.8024024963378906,0.8868980407714844,12.55,1.5338888888888893,15.8,11.8,12.5,12.5,12.5,12.5,12.5,11.8,12.5,11.1,19.96,0.22488888888888897,18.7,19.7,19.9,20.1,20.2,20.2,20.2,20.2,20.2,20.2
brightnessRandomization,Video4,./data/Video4/Chess6.png and 9 others,3,22.980546951293945,28.74923478278409,38.10930252075195,19.525766372680664,21.437406539916992,21.98624610900879,21.4540958404541,22.1097469329834,21.33321762084961,21.55447006225586,21.106481552124023,21.188735961914062,15.22,45.43288888888889,6.9,27.8,11.8,11.8,12.5,12.5,26.3,12.5,12.5,17.6,20.05,0.2516666666666671,18.7,19.8,20.1,20.1,20.3,20.3,20.3,20.3,20.3,20.3
gaussianBlur,Video4,./data/Video4/Chess6.png and 9 others,3,1.4533119201660156,16.897948483181406,13.152599334716797,0.155487060546875,0.15793800354003906,0.15165328979492188,0.15048980712890625,0.1545238494873047,0.15321731567382812,0.1559734344482422,0.14936447143554688,0.1518726348876953,90.83,840.889,8.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.05,0.2516666666666671,18.7,19.8,20.1,20.1,20.3,20.3,20.3,20.3,20.3,20.3
meanThresh,Video4,./data/Video4/Chess6.png and 9 others,3,4.256736755371094,93.87646403164075,31.831979751586914,1.1875152587890625,1.1926937103271484,1.1650276184082031,1.2377452850341797,1.1692142486572266,1.2350940704345703,1.1655139923095703,1.1936759948730469,1.1889076232910156,11.74,21.700444444444447,0.0,12.5,16.7,13.0,12.5,13.0,16.0,12.5,12.5,8.7,20.05,0.2516666666666671,18.7,19.8,20.1,20.1,20.3,20.3,20.3,20.3,20.3,20.3
gradientSobel,Video4,./data/Video4/Chess6.png and 9 others,3,3.5003833770751953,56.865313585529094,24.962186813354492,1.114511489868164,1.1126708984375,1.1159229278564453,1.116323471069336,1.1202812194824219,1.116933822631836,1.1142158508300781,1.114654541015625,1.1161327362060547,11.29,4.294333333333333,9.5,13.6,13.0,9.5,9.1,13.0,13.0,9.5,9.1,13.6,20.05,0.2516666666666671,18.7,19.8,20.1,20.1,20.3,20.3,20.3,20.3,20.3,20.3
