Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess4.png and 9 others,3,16.559338569641113,0.5044250814181497,18.53013038635254,16.64566993713379,16.29805564880371,16.536474227905273,16.349315643310547,16.254901885986328,16.139745712280273,16.162872314453125,16.414403915405273,16.261816024780273,28.05,44.84277777777777,28.6,28.6,28.6,28.6,16.7,33.3,33.3,16.7,37.5,28.6,24.759999999999998,0.2026666666666664,23.5,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.0,25.0
resize,Video4,./data/Video4/Chess4.png and 9 others,3,0.9673442840576172,0.014118768825331548,1.2739372253417969,0.9125137329101562,0.9121036529541016,0.9102344512939453,0.9173774719238281,0.9444046020507812,0.9122371673583984,0.9051513671875,1.0719013214111328,0.9135818481445312,98.09,16.25877777777777,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,90.9,100.0,24.77,0.17566666666666608,23.6,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.0,25.0
rotate,Video4,./data/Video4/Chess4.png and 9 others,3,0.6980447769165039,0.022013810304189165,1.1142730712890625,0.6468391418457031,0.6308841705322266,0.6473255157470703,0.6337070465087891,0.6491184234619141,0.6312179565429688,0.6406784057617188,0.713653564453125,0.6727504730224609,30.69,76.20544444444444,50.0,28.6,28.6,28.6,16.7,28.6,28.6,28.6,40.0,28.6,24.78,0.1817777777777773,23.6,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.1,25.0
mirror,Video4,./data/Video4/Chess4.png and 9 others,3,0.2649822235107422,0.0016347126438631676,0.32820701599121094,0.26442527770996094,0.21193504333496094,0.2259349822998047,0.2845287322998047,0.2245330810546875,0.294952392578125,0.2247142791748047,0.2956867218017578,0.2949047088623047,31.66,444.6671111111111,66.7,0.0,50.0,33.3,33.3,50.0,25.0,33.3,0.0,25.0,24.78,0.1817777777777773,23.6,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.1,25.0
contour,Video4,./data/Video4/Chess4.png and 9 others,3,1.3747930526733398,0.01911018355511058,1.6232490539550781,1.3453865051269531,1.298065185546875,1.3678550720214844,1.2582206726074219,1.2717914581298828,1.3180065155029297,1.3248729705810547,1.6365623474121094,1.3039207458496094,52.74,164.67600000000004,72.2,61.1,53.8,45.5,53.8,45.5,50.0,33.3,72.2,40.0,24.78,0.1817777777777773,23.6,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.1,25.0
contrastRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,0.6714200973510742,0.0035868554682060173,0.7607460021972656,0.6496524810791016,0.6501579284667969,0.6373023986816406,0.6425189971923828,0.6387138366699219,0.6482696533203125,0.6390762329101562,0.8051872253417969,0.6425762176513672,29.79,103.501,42.9,28.6,28.6,28.6,16.7,28.6,28.6,16.7,50.0,28.6,24.79,0.15655555555555564,23.7,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.1,25.0
brightnessRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,23.485803604125977,7.118149409911388,29.839277267456055,20.66206932067871,21.869421005249023,23.22554588317871,22.536516189575195,22.293806076049805,22.77684211730957,22.82881736755371,26.421308517456055,22.40443229675293,33.57,134.22455555555555,50.0,28.6,33.3,30.0,25.0,33.3,22.2,30.0,58.3,25.0,24.89,0.15877777777777768,23.8,24.8,24.9,25.0,25.0,25.0,25.1,25.0,25.2,25.1
gaussianBlur,Video4,./data/Video4/Chess4.png and 9 others,3,0.23295116424560547,0.0025942614845714867,0.287017822265625,0.21071434020996094,0.20793914794921875,0.2092456817626953,0.20969390869140625,0.21017074584960938,0.2124309539794922,0.20940780639648438,0.36055564880371094,0.21233558654785156,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.88,0.18400000000000027,23.7,24.8,24.9,25.0,25.0,25.0,25.1,25.0,25.2,25.1
meanThresh,Video4,./data/Video4/Chess4.png and 9 others,3,1.247039794921875,0.012391855735687487,1.2244319915771484,1.210031509399414,1.2059402465820312,1.2121963500976562,1.205587387084961,1.211843490600586,1.2059688568115234,1.2303733825683594,1.5628242492675781,1.2012004852294922,27.83,80.08899999999998,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,53.3,25.0,24.88,0.18400000000000027,23.7,24.8,24.9,25.0,25.0,25.0,25.1,25.0,25.2,25.1
gradientSobel,Video4,./data/Video4/Chess4.png and 9 others,3,1.4399137496948242,0.003926487593667439,1.409769058227539,1.4118289947509766,1.4215564727783203,1.4226245880126953,1.4148330688476562,1.4378929138183594,1.4063835144042969,1.4522361755371094,1.6134452819824219,1.4085674285888672,26.96,15.900444444444444,28.6,23.1,21.4,21.4,26.7,26.7,28.6,31.2,33.3,28.6,24.89,0.19211111111111148,23.7,24.8,24.9,25.0,25.0,25.0,25.1,25.0,25.3,25.1
computeHistogram,Video4,./data/Video4/Chess4.png and 9 others,3,0.47812747955322266,0.00039550498917782935,0.47301292419433594,0.47173500061035156,0.47087669372558594,0.4720115661621094,0.470428466796875,0.47168731689453125,0.4751396179199219,0.47107696533203125,0.5345916748046875,0.4707145690917969,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.87,0.17788888888888926,23.7,24.8,24.9,25.0,25.0,25.0,25.1,25.0,25.1,25.1
computeCanny,Video4,./data/Video4/Chess4.png and 9 others,3,6.485347747802734,0.02469057764958254,6.739168167114258,6.6222381591796875,6.678762435913086,6.480274200439453,6.462650299072266,6.507425308227539,6.362142562866211,6.380376815795898,6.391077041625977,6.229362487792969,65.49,4.203222222222229,60.9,63.6,66.7,64.1,66.2,66.2,65.6,67.2,67.2,67.2,24.87,0.17788888888888926,23.7,24.8,24.9,25.0,25.0,25.0,25.1,25.0,25.1,25.1
detectSift,Video4,./data/Video4/Chess4.png and 9 others,3,191.08805656433105,10.461526625881056,199.40590858459473,189.49604034423828,192.56925582885742,191.28966331481934,190.4749870300293,191.5135383605957,190.37532806396484,188.70019912719727,188.92884254455566,188.126802444458,50.97,0.8023333333333325,52.5,51.3,49.4,50.7,50.0,50.6,51.9,51.3,51.3,50.7,24.89,0.06544444444444483,24.4,24.9,24.7,25.0,24.7,25.1,24.7,25.2,25.1,25.1
detectSurf,Video4,./data/Video4/Chess4.png and 9 others,3,357.1092367172241,46.17342939544263,364.3069267272949,351.0704040527344,365.03100395202637,364.3631935119629,359.3711853027344,345.491886138916,354.82025146484375,360.64720153808594,356.17518424987793,349.81513023376465,96.8,0.9777777777777774,96.6,98.6,97.3,95.9,95.1,97.1,97.2,97.2,97.2,95.8,24.72,0.008444444444444511,24.5,24.7,24.7,24.7,24.7,24.8,24.7,24.8,24.8,24.8
goodFeatures,Video4,./data/Video4/Chess4.png and 9 others,3,24.91888999938965,0.7492574013667763,25.551319122314453,24.199485778808594,26.140213012695312,24.05858039855957,25.804996490478516,24.277448654174805,25.526046752929688,24.120330810546875,25.573015213012695,23.937463760375977,27.45,38.42944444444444,20.0,22.2,27.3,36.4,22.2,30.0,20.0,36.4,30.0,30.0,24.91,0.007666666666666719,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.0,25.0,25.0
houghLine,Video4,./data/Video4/Chess4.png and 9 others,3,46.97611331939697,1.2309533865896407,48.16770553588867,48.00844192504883,48.1417179107666,47.58048057556152,47.12557792663574,47.65605926513672,45.74131965637207,46.21696472167969,45.93610763549805,45.186758041381836,29.93,6.649000000000002,30.0,31.6,31.6,30.0,31.6,30.0,31.6,23.5,27.8,31.6,24.91,0.007666666666666719,24.7,24.9,24.9,24.9,24.9,24.9,24.9,25.0,25.0,25.0
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,11.767911911010742,0.08813239623527301,11.701583862304688,12.066364288330078,11.896133422851562,11.426925659179688,11.105537414550781,12.037277221679688,11.897087097167969,11.939764022827148,11.862754821777344,11.745691299438477,22.5,6.944444444444445,20.0,20.0,25.0,25.0,25.0,20.0,25.0,20.0,20.0,25.0,25.01,0.0054444444444446,25.0,25.1,25.0,25.0,24.9,25.0,24.9,25.0,25.1,25.1
