Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti01.png and 9 others,3,57.633185386657715,42.51522623551156,58.93540382385254,51.160335540771484,61.98406219482422,62.39604949951172,50.040245056152344,50.75240135192871,49.2701530456543,64.76688385009766,62.40582466125488,64.6204948425293,44.07,208.309,54.2,25.0,53.8,57.7,26.3,28.6,30.0,57.1,56.0,52.0,24.61,0.6009999999999995,22.6,24.3,24.4,25.0,25.2,25.0,24.9,25.1,24.5,25.1
resize,Video1,./data/Video1/Confetti01.png and 9 others,3,1.9804067611694336,0.05630231371570618,2.6547908782958984,1.901559829711914,1.9029903411865234,1.905059814453125,1.9016170501708984,1.898355484008789,1.9401168823242188,1.9027233123779297,1.8984127044677734,1.8984413146972656,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.59,0.4632222222222225,22.9,24.2,24.3,24.9,25.2,25.0,24.9,25.0,24.5,25.0
rotate,Video1,./data/Video1/Confetti01.png and 9 others,3,2.329629898071289,0.026337672861700412,2.784109115600586,2.2471141815185547,2.323627471923828,2.2559547424316406,2.3048782348632812,2.2490596771240234,2.3082542419433594,2.2551345825195312,2.305936813354492,2.2622299194335938,26.400000000000002,15.242222222222223,37.0,22.7,25.0,26.1,25.0,23.8,26.1,26.1,26.1,26.1,24.57,0.5423333333333333,22.7,24.2,24.3,24.9,25.2,25.0,24.9,25.0,24.5,25.0
mirror,Video1,./data/Video1/Confetti01.png and 9 others,3,2.7096996307373047,0.002047668955735086,2.7750015258789062,2.788534164428711,2.7560901641845703,2.686185836791992,2.692394256591797,2.6703357696533203,2.687234878540039,2.671022415161133,2.694711685180664,2.675485610961914,26.43,8.735666666666662,27.6,33.3,25.0,25.9,25.9,25.9,23.1,25.9,28.6,23.1,24.57,0.5423333333333333,22.7,24.2,24.3,24.9,25.2,25.0,24.9,25.0,24.5,25.0
contour,Video1,./data/Video1/Confetti01.png and 9 others,3,4.6860198974609375,0.0030347815441523884,4.608211517333984,4.812250137329102,4.684104919433594,4.657182693481445,4.645090103149414,4.657373428344727,4.695825576782227,4.729423522949219,4.687900543212891,4.682836532592773,68.43,0.868999999999999,68.8,70.2,67.4,68.7,68.1,68.8,67.4,67.4,68.1,69.4,24.58,0.5017777777777772,22.8,24.2,24.3,24.9,25.2,25.0,24.9,25.0,24.5,25.0
contrastRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,1.4107627868652344,0.00038341783996050555,1.4535903930664062,1.3946151733398438,1.4212608337402344,1.4229869842529297,1.3987159729003906,1.3965892791748047,1.4178943634033203,1.394491195678711,1.4167022705078125,1.3907814025878906,26.19,5.074333333333335,26.7,28.6,26.7,26.7,26.7,23.1,26.7,21.4,26.7,28.6,24.58,0.5017777777777772,22.8,24.2,24.3,24.9,25.2,25.0,24.9,25.0,24.5,25.0
brightnessRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,55.909061431884766,13.505590095519437,60.04643440246582,47.74737358093262,57.0828914642334,56.11896514892578,51.39327049255371,57.411909103393555,56.08010292053223,58.48050117492676,56.1671257019043,58.56204032897949,33.55,10.393888888888883,36.0,35.0,36.0,28.6,36.4,34.8,34.8,27.3,31.8,34.8,24.439999999999998,0.3604444444444443,23.0,24.2,24.4,24.9,25.2,24.4,25.0,24.4,24.5,24.4
gaussianBlur,Video1,./data/Video1/Confetti01.png and 9 others,3,0.4345722198486328,8.48974498997753e-06,0.43801307678222656,0.4336833953857422,0.4414176940917969,0.4315471649169922,0.43399810791015625,0.4339790344238281,0.43358802795410156,0.4331207275390625,0.4334831237792969,0.432891845703125,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.439999999999998,0.3604444444444443,23.0,24.2,24.4,24.9,25.2,24.4,25.0,24.4,24.5,24.4
meanThresh,Video1,./data/Video1/Confetti01.png and 9 others,3,2.638421058654785,0.00024041955334218478,2.628955841064453,2.6507949829101562,2.622079849243164,2.6356029510498047,2.6601123809814453,2.6209354400634766,2.6191234588623047,2.6409244537353516,2.658977508544922,2.6467037200927734,25.91,2.8854444444444427,25.9,26.9,23.1,28.6,26.9,26.9,23.1,25.9,25.9,25.9,24.439999999999998,0.3604444444444443,23.0,24.2,24.4,24.9,25.2,24.4,25.0,24.4,24.5,24.4
gradientSobel,Video1,./data/Video1/Confetti01.png and 9 others,3,3.792363166809082,0.07738190331717003,3.6794471740722656,3.6542129516601562,3.7789154052734375,3.711080551147461,3.675518035888672,3.767547607421875,4.575634002685547,3.7160396575927734,3.674907684326172,3.690328598022461,28.43,84.18011111111109,25.0,25.0,28.2,24.3,24.3,24.3,54.3,26.3,26.3,26.3,24.439999999999998,0.3604444444444443,23.0,24.2,24.4,24.9,25.2,24.4,25.0,24.4,24.5,24.4
