Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti01.png and 9 others,3,43.43087673187256,6.481317693543234,50.19378662109375,43.84255409240723,43.102264404296875,42.51503944396973,42.93942451477051,42.922019958496094,41.15414619445801,43.63608360290527,41.08858108520508,42.91486740112305,57.36,63.30266666666669,73.9,55.6,62.5,52.9,64.7,55.6,46.7,58.8,50.0,52.9,27.17,2.906777777777779,24.3,25.9,26.5,27.1,31.1,27.6,27.5,27.1,27.5,27.1
resize,Video1,./data/Video1/Confetti01.png and 9 others,3,2.1936092376708984,0.045814935082388625,2.7985668182373047,2.1526622772216797,2.1259117126464844,2.0676040649414062,2.1366500854492188,2.1267223358154297,2.113046646118164,2.1303272247314453,2.1616077423095703,2.1229934692382812,99.02,4.270666666666664,100.0,95.0,100.0,95.2,100.0,100.0,100.0,100.0,100.0,100.0,27.19,2.783222222222224,24.5,25.9,26.5,27.1,31.1,27.6,27.5,27.1,27.5,27.1
rotate,Video1,./data/Video1/Confetti01.png and 9 others,3,1.5251712799072266,0.021330597394100752,1.9200706481933594,1.5023326873779297,1.508331298828125,1.3912582397460938,1.481313705444336,1.5151023864746094,1.4070606231689453,1.4926433563232422,1.524505615234375,1.50909423828125,54.08,63.25955555555555,75.0,56.2,56.3,53.3,46.7,50.0,53.3,50.0,50.0,50.0,27.19,2.783222222222224,24.5,25.9,26.5,27.1,31.1,27.6,27.5,27.1,27.5,27.1
mirror,Video1,./data/Video1/Confetti01.png and 9 others,3,0.6807165145874023,0.023533577062456363,1.0025787353515625,0.7884788513183594,0.6868457794189453,0.5101108551025391,0.5919933319091797,0.6122112274169922,0.6002616882324219,0.5923175811767578,0.5720043182373047,0.8503627777099609,51.54,97.12933333333335,72.7,57.1,50.0,50.0,40.0,42.9,57.1,50.0,40.0,55.6,27.2,2.7244444444444453,24.6,25.9,26.5,27.1,31.1,27.6,27.5,27.1,27.5,27.1
contour,Video1,./data/Video1/Confetti01.png and 9 others,3,4.240460395812988,0.0059284991796933655,4.333925247192383,4.215068817138672,4.344272613525391,4.1159820556640625,4.223728179931641,4.225597381591797,4.200115203857422,4.264163970947266,4.327516555786133,4.154233932495117,58.16,4.189333333333332,60.0,58.5,55.0,54.1,60.5,58.5,59.5,58.5,58.5,58.5,27.19,2.783222222222224,24.5,25.9,26.5,27.1,31.1,27.6,27.5,27.1,27.5,27.1
contrastRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,1.3489627838134766,0.0004747312535376598,1.3573837280273438,1.354074478149414,1.378326416015625,1.3230228424072266,1.3821029663085938,1.3617420196533203,1.3435554504394531,1.3337230682373047,1.3172245025634766,1.3384723663330078,49.19,11.712111111111094,46.2,50.0,46.2,46.2,53.8,46.2,53.8,53.3,50.0,46.2,27.19,2.783222222222224,24.5,25.9,26.5,27.1,31.1,27.6,27.5,27.1,27.5,27.1
brightnessRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,56.089234352111816,19.044286685559403,59.47279930114746,45.034170150756836,58.855533599853516,57.486772537231445,53.27916145324707,55.103302001953125,57.169198989868164,59.273481369018555,56.31732940673828,58.90059471130371,52.8,7.548888888888885,50.0,50.0,52.2,54.5,52.4,52.4,50.0,58.3,52.2,56.0,27.27,2.6556666666666686,24.7,25.9,26.6,27.1,31.1,27.6,27.5,27.3,27.6,27.3
gaussianBlur,Video1,./data/Video1/Confetti01.png and 9 others,3,0.6711587905883789,0.00013582687845175515,0.664520263671875,0.6871795654296875,0.6619548797607422,0.6622314453125,0.6770515441894531,0.6691551208496094,0.6560325622558594,0.6856822967529297,0.6853771209716797,0.6624031066894531,98.89,12.320999999999987,100.0,100.0,100.0,88.9,100.0,100.0,100.0,100.0,100.0,100.0,27.27,2.6556666666666686,24.7,25.9,26.6,27.1,31.1,27.6,27.5,27.3,27.6,27.3
meanThresh,Video1,./data/Video1/Confetti01.png and 9 others,3,2.5065841674804688,4.840159413611723e-05,2.5089550018310547,2.507181167602539,2.5162696838378906,2.5061702728271484,2.5051403045654297,2.504873275756836,2.501039505004883,2.491474151611328,2.510843276977539,2.513895034790039,49.98,3.381777777777775,50.0,48.0,50.0,50.0,52.0,48.0,50.0,53.8,50.0,48.0,27.27,2.6556666666666686,24.7,25.9,26.6,27.1,31.1,27.6,27.5,27.3,27.6,27.3
gradientSobel,Video1,./data/Video1/Confetti01.png and 9 others,3,3.108353614807129,0.0003334717752699766,3.091764450073242,3.124675750732422,3.1163597106933594,3.1140804290771484,3.1330013275146484,3.0856990814208984,3.0828857421875,3.123292922973633,3.1192684173583984,3.092508316040039,50.93,0.642333333333334,50.0,51.5,51.6,51.5,51.6,50.0,50.0,51.5,51.6,50.0,27.27,2.6556666666666686,24.7,25.9,26.6,27.1,31.1,27.6,27.5,27.3,27.6,27.3
computeHistogram,Video1,./data/Video1/Confetti01.png and 9 others,3,1.2991313934326172,0.00012935623494235592,1.280508041381836,1.3097763061523438,1.310567855834961,1.294546127319336,1.313791275024414,1.29180908203125,1.2957096099853516,1.3000011444091797,1.2858009338378906,1.3088035583496094,97.9,11.56,100.0,100.0,92.9,100.0,93.8,100.0,92.3,100.0,100.0,100.0,27.27,2.6556666666666686,24.7,25.9,26.6,27.1,31.1,27.6,27.5,27.3,27.6,27.3
computeCanny,Video1,./data/Video1/Confetti01.png and 9 others,3,40.87724685668945,5.693085113812736,42.71960258483887,41.02611541748047,38.71345520019531,39.951324462890625,46.35453224182129,41.615962982177734,41.32795333862305,39.51406478881836,38.129329681396484,39.420127868652344,67.18,19.297333333333327,68.4,56.3,68.8,64.7,68.4,64.7,68.7,70.6,70.6,70.6,26.85,0.798333333333334,24.8,25.9,26.6,27.1,26.8,27.6,27.5,27.3,27.6,27.3
detectSift,Video1,./data/Video1/Confetti01.png and 9 others,3,717.2156810760498,125.21012513641634,738.1815910339355,717.5607681274414,726.872444152832,700.3185749053955,725.7511615753174,707.1495056152344,711.6451263427734,720.2353477478027,716.9229984283447,707.5192928314209,77.86,0.1293333333333338,78.4,78.3,77.9,78.2,77.6,77.8,77.4,77.5,77.5,78.0,28.1,3.211111111111111,26.1,27.2,26.6,31.1,27.7,27.1,27.9,27.9,27.9,31.5
detectSurf,Video1,./data/Video1/Confetti01.png and 9 others,3,1363.1691932678223,946.3850303872176,1321.4404582977295,1363.586664199829,1414.4313335418701,1321.8038082122803,1376.2805461883545,1393.265724182129,1335.5793952941895,1363.0473613739014,1386.4822387695312,1355.7744026184082,95.3,0.2155555555555557,95.5,95.6,94.0,95.4,95.4,95.5,95.3,95.4,95.5,95.4,28.09,3.6965555555555567,25.4,27.9,26.6,31.1,27.2,27.1,28.5,27.1,28.5,31.5
goodFeatures,Video1,./data/Video1/Confetti01.png and 9 others,3,57.60838985443115,99.4828264039269,68.25709342956543,45.59779167175293,66.2999153137207,50.33159255981445,67.43121147155762,63.56382369995117,51.12814903259277,67.05760955810547,54.0924072265625,42.32430458068848,77.18,1.708444444444438,77.8,77.8,77.8,76.2,79.3,78.6,76.2,76.9,76.2,75.0,28.36,2.9448888888888898,26.0,27.9,27.2,31.1,27.6,27.5,28.6,27.6,28.6,31.5
