Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess4.png and 9 others,3,16.720128059387207,0.9018654439943121,18.509387969970703,16.291379928588867,18.476009368896484,16.21389389038086,16.224384307861328,15.886545181274414,16.269445419311523,16.538143157958984,16.447067260742188,16.34502410888672,51.89,111.50988888888894,71.4,33.3,42.9,42.9,50.0,57.1,57.1,57.1,50.0,57.1,25.43,0.2423333333333329,24.1,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7
resize,Video4,./data/Video4/Chess4.png and 9 others,3,1.2070255279541016,0.054620123486933556,1.1224651336669922,1.143341064453125,1.1415672302246094,1.1366844177246094,1.1384868621826172,1.1439132690429688,1.1295700073242188,1.114664077758789,1.1279487609863281,1.8716144561767578,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.44,0.21377777777777796,24.2,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7
rotate,Video4,./data/Video4/Chess4.png and 9 others,3,0.9499368667602539,0.00016547292943869252,0.9566974639892578,0.9455394744873047,0.9566020965576172,0.9581279754638672,0.9256076812744141,0.9578609466552734,0.9525775909423828,0.9295082092285156,0.9517288208007812,0.965118408203125,54.24,80.84933333333333,77.8,54.5,55.6,50.0,55.6,50.0,44.4,50.0,50.0,54.5,25.44,0.21377777777777796,24.2,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7
mirror,Video4,./data/Video4/Chess4.png and 9 others,3,1.017491340637207,0.005775767629327472,1.2212562561035156,1.0430717468261719,0.9519100189208984,1.0156059265136719,1.0014915466308594,1.0139274597167969,0.9839916229248047,0.9708309173583984,0.9851455688476562,0.9876823425292969,52.95,126.505,81.8,54.5,50.0,50.0,60.0,50.0,50.0,44.4,44.4,44.4,25.44,0.21377777777777796,24.2,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7
contour,Video4,./data/Video4/Chess4.png and 9 others,3,1.3634004592895508,0.004910106335955788,1.3672733306884766,1.4290714263916016,1.2912559509277344,1.4635372161865234,1.2796497344970703,1.2523269653320312,1.41265869140625,1.3768482208251953,1.4128971099853516,1.3484859466552734,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.44,0.21377777777777796,24.2,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7
contrastRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,0.5974397659301758,0.0006731727191638331,0.6662559509277344,0.6067276000976562,0.5757331848144531,0.5849456787109375,0.5989551544189453,0.5947399139404297,0.5820560455322266,0.5847740173339844,0.5970001220703125,0.5832099914550781,50.81,123.16322222222226,71.4,40.0,62.5,57.1,40.0,40.0,50.0,50.0,40.0,57.1,25.44,0.21377777777777796,24.2,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7
brightnessRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,25.173497200012207,4.365878416163266,30.265092849731445,23.707151412963867,22.14980125427246,26.096582412719727,24.907588958740234,24.65963363647461,25.577545166015625,25.226831436157227,24.573326110839844,24.57141876220703,61.0,58.05999999999998,78.6,55.6,66.7,66.7,55.6,55.6,55.6,55.6,60.0,60.0,25.509999999999998,0.1943333333333331,24.3,25.4,25.5,25.6,25.7,25.8,25.7,25.7,25.7,25.7
gaussianBlur,Video4,./data/Video4/Chess4.png and 9 others,3,0.30237770080566406,0.0006186558635413854,0.3163719177246094,0.28304100036621094,0.3259754180908203,0.3031730651855469,0.2831745147705078,0.29807090759277344,0.286407470703125,0.285186767578125,0.35857200622558594,0.28380393981933594,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.509999999999998,0.1943333333333331,24.3,25.4,25.5,25.6,25.7,25.8,25.7,25.7,25.7,25.7
meanThresh,Video4,./data/Video4/Chess4.png and 9 others,3,1.1292877197265625,0.03162633137738643,1.6334819793701172,1.080770492553711,1.058340072631836,1.0632801055908203,1.0916805267333984,1.0574817657470703,1.063241958618164,1.0811805725097656,1.0604190826416016,1.1030006408691406,49.75,109.18055555555556,76.5,50.0,50.0,40.0,50.0,45.5,40.0,54.5,45.5,45.5,25.509999999999998,0.1943333333333331,24.3,25.4,25.5,25.6,25.7,25.8,25.7,25.7,25.7,25.7
gradientSobel,Video4,./data/Video4/Chess4.png and 9 others,3,1.5473546981811523,0.0020654581112466985,1.6602706909179688,1.536569595336914,1.480417251586914,1.5359306335449219,1.5521526336669922,1.5625,1.5308761596679688,1.5278148651123047,1.53411865234375,1.552896499633789,51.8,72.82888888888887,75.0,46.7,46.7,50.0,46.7,50.0,50.0,53.3,46.7,52.9,25.509999999999998,0.1943333333333331,24.3,25.4,25.5,25.6,25.7,25.8,25.7,25.7,25.7,25.7
computeHistogram,Video4,./data/Video4/Chess4.png and 9 others,3,0.9073781967163086,0.0003504548304691626,0.9512424468994141,0.8881378173828125,0.8922767639160156,0.9037113189697266,0.9208583831787109,0.9161949157714844,0.8944416046142578,0.9093379974365234,0.9032726287841797,0.8943080902099609,54.04,30.949333333333342,63.6,60.0,50.0,55.6,44.4,50.0,55.6,55.6,55.6,50.0,25.5,0.2222222222222224,24.2,25.4,25.5,25.6,25.7,25.8,25.7,25.7,25.7,25.7
computeCanny,Video4,./data/Video4/Chess4.png and 9 others,3,8.932587623596191,0.4073359465322331,10.04648208618164,10.176658630371094,8.441743850708008,8.892021179199219,8.57259750366211,8.772592544555664,8.467864990234375,8.74715805053711,8.520736694335938,8.688020706176758,92.85,24.893888888888892,100.0,80.0,92.6,94.4,92.9,94.3,94.0,93.1,93.0,94.2,25.5,0.2222222222222224,24.2,25.4,25.5,25.6,25.7,25.8,25.7,25.7,25.7,25.7
detectSift,Video4,./data/Video4/Chess4.png and 9 others,3,239.68877792358398,14.603379266494207,248.82745742797852,239.77231979370117,241.42885208129883,236.73510551452637,238.43717575073242,237.69426345825195,237.83493041992188,242.6469326019287,235.9762191772461,237.5345230102539,67.91,0.48100000000000165,68.7,68.4,67.0,68.1,68.4,67.7,68.7,67.0,68.1,67.0,25.6,0.08222222222222243,25.0,25.5,25.3,25.8,25.8,25.4,25.8,25.8,25.8,25.8
detectSurf,Video4,./data/Video4/Chess4.png and 9 others,3,414.86806869506836,161.88751219740678,425.68087577819824,436.86509132385254,430.4769039154053,415.3423309326172,400.44641494750977,409.15799140930176,405.90739250183105,416.43476486206055,409.6946716308594,398.67424964904785,98.93,0.27566666666666867,98.8,97.7,98.8,98.8,98.8,99.4,98.8,99.4,99.4,99.4,25.43,0.07566666666666688,25.0,25.3,25.3,25.4,25.4,25.4,25.4,25.5,25.5,26.1
goodFeatures,Video4,./data/Video4/Chess4.png and 9 others,3,26.438570022583008,17.681700344635626,23.639202117919922,23.015975952148438,35.16054153442383,25.097131729125977,24.97386932373047,23.916959762573242,25.233983993530273,23.03147315979004,32.655954360961914,27.660608291625977,55.71,13.86544444444444,55.6,55.6,50.0,55.6,55.6,55.6,58.3,62.5,50.0,58.3,25.63,0.05122222222222238,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7,26.1
houghLine,Video4,./data/Video4/Chess4.png and 9 others,3,17.267489433288574,10.728686491271825,16.119718551635742,16.66259765625,16.77393913269043,15.284299850463867,15.416860580444336,15.285253524780273,14.935731887817383,16.2813663482666,20.48969268798828,25.425434112548828,64.21000000000001,63.16544444444447,50.0,71.4,66.7,71.4,66.7,50.0,66.7,62.5,70.0,66.7,25.57,0.024555555555555553,25.2,25.5,25.5,25.6,25.7,25.7,25.6,25.7,25.7,25.5
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,13.366961479187012,3.274758309620059,16.394853591918945,12.394428253173828,12.291431427001953,12.325286865234375,11.731386184692383,16.411542892456055,12.80069351196289,14.865636825561523,12.288570404052734,12.16578483581543,58.71,108.83877777777778,57.1,50.0,60.0,50.0,60.0,50.0,50.0,83.3,60.0,66.7,25.71,0.027666666666666815,25.5,25.7,25.7,25.5,25.7,25.7,26.1,25.8,25.7,25.7
