Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti01.png and 9 others,3,61.852478981018066,15.353918576010983,62.26325035095215,60.221195220947266,62.07680702209473,61.48171424865723,56.832313537597656,65.61279296875,62.19339370727539,59.71169471740723,57.68895149230957,70.44267654418945,39.36,8.000444444444446,35.0,42.9,38.1,36.4,42.1,40.0,40.9,42.9,36.8,38.5,33.14,15.142666666666662,23.6,29.8,33.1,35.0,33.2,36.2,34.0,36.3,33.9,36.3
resize,Video1,./data/Video1/Confetti01.png and 9 others,3,1.470229148864746,0.051157183205658735,1.2988948822021484,1.3543701171875,1.3385200500488281,1.3107872009277344,2.041196823120117,1.418905258178711,1.3711166381835938,1.650238037109375,1.5024662017822266,1.4157962799072266,94.64,26.751555555555548,100.0,100.0,100.0,100.0,94.1,92.9,92.3,87.5,86.7,92.9,33.16,14.342666666666663,24.1,29.5,33.1,35.0,33.2,36.2,34.0,36.3,33.9,36.3
rotate,Video1,./data/Video1/Confetti01.png and 9 others,3,1.815755844116211,0.3468805124066421,1.7194652557373047,1.5245246887207031,1.6575431823730469,1.5698432922363281,1.646432876586914,3.483152389526367,1.6212844848632812,1.6938972473144531,1.669158935546875,1.572256088256836,25.67,5.197888888888889,25.0,25.0,27.8,25.0,31.2,25.7,23.5,23.5,25.0,25.0,33.16,14.342666666666663,24.1,29.5,33.1,35.0,33.2,36.2,34.0,36.3,33.9,36.3
mirror,Video1,./data/Video1/Confetti01.png and 9 others,3,0.6674394607543945,0.0004301893659430789,0.6904888153076172,0.6702327728271484,0.6800174713134766,0.6702709197998047,0.6551933288574219,0.6636524200439453,0.6725406646728516,0.6968116760253906,0.6504726409912109,0.6247138977050781,27.580000000000002,41.568444444444445,16.7,28.6,28.6,16.7,37.5,28.6,28.6,28.6,28.6,33.3,33.16,14.342666666666663,24.1,29.5,33.1,35.0,33.2,36.2,34.0,36.3,33.9,36.3
contour,Video1,./data/Video1/Confetti01.png and 9 others,3,4.503486633300781,0.009514894328377623,4.361629486083984,4.421682357788086,4.599981307983398,4.493856430053711,4.565629959106445,4.484968185424805,4.519548416137695,4.698324203491211,4.45012092590332,4.439125061035156,33.31,1.9743333333333342,32.5,32.5,32.6,31.7,35.7,31.7,33.3,34.9,33.3,34.9,33.18,13.943999999999997,24.3,29.5,33.1,35.0,33.2,36.2,34.0,36.3,33.9,36.3
contrastRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,2.3469810485839844,0.00010345493744049843,2.354898452758789,2.3513221740722656,2.351064682006836,2.3477745056152344,2.3343944549560547,2.3428821563720703,2.3277759552001953,2.361574172973633,2.3548316955566406,2.343292236328125,25.880000000000003,0.21511111111111167,26.1,26.1,26.1,26.1,26.1,25.0,26.1,26.1,25.0,26.1,33.2,13.553333333333331,24.5,29.5,33.1,35.0,33.2,36.2,34.0,36.3,33.9,36.3
brightnessRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,65.40782451629639,20.530278259103497,68.24278831481934,53.680419921875,65.67835807800293,64.27216529846191,64.3620491027832,68.67551803588867,64.34464454650879,68.39799880981445,67.84534454345703,68.57895851135254,29.68,1.3706666666666667,29.6,28.6,30.8,30.8,28.0,31.0,28.0,30.8,29.6,29.6,32.82,9.93511111111111,25.0,29.5,33.8,35.0,33.9,33.8,34.7,33.9,34.7,33.9
gaussianBlur,Video1,./data/Video1/Confetti01.png and 9 others,3,0.38626956939697266,0.0002695043410009627,0.3812694549560547,0.38819313049316406,0.3833198547363281,0.38669586181640625,0.374755859375,0.3733539581298828,0.3834056854248047,0.431060791015625,0.38161277770996094,0.3790283203125,97.5,62.5,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,32.82,9.93511111111111,25.0,29.5,33.8,35.0,33.9,33.8,34.7,33.9,34.7,33.9
meanThresh,Video1,./data/Video1/Confetti01.png and 9 others,3,3.3188838958740234,0.0008565279899307319,3.338346481323242,3.2995033264160156,3.366861343383789,3.3142662048339844,3.300151824951172,3.338031768798828,3.358602523803711,3.2932472229003906,3.2903385162353516,3.28948974609375,25.03,1.991222222222224,24.2,24.2,25.7,24.2,24.2,24.2,28.6,25.8,25.0,24.2,32.82,9.93511111111111,25.0,29.5,33.8,35.0,33.9,33.8,34.7,33.9,34.7,33.9
gradientSobel,Video1,./data/Video1/Confetti01.png and 9 others,3,4.244370460510254,0.029165500528607582,4.20130729675293,4.496574401855469,4.22032356262207,4.088993072509766,4.203472137451172,4.4709014892578125,4.066066741943359,4.29539680480957,4.401636123657227,3.999032974243164,25.18,0.4840000000000007,25.6,24.4,24.4,26.2,25.6,25.0,25.0,26.2,25.0,24.4,32.82,9.93511111111111,25.0,29.5,33.8,35.0,33.9,33.8,34.7,33.9,34.7,33.9
