Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti01.png and 9 others,3,38.140320777893066,1.8688166575328877,39.72315788269043,37.98508644104004,37.62412071228027,40.24791717529297,36.260128021240234,38.83194923400879,35.83574295043945,38.626909255981445,38.03396224975586,38.23423385620117,7.72,231.63066666666668,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,12.9,38.76,0.011555555555555253,38.6,38.7,38.7,38.7,38.7,38.8,38.8,39.0,38.8,38.8
resize,Video1,./data/Video1/Confetti01.png and 9 others,3,0.969853401184082,0.0003716029873935946,0.9628486633300781,0.9626483917236328,0.9440422058105469,1.0152053833007812,0.9562778472900391,0.9819221496582031,0.9670734405517578,0.9603977203369141,0.9686756134033203,0.9794425964355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79,0.009888888888888728,38.6,38.8,38.8,38.7,38.8,38.8,38.8,39.0,38.8,38.8
rotate,Video1,./data/Video1/Confetti01.png and 9 others,3,1.3101835250854492,0.00814641417693767,1.3418769836425781,1.2321949005126953,1.1630821228027344,1.417398452758789,1.2021636962890625,1.311635971069336,1.304636001586914,1.4033222198486328,1.4227294921875,1.30279541015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79,0.009888888888888728,38.6,38.8,38.8,38.7,38.8,38.8,38.8,39.0,38.8,38.8
mirror,Video1,./data/Video1/Confetti01.png and 9 others,3,0.6776037216186523,0.008595361971149233,0.5745983123779297,0.5782032012939453,0.6608390808105469,0.7718372344970703,0.6430435180664062,0.7766056060791016,0.7771968841552734,0.6038379669189453,0.7967948913574219,0.5930805206298828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.79,0.009888888888888728,38.6,38.8,38.8,38.7,38.8,38.8,38.8,39.0,38.8,38.8
contour,Video1,./data/Video1/Confetti01.png and 9 others,3,4.1261186599731445,0.010606864421384267,4.046831130981445,4.055585861206055,4.27708625793457,4.054832458496094,4.1182708740234375,4.346036911010742,4.119234085083008,4.069080352783203,4.059200286865234,4.115028381347656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.769999999999996,0.011222222222221941,38.6,38.8,38.7,38.7,38.8,38.8,38.7,39.0,38.8,38.8
contrastRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,2.304729461669922,0.010842537817047236,2.332324981689453,2.2339248657226562,2.541074752807617,2.3731231689453125,2.3581981658935547,2.224597930908203,2.236804962158203,2.3220443725585938,2.2054481506347656,2.2197532653808594,12.6,304.4622222222222,0.0,18.5,0.0,18.9,0.0,16.2,0.0,55.5,0.0,16.9,38.72,0.003999999999999735,38.6,38.7,38.7,38.7,38.8,38.7,38.7,38.7,38.8,38.8
brightnessRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,79.51409816741943,10.640392045818064,81.28690719604492,71.35581970214844,80.49201965332031,80.54804801940918,80.07597923278809,80.48605918884277,79.12492752075195,77.71801948547363,83.86707305908203,80.18612861633301,5.63,82.62455555555556,0.0,17.5,0.0,0.0,0.0,20.3,0.0,0.0,0.0,18.5,38.99,0.056555555555556095,38.6,39.1,38.7,39.1,38.8,39.2,39.2,39.2,38.8,39.2
gaussianBlur,Video1,./data/Video1/Confetti01.png and 9 others,3,0.37838172912597656,0.0008098242445460831,0.36502838134765625,0.3857994079589844,0.36004066467285156,0.3767204284667969,0.3581523895263672,0.3759956359863281,0.3933525085449219,0.3611564636230469,0.35640716552734375,0.45116424560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99,0.056555555555556095,38.6,39.1,38.7,39.1,38.8,39.2,39.2,39.2,38.8,39.2
meanThresh,Video1,./data/Video1/Confetti01.png and 9 others,3,2.709543228149414,0.0119579355830663,2.5797653198242188,2.609081268310547,2.623567581176758,2.764291763305664,2.900209426879883,2.622804641723633,2.8177928924560547,2.629842758178711,2.7701187133789062,2.7779579162597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99,0.056555555555556095,38.6,39.1,38.7,39.1,38.8,39.2,39.2,39.2,38.8,39.2
gradientSobel,Video1,./data/Video1/Confetti01.png and 9 others,3,4.118324279785156,0.012630457284912053,4.020357131958008,4.241752624511719,4.05003547668457,4.209709167480469,4.0655517578125,4.024839401245117,4.073925018310547,4.081201553344727,4.058113098144531,4.357757568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99,0.056555555555556095,38.6,39.1,38.7,39.1,38.8,39.2,39.2,39.2,38.8,39.2
computeHistogram,Video1,./data/Video1/Confetti01.png and 9 others,3,0.46879100799560547,0.0005358316947321226,0.4780387878417969,0.48323631286621094,0.48707008361816406,0.4471588134765625,0.4895305633544922,0.44280052185058594,0.48928260803222656,0.44635772705078125,0.4338359832763672,0.4905986785888672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99,0.056555555555556095,38.6,39.1,38.7,39.1,38.8,39.2,39.2,39.2,38.8,39.2
computeCanny,Video1,./data/Video1/Confetti01.png and 9 others,3,37.81301975250244,2.92977461021514,38.77401351928711,37.05310821533203,35.55417060852051,37.087202072143555,39.89577293395996,40.1148796081543,36.87596321105957,36.60011291503906,36.20314598083496,39.97182846069336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.85,0.05166666666666679,38.6,38.7,38.7,39.1,38.8,38.7,39.2,38.7,38.8,39.2
detectSift,Video1,./data/Video1/Confetti01.png and 9 others,3,611.7273330688477,27.541322603812862,612.8880977630615,613.6190891265869,611.0539436340332,609.2627048492432,623.2466697692871,605.6346893310547,613.5079860687256,604.4821739196777,609.4510555267334,614.1269207000732,14.129999999999999,222.0201111111111,29.3,0.0,28.4,0.0,28.0,0.0,27.7,0.0,27.9,0.0,39.910000000000004,0.16099999999999978,40.1,40.1,40.1,39.1,40.1,40.1,40.1,40.1,40.1,39.2
