Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti01.png and 9 others,3,72.92685508728027,6.060750191257587,73.72379302978516,78.37677001953125,70.28937339782715,71.14315032958984,72.6919174194336,72.06177711486816,71.7933177947998,73.83561134338379,70.3277587890625,75.02508163452148,69.24000000000001,7.553777777777784,66.7,73.3,66.7,68.8,64.3,69.2,69.2,71.4,71.4,71.4,28.79,3.6587777777777797,23.4,29.0,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
resize,Video1,./data/Video1/Confetti01.png and 9 others,3,2.3142452239990234,0.022792574131421536,2.4541091918945312,2.018146514892578,2.306375503540039,2.1414852142333984,2.3650646209716797,2.339200973510742,2.299823760986328,2.342233657836914,2.309246063232422,2.5667667388916016,99.29,5.0409999999999915,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.9,28.81,3.083222222222224,23.9,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
rotate,Video1,./data/Video1/Confetti01.png and 9 others,3,1.7561349868774414,0.003998770412686604,1.7747783660888672,1.6819190979003906,1.7426109313964844,1.8698978424072266,1.70196533203125,1.7033767700195312,1.8089103698730469,1.7051219940185547,1.831512451171875,1.7412567138671875,51.57,13.449000000000007,50.0,50.0,55.6,54.5,50.0,44.4,50.0,55.6,55.6,50.0,28.81,3.083222222222224,23.9,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
mirror,Video1,./data/Video1/Confetti01.png and 9 others,3,0.7399520874023438,0.02247476257454966,0.8567428588867188,0.9368610382080078,0.8717060089111328,0.6156730651855469,0.5810546875,0.5792522430419922,0.6061363220214844,0.8883285522460938,0.6180191040039062,0.8457469940185547,46.66,71.80266666666668,50.0,50.0,60.0,50.0,50.0,33.3,33.3,40.0,50.0,50.0,28.81,3.083222222222224,23.9,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
contour,Video1,./data/Video1/Confetti01.png and 9 others,3,4.771665573120117,0.006788349091948476,4.701509475708008,4.694929122924805,4.951620101928711,4.694881439208984,4.707365036010742,4.751482009887695,4.849948883056641,4.786005020141602,4.805212020874023,4.773702621459961,59.839999999999996,2.400444444444447,60.9,60.9,58.3,59.1,60.9,62.5,58.3,58.3,60.9,58.3,28.82,2.9751111111111115,24.0,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
contrastRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,1.5909709930419922,0.0008248815437481324,1.5422916412353516,1.5754508972167969,1.5845966339111328,1.5882396697998047,1.600198745727539,1.596536636352539,1.658334732055664,1.581277847290039,1.5943050384521484,1.5884780883789062,50.71,5.041000000000001,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,57.1,28.85,2.6627777777777775,24.3,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
brightnessRandomization,Video1,./data/Video1/Confetti01.png and 9 others,3,59.96260643005371,11.79869674767057,63.57979774475098,50.684213638305664,59.28945541381836,61.4018440246582,60.891151428222656,60.70375442504883,61.022043228149414,61.13076210021973,60.243844985961914,60.67919731140137,53.879999999999995,9.775111111111107,53.8,55.6,50.0,58.3,50.0,53.8,58.3,54.5,54.5,50.0,28.9,2.182222222222222,24.8,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
gaussianBlur,Video1,./data/Video1/Confetti01.png and 9 others,3,0.5939722061157227,0.0059920822776702055,0.5413913726806641,0.5309963226318359,0.5682373046875,0.5947589874267578,0.5441474914550781,0.6642532348632812,0.6209850311279297,0.7770061492919922,0.5285739898681641,0.5693721771240234,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.9,2.182222222222222,24.8,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
meanThresh,Video1,./data/Video1/Confetti01.png and 9 others,3,2.911958694458008,0.001592371578832778,2.9132556915283203,2.8650283813476562,2.895078659057617,2.8827762603759766,2.879934310913086,2.9436302185058594,2.8871631622314453,2.9981040954589844,2.9122257232666016,2.9423904418945312,50.66,4.355999999999993,50.0,53.3,53.3,50.0,50.0,50.0,50.0,50.0,46.7,53.3,28.9,2.182222222222222,24.8,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
gradientSobel,Video1,./data/Video1/Confetti01.png and 9 others,3,3.493617057800293,0.0007390460986142796,3.530559539794922,3.494415283203125,3.5146522521972656,3.4816360473632812,3.453683853149414,3.4640026092529297,3.465852737426758,3.4937381744384766,3.5091304779052734,3.5284996032714844,50.29,2.7098888888888863,50.0,50.0,47.1,52.9,50.0,50.0,50.0,50.0,52.9,50.0,28.9,2.182222222222222,24.8,28.7,29.3,29.1,29.5,29.2,29.9,29.3,29.6,29.6
