Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti01.png and 9 others,3,52.49793529510498,2.049255980157088,51.99599266052246,53.997039794921875,50.99773406982422,53.995370864868164,51.00226402282715,52.999019622802734,50.99678039550781,53.99441719055176,51.00536346435547,53.995370864868164,25.07,7.913444444444446,30.0,22.2,21.4,25.0,25.0,25.0,28.6,27.3,23.1,23.1,51.22,0.06399999999999956,50.5,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
resize,Video1,./data\Video1\Confetti01.png and 9 others,3,2.630434989929199,0.01055428831124219,2.8797245025634766,2.534046173095703,2.7199935913085938,2.6400184631347656,2.559976577758789,2.5707435607910156,2.5600147247314453,2.6399898529052734,2.599935531616211,2.5999069213867188,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.22,0.06399999999999956,50.5,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
rotate,Video1,./data\Video1\Confetti01.png and 9 others,3,3.027994155883789,0.0007289732780514492,3.0799484252929688,2.9999256134033203,2.9999542236328125,2.9999828338623047,3.040008544921875,3.000059127807617,3.0399131774902344,3.040037155151367,3.0400943756103516,3.040018081665039,32.44,31.329333333333327,31.2,35.3,36.8,30.0,27.8,25.0,33.3,30.0,30.0,45.0,51.23,0.0489999999999994,50.6,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
mirror,Video1,./data\Video1\Confetti01.png and 9 others,3,4.623945236206055,0.03074861257320865,5.1200103759765625,4.559993743896484,4.559955596923828,4.600095748901367,4.539594650268555,4.559974670410156,4.560041427612305,4.600019454956055,4.579753875732422,4.5600128173828125,38.36,72.47822222222221,55.9,30.0,35.5,32.1,36.7,48.1,32.3,35.7,45.2,32.1,51.23,0.0489999999999994,50.6,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
contour,Video1,./data\Video1\Confetti01.png and 9 others,3,8.185980796813965,0.08850123510253777,8.999967575073242,8.080024719238281,8.19997787475586,8.039913177490234,8.079967498779297,8.039979934692383,8.150434494018555,8.07988166809082,8.235340118408203,7.954320907592773,57.11,94.81655555555555,59.0,61.5,66.0,53.7,48.1,61.1,61.5,57.7,67.9,34.6,51.23,0.0489999999999994,50.6,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
contrastRandomization,Video1,./data\Video1\Confetti01.png and 9 others,3,5.396002769470215,0.003007008034627587,5.520124435424805,5.3600311279296875,5.399990081787109,5.400104522705078,5.399951934814453,5.319986343383789,5.439901351928711,5.399951934814453,5.360088348388672,5.359897613525391,34.99,26.623222222222232,33.3,34.4,40.0,35.5,28.6,31.2,45.7,33.3,29.7,38.2,51.22,0.04844444444444383,50.6,51.3,51.2,51.3,51.3,51.3,51.3,51.3,51.3,51.3
brightnessRandomization,Video1,./data\Video1\Confetti01.png and 9 others,3,120.19908428192139,10.387426126751759,125.98586082458496,112.99514770507812,118.99638175964355,120.99647521972656,119.9951171875,118.99518966674805,120.03684043884277,120.99504470825195,121.99687957763672,120.99790573120117,36.199999999999996,11.431111111111113,38.9,30.0,35.3,37.5,33.3,37.5,34.3,37.5,42.4,35.3,51.19,0.045444444444443934,50.6,51.3,51.2,51.3,51.2,51.3,51.3,51.2,51.2,51.3
gaussianBlur,Video1,./data\Video1\Confetti01.png and 9 others,3,1.243891716003418,0.0013801246849551615,1.2116622924804688,1.2713623046875,1.2269878387451172,1.2362003326416016,1.3284683227539062,1.2192630767822266,1.2120532989501953,1.2321853637695312,1.224985122680664,1.2757492065429688,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.22,0.04844444444444383,50.6,51.3,51.2,51.3,51.3,51.3,51.3,51.3,51.3,51.3
meanThresh,Video1,./data\Video1\Confetti01.png and 9 others,3,4.5560197830200195,0.004428715430751456,4.479961395263672,4.520053863525391,4.520025253295898,4.560050964355469,4.720039367675781,4.600105285644531,4.520082473754883,4.559974670410156,4.519968032836914,4.5599365234375,31.09,5.156555555555549,30.8,28.6,28.6,34.4,28.1,32.1,29.6,32.1,33.3,33.3,51.23,0.0489999999999994,50.6,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
gradientSobel,Video1,./data\Video1\Confetti01.png and 9 others,3,9.106118202209473,0.00657434464200277,9.061012268066406,9.160041809082031,9.27999496459961,9.039878845214844,9.080114364624023,9.039936065673828,9.080123901367188,9.200048446655273,9.04001235961914,9.080018997192383,31.87,26.68011111111111,28.6,32.2,40.3,26.8,40.7,28.8,29.3,32.8,25.9,33.3,51.23,0.0489999999999994,50.6,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3,51.3
