Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,79.11806106567383,25.948222688991034,86.97986602783203,87.34989166259766,81.3140869140625,73.56619834899902,78.89914512634277,72.27730751037598,79.10013198852539,79.13732528686523,74.64361190795898,77.91304588317871,66.96000000000001,8.342666666666661,64.7,70.6,64.7,71.4,66.7,66.7,62.5,68.8,64.7,68.8,29.46,8.371555555555556,23.4,29.5,27.8,29.7,27.8,29.7,33.5,30.0,33.5,29.7
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,2.8630027770996094,0.006955839655549628,2.859783172607422,2.827425003051758,3.0016136169433594,2.7484798431396484,2.736635208129883,2.9270458221435547,2.950735092163086,2.8613662719726562,2.8341102600097656,2.882833480834961,99.37,3.9689999999999963,100.0,100.0,100.0,100.0,100.0,93.7,100.0,100.0,100.0,100.0,29.49,7.6098888888888885,24.0,29.2,27.8,29.7,27.8,29.7,33.5,30.0,33.5,29.7
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,2.023392677307129,0.039701171720783655,2.062711715698242,1.8671989440917969,2.2188949584960938,2.2157764434814453,1.7904090881347656,1.9791221618652344,1.941986083984375,2.215404510498047,2.245941162109375,1.696481704711914,50.45,6.525,50.0,50.0,45.5,50.0,50.0,50.0,50.0,54.5,54.5,50.0,29.49,7.6098888888888885,24.0,29.2,27.8,29.7,27.8,29.7,33.5,30.0,33.5,29.7
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.9478006362915039,0.00593269801760875,0.958404541015625,1.0492706298828125,0.8820533752441406,0.9109020233154297,0.9502696990966797,0.8845233917236328,0.8112812042236328,0.9809589385986328,1.0532951354980469,0.9970474243164062,50.67,86.04455555555558,60.0,50.0,40.0,50.0,40.0,60.0,66.7,40.0,50.0,50.0,29.49,7.6098888888888885,24.0,29.2,27.8,29.7,27.8,29.7,33.5,30.0,33.5,29.7
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,5.65739631652832,0.08403573752325934,5.5544281005859375,5.548648834228516,5.604496002197266,5.665950775146484,5.2423095703125,5.520219802856445,6.234006881713867,5.561933517456055,6.090049743652344,5.551919937133789,58.32,1.7039999999999946,59.3,59.3,59.3,55.6,57.7,58.6,56.7,59.3,58.1,59.3,28.37,3.1245555555555535,24.1,29.2,27.8,29.7,27.8,29.7,28.0,30.0,27.7,29.7
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,1.7017459869384766,0.07189690331870224,1.7962455749511719,1.5864849090576172,1.6742324829101562,1.9952011108398438,2.190990447998047,1.4294910430908203,1.9173622131347656,1.6007804870605469,1.3863563537597656,1.4403152465820312,49.44,3.1360000000000015,44.4,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,28.4,2.8488888888888892,24.4,29.2,27.8,29.7,27.8,29.7,28.0,30.0,27.7,29.7
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,65.49527645111084,36.238885077308524,67.99101829528809,63.51470947265625,61.00273132324219,59.157609939575195,66.55740737915039,76.09891891479492,75.08993148803711,64.34965133666992,61.185598373413086,60.00518798828125,55.489999999999995,12.00766666666666,53.8,58.3,58.3,58.3,50.0,53.3,56.3,58.3,58.3,50.0,28.46,2.1004444444444452,24.9,29.2,28.5,29.7,28.6,29.8,28.0,27.7,28.5,29.7
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.9990453720092773,0.0025193357992571285,1.0025787353515625,1.0013389587402344,1.0682010650634766,1.0093975067138672,0.9594821929931641,0.9966754913330078,0.9614372253417969,0.9937763214111328,0.9128952026367188,1.0846710205078125,98.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,28.46,2.1004444444444452,24.9,29.2,28.5,29.7,28.6,29.8,28.0,27.7,28.5,29.7
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,3.3492517471313477,0.3619390924288584,3.1300830841064453,3.444042205810547,2.8955554962158203,4.247455596923828,4.1875457763671875,2.784576416015625,3.2631587982177734,4.024238586425781,2.7138519287109375,2.8020095825195312,49.76,0.5759999999999993,50.0,50.0,50.0,50.0,47.6,50.0,50.0,50.0,50.0,50.0,28.46,2.1004444444444452,24.9,29.2,28.5,29.7,28.6,29.8,28.0,27.7,28.5,29.7
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.980121612548828,0.2081130019683365,3.6342430114746094,4.880828857421875,3.6234664916992188,3.637857437133789,3.8278770446777344,3.9160919189453125,3.953580856323242,3.7323760986328125,4.748563766479492,3.8463306427001953,51.26,1.7782222222222246,52.6,50.0,52.6,50.0,52.6,50.0,50.0,50.0,52.2,52.6,28.46,2.1004444444444452,24.9,29.2,28.5,29.7,28.6,29.8,28.0,27.7,28.5,29.7
