Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti1.png and 9 others,3,50.06074905395508,1.5321580425127952,51.99933052062988,51.02801322937012,50.963640213012695,48.995018005371094,50.994873046875,50.00591278076172,49.996376037597656,48.04229736328125,50.00019073486328,48.581838607788086,25.58,3.3640000000000008,25.0,30.8,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,69.15,0.08722222222222209,69.0,69.5,69.5,69.5,69.3,69.2,69.0,69.0,68.8,68.7
resize,Video1,./data\Video1\Confetti1.png and 9 others,3,2.3380260467529297,0.012505872691690456,2.5005245208740234,2.2799301147460938,2.559976577758789,2.2800254821777344,2.2399520874023438,2.3999786376953125,2.3199844360351562,2.2399044036865234,2.279977798461914,2.2800064086914062,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.17,0.07566666666666694,69.2,69.5,69.4,69.5,69.3,69.2,69.1,69.0,68.8,68.7
rotate,Video1,./data\Video1\Confetti1.png and 9 others,3,2.596586227416992,0.03525724415036772,2.600088119506836,2.5212860107421875,3.1200408935546875,2.5599193572998047,2.521209716796875,2.599945068359375,2.522449493408203,2.519855499267578,2.519960403442383,2.481107711791992,35.74,83.64266666666666,31.2,40.0,55.0,37.5,43.8,25.0,25.0,37.5,31.2,31.2,69.15,0.07166666666666657,69.3,69.5,69.1,69.5,69.3,69.2,69.1,69.0,68.8,68.7
mirror,Video1,./data\Video1\Confetti1.png and 9 others,3,3.5598011016845703,0.1728640821723578,4.359979629516602,3.359994888305664,4.319868087768555,3.3599853515625,3.2799339294433594,3.519926071166992,3.3594799041748047,3.3599853515625,3.3599472045898438,3.318910598754883,42.19,252.46322222222219,62.5,41.7,78.6,33.3,30.0,37.5,33.3,40.0,35.0,30.0,69.15,0.07166666666666657,69.3,69.5,69.1,69.5,69.3,69.2,69.1,69.0,68.8,68.7
contour,Video1,./data\Video1\Confetti1.png and 9 others,3,7.024044990539551,0.6526879290049692,7.9616546630859375,6.798810958862305,8.961553573608398,6.520013809204102,6.518678665161133,6.999969482421875,6.719903945922852,6.519966125488281,6.559934616088867,6.679964065551758,58.28,87.82844444444443,64.2,56.1,77.0,57.1,55.0,47.7,57.5,43.2,60.0,65.0,69.16,0.07600000000000033,69.4,69.5,69.1,69.5,69.3,69.2,69.1,69.0,68.8,68.7
contrastRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,4.1822004318237305,0.12310504216151862,4.199981689453125,4.079933166503906,5.141868591308594,3.9600372314453125,4.2401885986328125,4.120054244995117,4.119863510131836,4.000129699707031,3.959980010986328,3.999967575073242,34.95,101.83611111111111,29.2,33.3,58.3,25.0,29.6,29.2,46.2,37.5,29.2,32.0,69.11,0.0721111111111116,69.4,69.4,69.1,69.5,69.2,69.1,69.0,68.9,68.8,68.7
brightnessRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,98.60434532165527,47.082337613978275,105.99827766418457,89.0355110168457,113.99984359741211,98.02985191345215,95.99828720092773,97.99671173095703,98.99640083312988,94.99549865722656,94.99573707580566,95.99733352661133,36.03,40.148999999999994,37.5,35.0,42.9,42.9,29.2,46.4,29.2,29.2,36.0,32.0,69.1,0.06444444444444533,69.4,69.4,69.1,69.4,69.2,69.1,69.0,68.9,68.8,68.7
gaussianBlur,Video1,./data\Video1\Confetti1.png and 9 others,3,1.0559368133544922,0.04273577206832771,1.0399532318115234,0.9999275207519531,1.6399192810058594,1.0000133514404297,0.959930419921875,0.9998893737792969,0.9999370574951172,0.9598636627197266,0.9999561309814453,0.9599781036376953,97.5,62.5,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,69.13,0.06677777777777792,69.3,69.5,69.2,69.4,69.3,69.1,69.0,69.0,68.8,68.7
meanThresh,Video1,./data\Video1\Confetti1.png and 9 others,3,3.308230400085449,0.09350820181478209,3.321094512939453,3.2399654388427734,4.159975051879883,3.2400035858154297,3.1200313568115234,3.2400035858154297,3.2399749755859375,3.24127197265625,3.119993209838867,3.1599903106689453,33.68,81.83066666666667,25.0,26.3,57.1,35.0,30.0,36.8,31.6,30.0,30.0,35.0,69.16,0.08488888888888885,69.5,69.5,69.2,69.5,69.3,69.1,69.0,69.0,68.8,68.7
gradientSobel,Video1,./data\Video1\Confetti1.png and 9 others,3,7.856081008911133,3.3509421756065825,8.079814910888672,7.22050666809082,12.99905776977539,7.18043327331543,7.159976959228516,7.35997200012207,7.240028381347656,7.081031799316406,7.160015106201172,7.079973220825195,31.62,16.81733333333333,34.6,31.2,25.0,31.9,31.2,31.2,28.9,31.8,40.9,29.5,69.15,0.08277777777777784,69.5,69.5,69.2,69.5,69.2,69.1,69.0,69.0,68.8,68.7
