Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,53.34446430206299,3.9734664982107564,55.94778060913086,52.07228660583496,55.07612228393555,52.643775939941406,55.622100830078125,52.17385292053223,54.89468574523926,53.07197570800781,52.307844161987305,49.63421821594238,22.22,4.479555555555557,22.7,23.8,24.4,25.6,20.5,20.0,19.5,21.4,23.8,20.5,11.28,3.072888888888889,7.5,9.0,10.8,11.5,11.8,12.0,12.2,12.9,12.1,13.0
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,1.6428947448730469,0.6779258784364275,3.7670135498046875,1.4908313751220703,1.1866092681884766,1.3442039489746094,2.361297607421875,1.239776611328125,1.2116432189941406,1.2664794921875,1.285552978515625,1.2755393981933594,92.17,134.25566666666666,80.0,100.0,100.0,100.0,66.7,87.5,100.0,100.0,100.0,87.5,11.3,2.908888888888889,7.7,9.0,10.8,11.5,11.8,12.0,12.2,12.9,12.1,13.0
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.3817548751831055,0.0050974430602461025,1.4107227325439453,1.3360977172851562,1.3039112091064453,1.430511474609375,1.5063285827636719,1.4758110046386719,1.3349056243896484,1.31988525390625,1.3175010681152344,1.3818740844726562,13.86,20.87822222222222,18.2,10.0,10.0,11.1,18.2,10.0,11.1,20.0,10.0,20.0,11.3,2.908888888888889,7.7,9.0,10.8,11.5,11.8,12.0,12.2,12.9,12.1,13.0
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.4972219467163086,0.003108049718826401,0.5788803100585938,0.5931854248046875,0.44608116149902344,0.5145072937011719,0.4591941833496094,0.4134178161621094,0.4856586456298828,0.5083084106445312,0.47588348388671875,0.4971027374267578,11.5,150.27777777777777,0.0,25.0,25.0,0.0,25.0,20.0,0.0,0.0,20.0,0.0,11.3,2.908888888888889,7.7,9.0,10.8,11.5,11.8,12.0,12.2,12.9,12.1,13.0
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,3.635263442993164,0.022674854941821348,4.019021987915039,3.5974979400634766,3.5555362701416016,3.5552978515625,3.5893917083740234,3.566741943359375,3.7741661071777344,3.5343170166015625,3.567934036254883,3.5927295684814453,18.32,258.8151111111111,33.3,0.0,0.0,25.0,33.3,0.0,25.0,33.3,33.3,0.0,11.3,2.908888888888889,7.7,9.0,10.8,11.5,11.8,12.0,12.2,12.9,12.1,13.0
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,4.757261276245117,28.71166115659839,2.310514450073242,1.4171600341796875,1.3458728790283203,1.3833045959472656,1.4426708221435547,1.4922618865966797,9.034395217895508,13.796567916870117,1.3675689697265625,13.982295989990234,8.93,157.75788888888889,33.3,0.0,0.0,0.0,0.0,0.0,14.3,16.7,0.0,25.0,10.94,2.004888888888889,7.8,9.0,10.8,11.5,11.8,12.0,11.3,11.5,12.1,11.6
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,52.863359451293945,4.506585949254966,56.23149871826172,51.1474609375,51.27668380737305,50.54283142089844,51.75280570983887,51.45907402038574,51.592111587524414,54.884910583496094,55.704355239868164,54.04186248779297,16.77,1.5801111111111115,17.8,15.0,19.5,17.1,16.7,16.7,17.1,15.9,15.6,16.3,10.96,1.918222222222222,7.9,9.0,10.8,11.5,11.8,12.0,11.5,11.7,11.6,11.8
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.46460628509521484,0.0017592412859812612,0.4012584686279297,0.46563148498535156,0.4558563232421875,0.43892860412597656,0.47588348388671875,0.5397796630859375,0.4096031188964844,0.47278404235839844,0.5102157592773438,0.4761219024658203,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.96,1.918222222222222,7.9,9.0,10.8,11.5,11.8,12.0,11.5,11.7,11.6,11.8
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,2.5775671005249023,0.002781215218621785,2.6400089263916016,2.592325210571289,2.6450157165527344,2.5589466094970703,2.587556838989258,2.591848373413086,2.57110595703125,2.4785995483398438,2.505779266357422,2.6044845581054688,8.33,323.889,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.96,1.918222222222222,7.9,9.0,10.8,11.5,11.8,12.0,11.5,11.7,11.6,11.8
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.9703369140625,0.0352399107820626,4.028558731079102,3.9534568786621094,3.7412643432617188,3.8962364196777344,4.116058349609375,3.8251876831054688,4.340648651123047,3.887653350830078,4.14276123046875,3.771543502807617,12.5,173.61111111111111,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,0.0,10.96,1.918222222222222,7.9,9.0,10.8,11.5,11.8,12.0,11.5,11.7,11.6,11.8
