Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video3,./data/Video3/Talk10.png and 9 others,3,7.83233642578125,0.08928184595586369,8.537054061889648,7.507801055908203,7.987022399902344,7.792949676513672,7.546901702880859,8.014202117919922,7.858037948608398,7.674217224121094,7.735967636108398,7.669210433959961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63,0.008999999999999718,60.5,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
resize,Video3,./data/Video3/Talk10.png and 9 others,3,0.36590099334716797,0.005018592395976561,0.5433559417724609,0.37789344787597656,0.347137451171875,0.4191398620605469,0.3399848937988281,0.32401084899902344,0.29206275939941406,0.33020973205566406,0.34999847412109375,0.3352165222167969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63,0.008999999999999718,60.5,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
rotate,Video3,./data/Video3/Talk10.png and 9 others,3,0.18682479858398438,0.0003554381085753751,0.23603439331054688,0.17690658569335938,0.186920166015625,0.17213821411132812,0.17213821411132812,0.186920166015625,0.18286705017089844,0.17523765563964844,0.18310546875,0.19598007202148438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63,0.008999999999999718,60.5,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
mirror,Video3,./data/Video3/Talk10.png and 9 others,3,0.12912750244140625,0.010270408286790675,0.2281665802001953,0.3871917724609375,0.08893013000488281,0.08106231689453125,0.08130073547363281,0.09012222290039062,0.08487701416015625,0.08392333984375,0.08082389831542969,0.08487701416015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63,0.008999999999999718,60.5,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
contour,Video3,./data/Video3/Talk10.png and 9 others,3,0.9304523468017578,0.02789846197022901,0.7717609405517578,1.293182373046875,0.9407997131347656,0.9410381317138672,0.8819103240966797,1.035928726196289,0.9810924530029297,0.9379386901855469,0.659942626953125,0.8609294891357422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63,0.008999999999999718,60.5,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
contrastRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,0.26247501373291016,0.004955185457017958,0.4200935363769531,0.21886825561523438,0.2219676971435547,0.25391578674316406,0.35572052001953125,0.2300739288330078,0.21910667419433594,0.27370452880859375,0.2162456512451172,0.21505355834960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63,0.008999999999999718,60.5,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
brightnessRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,8.459830284118652,0.37191050334210257,10.001182556152344,8.434057235717773,7.747173309326172,8.187294006347656,8.12077522277832,8.732080459594727,8.30388069152832,8.59379768371582,8.066177368164062,8.411884307861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,0.007111111111110808,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
gaussianBlur,Video3,./data/Video3/Talk10.png and 9 others,3,0.18982887268066406,0.00046997886076698906,0.22912025451660156,0.1690387725830078,0.1990795135498047,0.1900196075439453,0.2110004425048828,0.1652240753173828,0.17976760864257812,0.17905235290527344,0.16689300537109375,0.2090930938720703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,0.007111111111110808,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
meanThresh,Video3,./data/Video3/Talk10.png and 9 others,3,0.3512382507324219,0.0005764529002287114,0.40411949157714844,0.3590583801269531,0.3077983856201172,0.34117698669433594,0.34999847412109375,0.3571510314941406,0.34999847412109375,0.3399848937988281,0.3421306610107422,0.3609657287597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,0.007111111111110808,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
gradientSobel,Video3,./data/Video3/Talk10.png and 9 others,3,0.7335901260375977,0.010401227099363395,0.6880760192871094,0.49376487731933594,0.6561279296875,0.759124755859375,0.7359981536865234,0.8149147033691406,0.7510185241699219,0.7810592651367188,0.8137226104736328,0.8420944213867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,0.007111111111110808,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
computeHistogram,Video3,./data/Video3/Talk10.png and 9 others,3,0.16465187072753906,0.001583672807707141,0.2601146697998047,0.1418590545654297,0.20694732666015625,0.12969970703125,0.16999244689941406,0.1518726348876953,0.15115737915039062,0.1380443572998047,0.14901161193847656,0.14781951904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,0.007111111111110808,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
computeCanny,Video3,./data/Video3/Talk10.png and 9 others,3,6.41939640045166,0.16322940723512147,6.715059280395508,7.163763046264648,6.031036376953125,6.220102310180664,6.316184997558594,6.561756134033203,6.423234939575195,6.693124771118164,5.691766738891602,6.377935409545898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,0.007111111111110808,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.8,60.8
