Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear5.png and 9 others,3,8.464527130126953,0.11657024919663349,9.065866470336914,8.99362564086914,8.157491683959961,8.478403091430664,8.473396301269531,8.423328399658203,8.349418640136719,7.932901382446289,8.423805236816406,8.347034454345703,15.610000000000001,11.45433333333333,14.3,25.0,16.7,14.3,14.3,14.3,14.3,14.3,14.3,14.3,20.88,0.37733333333333297,19.3,20.7,20.9,20.9,20.8,21.3,21.0,21.4,21.0,21.5
resize,Video2,./data/Video2/Gear5.png and 9 others,3,0.9301424026489258,0.2997350451197336,2.460956573486328,0.7300376892089844,0.7359981536865234,0.7255077362060547,0.7202625274658203,0.7200241088867188,0.7071495056152344,1.0480880737304688,0.7264614105224609,0.7269382476806641,73.59,108.23877777777777,50.0,75.0,80.0,80.0,75.0,66.7,80.0,66.7,75.0,87.5,20.89,0.3432222222222226,19.4,20.7,20.9,20.9,20.8,21.3,21.0,21.4,21.0,21.5
rotate,Video2,./data/Video2/Gear5.png and 9 others,3,0.6189107894897461,0.0022213454384553996,0.7014274597167969,0.6093978881835938,0.6308555603027344,0.6449222564697266,0.5629062652587891,0.5762577056884766,0.6690025329589844,0.5550384521484375,0.6387233734130859,0.6005764007568359,11.0,137.77777777777777,0.0,0.0,0.0,25.0,0.0,25.0,20.0,0.0,20.0,20.0,20.89,0.3432222222222226,19.4,20.7,20.9,20.9,20.8,21.3,21.0,21.4,21.0,21.5
mirror,Video2,./data/Video2/Gear5.png and 9 others,3,0.3114938735961914,0.00869544199607238,0.5745887756347656,0.286102294921875,0.27298927307128906,0.2739429473876953,0.2665519714355469,0.2732276916503906,0.31065940856933594,0.28443336486816406,0.28824806213378906,0.2841949462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.89,0.3432222222222226,19.4,20.7,20.9,20.9,20.8,21.3,21.0,21.4,21.0,21.5
contour,Video2,./data/Video2/Gear5.png and 9 others,3,1.4157772064208984,0.004642121590829144,1.535177230834961,1.4209747314453125,1.3782978057861328,1.3911724090576172,1.4736652374267578,1.3952255249023438,1.4295578002929688,1.2867450714111328,1.4722347259521484,1.3747215270996094,7.5,562.5,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,20.89,0.3432222222222226,19.4,20.7,20.9,20.9,20.8,21.3,21.0,21.4,21.0,21.5
contrastRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,1.4405012130737305,0.7159357544929258,1.1775493621826172,0.8957386016845703,0.8399486541748047,1.0182857513427734,0.8323192596435547,2.9151439666748047,0.8630752563476562,2.5260448455810547,0.8382797241210938,2.498626708984375,22.5,1173.611111111111,50.0,100.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,20.7,0.22444444444444467,19.4,20.7,20.9,20.9,20.8,20.6,21.0,20.9,21.0,20.8
brightnessRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,22.527790069580078,1.641335797507458,23.964405059814453,24.17302131652832,22.40777015686035,22.851228713989258,21.563053131103516,22.902488708496094,19.615650177001953,22.750377655029297,22.150039672851562,22.899866104125977,14.73,26.044555555555558,15.8,11.1,21.1,15.8,17.6,11.8,23.5,12.5,6.3,11.8,20.87,0.24011111111111139,19.5,20.8,21.0,21.0,21.0,21.0,21.1,21.1,21.1,21.1
gaussianBlur,Video2,./data/Video2/Gear5.png and 9 others,3,0.2682685852050781,0.00036665015714889806,0.26297569274902344,0.3039836883544922,0.2799034118652344,0.2720355987548828,0.27108192443847656,0.2608299255371094,0.2665519714355469,0.2262592315673828,0.26702880859375,0.2720355987548828,55.5,2358.0555555555557,100.0,100.0,100.0,0.0,0.0,100.0,0.0,80.0,75.0,0.0,20.87,0.24011111111111139,19.5,20.8,21.0,21.0,21.0,21.0,21.1,21.1,21.1,21.1
meanThresh,Video2,./data/Video2/Gear5.png and 9 others,3,1.2257814407348633,0.002342884247102322,1.3005733489990234,1.2633800506591797,1.188516616821289,1.1887550354003906,1.1856555938720703,1.1868476867675781,1.2104511260986328,1.3051033020019531,1.2407302856445312,1.1878013610839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.87,0.24011111111111139,19.5,20.8,21.0,21.0,21.0,21.0,21.1,21.1,21.1,21.1
gradientSobel,Video2,./data/Video2/Gear5.png and 9 others,3,1.2398481369018555,0.0005028248829653927,1.2664794921875,1.2607574462890625,1.2199878692626953,1.230001449584961,1.2125968933105469,1.2247562408447266,1.234292984008789,1.2807846069335938,1.2431144714355469,1.2257099151611328,10.0,444.44444444444446,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,20.87,0.24011111111111139,19.5,20.8,21.0,21.0,21.0,21.0,21.1,21.1,21.1,21.1
computeHistogram,Video2,./data/Video2/Gear5.png and 9 others,3,0.36525726318359375,0.00023840129870222881,0.3800392150878906,0.38623809814453125,0.37097930908203125,0.37384033203125,0.36787986755371094,0.3554821014404297,0.3654956817626953,0.3330707550048828,0.3693103790283203,0.3502368927001953,40.0,2666.6666666666665,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,20.87,0.24011111111111139,19.5,20.8,21.0,21.0,21.0,21.0,21.1,21.1,21.1,21.1
computeCanny,Video2,./data/Video2/Gear5.png and 9 others,3,2.4881362915039062,0.03268921015357288,2.657651901245117,2.4182796478271484,2.431631088256836,2.283334732055664,2.4819374084472656,2.4149417877197266,2.485990524291992,2.925395965576172,2.394437789916992,2.3877620697021484,27.5,2006.9444444444443,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,75.0,20.87,0.24011111111111139,19.5,20.8,21.0,21.0,21.0,21.0,21.1,21.1,21.1,21.1
detectSift,Video2,./data/Video2/Gear5.png and 9 others,3,162.34068870544434,2.9402216568996664,166.14890098571777,163.0089282989502,162.9624366760254,162.46747970581055,163.2983684539795,162.12749481201172,160.77780723571777,160.08710861206055,161.65709495544434,160.8712673187256,30.09,0.8810000000000011,29.0,32.1,29.5,29.7,29.8,30.5,29.4,29.4,30.5,31.0,21.06,0.031555555555555524,20.8,20.7,21.2,21.0,21.1,21.1,21.2,21.1,21.2,21.2
detectSurf,Video2,./data/Video2/Gear5.png and 9 others,3,115.98291397094727,18.519378969964844,123.46434593200684,122.06292152404785,114.79783058166504,115.52786827087402,110.11910438537598,114.63117599487305,110.55731773376465,115.75961112976074,114.72511291503906,118.18385124206543,88.48,10.810666666666682,83.8,85.0,90.4,89.1,89.9,91.1,94.4,88.0,84.6,88.5,20.919999999999998,0.10622222222222205,20.5,20.7,20.9,20.7,21.3,20.7,21.4,20.8,21.4,20.8
goodFeatures,Video2,./data/Video2/Gear5.png and 9 others,3,19.99950408935547,3.6295332392910495,21.111011505126953,21.329879760742188,20.46489715576172,20.163297653198242,16.583681106567383,21.584749221801758,17.55237579345703,21.30436897277832,18.008708953857422,21.892070770263672,14.82,21.67511111111111,17.6,11.8,25.0,17.6,8.3,11.8,14.3,16.7,13.3,11.8,21.05,0.058333333333333216,20.7,20.9,21.0,20.8,21.3,21.0,21.4,21.0,21.4,21.0
houghLine,Video2,./data/Video2/Gear5.png and 9 others,3,946.2462186813354,3.038561759972759,947.5843906402588,948.6949443817139,949.1820335388184,945.8308219909668,946.1078643798828,946.5124607086182,944.6721076965332,944.9319839477539,944.7755813598633,944.1699981689453,12.55,0.013888888888888888,12.5,12.5,12.8,12.7,12.5,12.5,12.5,12.4,12.6,12.5,21.05,0.06944444444444449,20.7,20.9,20.9,20.8,21.3,21.0,21.4,21.0,21.5,21.0
measureMemoryUsage,Video1,./data/Video1/Confetti8.png and 9 others,3,30.946040153503418,0.3032059977512189,31.430959701538086,31.2502384185791,30.37858009338379,31.529903411865234,31.704425811767578,30.411720275878906,30.492544174194336,30.307531356811523,31.339406967163086,30.61509132385254,12.83,1.886777777777778,15.4,15.4,12.5,12.0,12.0,12.5,12.0,12.5,12.0,12.0,22.98,1.012888888888888,21.0,21.6,22.5,23.0,23.4,23.5,23.4,24.3,23.4,23.7
resize,Video1,./data/Video1/Confetti8.png and 9 others,3,0.9686470031738281,0.00017133616994316172,0.9477138519287109,0.9746551513671875,0.9572505950927734,0.965118408203125,0.9710788726806641,0.9920597076416016,0.9815692901611328,0.9601116180419922,0.9765625,0.9603500366210938,97.32,32.10177777777777,100.0,85.7,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,22.98,1.012888888888888,21.0,21.6,22.5,23.0,23.4,23.5,23.4,24.3,23.4,23.7
rotate,Video1,./data/Video1/Confetti8.png and 9 others,3,1.2260913848876953,0.003522652352532734,1.287698745727539,1.3070106506347656,1.2845993041992188,1.2335777282714844,1.163482666015625,1.2755393981933594,1.2156963348388672,1.1661052703857422,1.1637210845947266,1.163482666015625,11.83,0.8490000000000002,11.1,11.1,11.1,12.5,12.5,10.0,12.5,12.5,12.5,12.5,22.98,1.012888888888888,21.0,21.6,22.5,23.0,23.4,23.5,23.4,24.3,23.4,23.7
mirror,Video1,./data/Video1/Confetti8.png and 9 others,3,0.6414175033569336,0.00010824313297537931,0.6375312805175781,0.6358623504638672,0.6465911865234375,0.6544589996337891,0.6394386291503906,0.6535053253173828,0.6475448608398438,0.6346702575683594,0.6451606750488281,0.6194114685058594,18.5,44.72222222222222,20.0,20.0,20.0,20.0,20.0,0.0,25.0,20.0,20.0,20.0,22.98,1.012888888888888,21.0,21.6,22.5,23.0,23.4,23.5,23.4,24.3,23.4,23.7
contour,Video1,./data/Video1/Confetti8.png and 9 others,3,3.437376022338867,0.0019171036708737826,3.392934799194336,3.4914016723632812,3.460407257080078,3.403902053833008,3.373861312866211,3.5157203674316406,3.425121307373047,3.4334659576416016,3.4248828887939453,3.4520626068115234,20.5,802.5,60.0,0.0,0.0,0.0,60.0,0.0,0.0,60.0,0.0,25.0,22.98,1.012888888888888,21.0,21.6,22.5,23.0,23.4,23.5,23.4,24.3,23.4,23.7
