Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear5.png and 9 others,3,8.313560485839844,0.14069231484528347,9.246110916137695,8.355855941772461,8.079767227172852,8.414983749389648,8.271932601928711,8.263587951660156,8.11767578125,7.7972412109375,8.394002914428711,8.194446563720703,11.56,73.82266666666666,14.3,14.3,0.0,25.0,0.0,16.7,14.3,14.3,0.0,16.7,19.57,0.48233333333333317,17.8,19.1,19.5,20.3,20.0,19.8,19.8,19.8,19.8,19.8
resize,Video2,./data/Video2/Gear5.png and 9 others,3,0.7971286773681641,0.2078891434899156,2.093791961669922,0.6308555603027344,0.6690025329589844,0.6701946258544922,0.6797313690185547,0.6530284881591797,0.6337165832519531,0.6642341613769531,0.6475448608398438,0.6291866302490234,63.28,665.9284444444445,71.4,50.0,60.0,50.0,85.7,85.7,75.0,75.0,80.0,0.0,19.57,0.48233333333333317,17.8,19.1,19.5,20.3,20.0,19.8,19.8,19.8,19.8,19.8
rotate,Video2,./data/Video2/Gear5.png and 9 others,3,0.6079196929931641,0.0010807803442326582,0.6694793701171875,0.5965232849121094,0.6632804870605469,0.5881786346435547,0.6198883056640625,0.5829334259033203,0.5769729614257812,0.5991458892822266,0.5898475646972656,0.5929470062255859,13.33,148.0001111111111,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,33.3,20.0,19.57,0.48233333333333317,17.8,19.1,19.5,20.3,20.0,19.8,19.8,19.8,19.8,19.8
mirror,Video2,./data/Video2/Gear5.png and 9 others,3,0.30930042266845703,0.011164629161915704,0.6082057952880859,0.2810955047607422,0.2696514129638672,0.2696514129638672,0.2808570861816406,0.2751350402832031,0.2884864807128906,0.26226043701171875,0.29778480529785156,0.2598762512207031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.57,0.48233333333333317,17.8,19.1,19.5,20.3,20.0,19.8,19.8,19.8,19.8,19.8
contour,Video2,./data/Video2/Gear5.png and 9 others,3,1.26495361328125,0.005837518478478564,1.4188289642333984,1.2285709381103516,1.2388229370117188,1.2295246124267578,1.3272762298583984,1.2559890747070312,1.2545585632324219,1.123666763305664,1.2679100036621094,1.3043880462646484,15.0,1138.888888888889,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.57,0.48233333333333317,17.8,19.1,19.5,20.3,20.0,19.8,19.8,19.8,19.8,19.8
contrastRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,1.0245084762573242,0.1460299908255062,1.079559326171875,0.9033679962158203,0.8475780487060547,2.0933151245117188,0.96893310546875,0.8938312530517578,0.8597373962402344,0.8521080017089844,0.8823871612548828,0.8642673492431641,10.0,444.44444444444446,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51,0.42099999999999976,17.8,19.1,19.5,19.7,20.0,19.8,19.8,19.8,19.8,19.8
brightnessRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,22.24740982055664,1.4070957402307411,23.950815200805664,23.288965225219727,22.524595260620117,22.718191146850586,20.6601619720459,22.583723068237305,19.885540008544922,22.580862045288086,22.271156311035156,22.010087966918945,17.580000000000002,50.15511111111112,15.8,21.1,25.0,11.8,6.7,28.6,13.3,25.0,11.8,16.7,19.66,0.4471111111111117,17.9,19.2,19.7,20.1,20.0,20.0,20.0,19.9,19.9,19.9
gaussianBlur,Video2,./data/Video2/Gear5.png and 9 others,3,0.24936199188232422,9.792794723277136e-05,0.2617835998535156,0.2613067626953125,0.2570152282714844,0.23484230041503906,0.24247169494628906,0.24318695068359375,0.25582313537597656,0.2357959747314453,0.25081634521484375,0.2505779266357422,28.0,2062.222222222222,0.0,0.0,80.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,19.66,0.4471111111111117,17.9,19.2,19.7,20.1,20.0,20.0,20.0,19.9,19.9,19.9
meanThresh,Video2,./data/Video2/Gear5.png and 9 others,3,1.23138427734375,0.0008064034773269668,1.2896060943603516,1.1928081512451172,1.2164115905761719,1.2247562408447266,1.2388229370117188,1.2640953063964844,1.2211799621582031,1.2116432189941406,1.2423992156982422,1.2121200561523438,5.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,19.66,0.4471111111111117,17.9,19.2,19.7,20.1,20.0,20.0,20.0,19.9,19.9,19.9
gradientSobel,Video2,./data/Video2/Gear5.png and 9 others,3,1.249837875366211,0.0006483029816687728,1.2772083282470703,1.234292984008789,1.2454986572265625,1.2378692626953125,1.2867450714111328,1.2252330780029297,1.2204647064208984,1.2288093566894531,1.2552738189697266,1.2869834899902344,5.0,250.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,19.66,0.4471111111111117,17.9,19.2,19.7,20.1,20.0,20.0,20.0,19.9,19.9,19.9
computeHistogram,Video2,./data/Video2/Gear5.png and 9 others,3,0.33490657806396484,9.758183397126332e-05,0.3559589385986328,0.34332275390625,0.3247261047363281,0.3387928009033203,0.3407001495361328,0.3249645233154297,0.33354759216308594,0.3268718719482422,0.3304481506347656,0.32973289489746094,70.5,1508.0555555555557,100.0,100.0,100.0,75.0,75.0,0.0,80.0,0.0,100.0,75.0,19.66,0.4471111111111117,17.9,19.2,19.7,20.1,20.0,20.0,20.0,19.9,19.9,19.9
computeCanny,Video2,./data/Video2/Gear5.png and 9 others,3,2.2193431854248047,0.006117743901591489,2.426624298095703,2.2182464599609375,2.148151397705078,2.1505355834960938,2.211332321166992,2.238035202026367,2.18963623046875,2.207040786743164,2.1910667419433594,2.2127628326416016,60.0,1833.3333333333333,75.0,75.0,75.0,100.0,0.0,0.0,100.0,100.0,0.0,75.0,19.66,0.4471111111111117,17.9,19.2,19.7,20.1,20.0,20.0,20.0,19.9,19.9,19.9
detectSift,Video2,./data/Video2/Gear5.png and 9 others,3,159.29007530212402,4.800122155756981,162.5804901123047,160.68696975708008,157.9000949859619,157.9446792602539,161.28015518188477,159.83295440673828,158.4758758544922,155.16352653503418,161.0395908355713,157.99641609191895,29.67,0.4556666666666667,30.1,28.6,29.9,29.6,30.3,29.7,29.9,30.6,29.5,28.5,19.83,0.06677777777777795,19.2,19.7,20.1,20.0,20.0,20.0,19.8,19.9,19.7,19.9
detectSurf,Video2,./data/Video2/Gear5.png and 9 others,3,113.32085132598877,13.670512840412307,110.10050773620605,114.14170265197754,108.19649696350098,113.41023445129395,110.31031608581543,116.29343032836914,115.34714698791504,111.54770851135254,112.77627944946289,121.08469009399414,89.11,7.6698888888889,92.2,87.8,94.4,88.9,87.8,88.4,90.2,89.9,87.0,84.5,19.6,0.12666666666666695,18.9,19.3,20.3,19.8,19.7,19.7,19.6,19.6,19.5,19.6
goodFeatures,Video2,./data/Video2/Gear5.png and 9 others,3,20.44670581817627,1.786738456783294,18.726348876953125,20.382165908813477,17.86327362060547,21.77906036376953,20.891666412353516,20.784854888916016,19.916772842407227,20.402908325195312,21.66295051574707,22.057056427001953,13.81,16.101000000000003,7.1,12.5,13.3,16.7,12.5,11.8,18.8,12.5,11.8,21.1,19.78,0.09733333333333317,19.1,19.5,20.3,20.0,19.9,19.8,19.8,19.8,19.8,19.8
houghLine,Video2,./data/Video2/Gear5.png and 9 others,3,285.59274673461914,33.35632282212626,290.4622554779053,292.27495193481445,293.75576972961426,288.77830505371094,278.64909172058105,284.82651710510254,277.2810459136963,285.42566299438477,279.53290939331055,284.9409580230713,12.68,0.24177777777777767,12.5,12.4,12.8,12.6,14.0,12.7,12.6,12.3,12.6,12.3,19.77,0.09566666666666657,19.1,19.5,20.3,20.0,19.8,19.8,19.8,19.8,19.8,19.8
measureMemoryUsage,Video1,./data/Video1/Confetti8.png and 9 others,3,31.30161762237549,0.5350273018696802,32.27996826171875,31.800508499145508,31.391620635986328,31.582117080688477,31.403303146362305,30.2584171295166,30.298233032226562,32.20176696777344,31.277179718017578,30.523061752319336,16.59,40.04322222222223,12.5,27.6,25.0,8.7,16.0,13.0,16.0,19.2,8.7,19.2,21.62,0.826222222222222,19.8,20.3,21.1,22.5,21.9,22.1,22.1,22.1,22.1,22.2
resize,Video1,./data/Video1/Confetti8.png and 9 others,3,0.9082555770874023,0.0003216611174947401,0.8935928344726562,0.8957386016845703,0.8950233459472656,0.8885860443115234,0.9396076202392578,0.9045600891113281,0.9038448333740234,0.9300708770751953,0.9024143218994141,0.9291172027587891,98.57,20.44899999999999,100.0,85.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.62,0.826222222222222,19.8,20.3,21.1,22.5,21.9,22.1,22.1,22.1,22.1,22.2
