Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,51.52175426483154,0.9761719872535145,52.716732025146484,52.51741409301758,52.04939842224121,50.27413368225098,51.72324180603027,50.51445960998535,52.11234092712402,50.022125244140625,52.29520797729492,50.992488861083984,22.68,1.0239999999999994,21.4,22.0,24.4,22.5,24.4,22.5,22.0,23.1,22.0,22.5,10.91,2.4654444444444437,7.4,9.0,10.4,11.6,11.3,12.1,11.4,12.2,11.5,12.2
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,0.8379812240600586,0.009088392553167068,0.782318115234375,0.7908916473388672,1.0918903350830078,0.8390617370605469,0.8805656433105469,0.8018112182617188,0.7942676544189453,0.7829093933105469,0.8408451080322266,0.7752513885498047,98.57,9.622333333333334,100.0,100.0,91.3,100.0,94.4,100.0,100.0,100.0,100.0,100.0,10.94,2.4671111111111106,7.5,8.9,10.4,11.6,11.4,12.1,11.5,12.2,11.6,12.2
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.243727684020996,0.0009790307467483217,1.2616539001464844,1.2240886688232422,1.2485313415527344,1.3165760040283203,1.2467002868652344,1.225423812866211,1.2615299224853516,1.2153434753417969,1.2240314483642578,1.2133979797363281,12.9,3.933333333333333,12.0,12.0,12.5,18.5,12.5,12.5,12.0,12.0,12.5,12.5,10.94,2.4671111111111106,7.5,8.9,10.4,11.6,11.4,12.1,11.5,12.2,11.6,12.2
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.4176521301269531,0.0014207888347704688,0.4197502136230469,0.3737449645996094,0.3740692138671875,0.41049957275390625,0.40088653564453125,0.46967506408691406,0.3983879089355469,0.4662322998046875,0.3942584991455078,0.46901702880859375,11.36,45.996,12.5,0.0,0.0,12.5,12.5,20.0,12.5,20.0,12.5,11.1,10.94,2.4671111111111106,7.5,8.9,10.4,11.6,11.4,12.1,11.5,12.2,11.6,12.2
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,3.2819204330444336,0.004140472225723594,3.214111328125,3.308429718017578,3.291501998901367,3.3386993408203125,3.362140655517578,3.231983184814453,3.2618331909179688,3.219270706176758,3.38226318359375,3.2089710235595703,26.35,1.420555555555554,27.3,26.5,26.9,26.2,27.9,25.0,24.6,25.0,27.9,26.2,10.94,2.4671111111111106,7.5,8.9,10.4,11.6,11.4,12.1,11.5,12.2,11.6,12.2
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,1.1420669555664062,0.0002090635300394044,1.1351871490478516,1.175394058227539,1.1279869079589844,1.1441802978515625,1.1481189727783203,1.140737533569336,1.1378669738769531,1.1287593841552734,1.1531829833984375,1.1292552947998047,12.87,4.713444444444444,13.0,13.0,13.6,16.7,13.6,9.5,13.0,9.1,13.6,13.6,10.95,2.391666666666666,7.6,8.9,10.4,11.6,11.4,12.1,11.5,12.2,11.6,12.2
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,51.35009288787842,16.002126010208585,53.58624458312988,43.16997528076172,51.714420318603516,48.92992973327637,49.87907409667969,56.49209022521973,49.95417594909668,55.32217025756836,49.205780029296875,55.24706840515137,16.43,2.020111111111111,16.3,15.2,17.1,17.9,13.5,15.6,17.1,17.8,17.9,15.9,10.77,1.8578888888888885,7.7,8.9,10.6,11.6,11.4,11.4,11.5,11.5,11.6,11.5
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.17925071716308594,0.00038389453645019483,0.15801429748535156,0.22614479064941406,0.17197608947753906,0.18667221069335938,0.19298553466796875,0.16809463500976562,0.18279075622558594,0.16432762145996094,0.1721954345703125,0.16930580139160156,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.77,1.8578888888888885,7.7,8.9,10.6,11.6,11.4,11.4,11.5,11.5,11.6,11.5
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,2.205350875854492,0.000515706067542649,2.1979618072509766,2.250995635986328,2.212076187133789,2.1894073486328125,2.1872520446777344,2.2101688385009766,2.183065414428711,2.2354793548583984,2.184324264526367,2.202777862548828,12.99,1.1898888888888888,11.6,11.4,13.3,14.0,14.0,13.3,13.6,13.3,14.0,11.4,10.77,1.8578888888888885,7.7,8.9,10.6,11.6,11.4,11.4,11.5,11.5,11.6,11.5
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.3960494995117188,0.04631296286081326,3.220958709716797,3.3273696899414062,3.3612537384033203,3.2077598571777344,3.6271190643310547,3.4097766876220703,3.4061622619628906,3.3150482177734375,3.890104293823242,3.1949424743652344,13.22,1.655111111111111,12.7,13.4,11.9,14.1,15.1,11.8,13.2,12.1,15.4,12.5,10.77,1.8578888888888885,7.7,8.9,10.6,11.6,11.4,11.4,11.5,11.5,11.6,11.5
