Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video3,./data/Video3/Talk10.png and 9 others,3,8.150243759155273,1.557702979173175,10.40003776550293,7.535114288330078,7.580842971801758,7.578649520874023,7.478799819946289,7.5167083740234375,7.655391693115234,7.565441131591797,7.56251335144043,10.628938674926758,1.22,14.883999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,61.33,0.013444444444444415,61.6,61.3,61.3,61.3,61.4,61.4,61.3,61.3,61.2,61.2
resize,Video3,./data/Video3/Talk10.png and 9 others,3,0.24201297760009766,0.0007173824279662869,0.25412559509277344,0.23008346557617188,0.20992279052734375,0.26103973388671875,0.27679443359375,0.23888587951660156,0.2361297607421875,0.24491310119628906,0.27527809143066406,0.19295692443847656,0.8300000000000001,6.889000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,61.32,0.012888888888888877,61.6,61.3,61.3,61.3,61.3,61.4,61.3,61.3,61.2,61.2
rotate,Video3,./data/Video3/Talk10.png and 9 others,3,0.1753225326538086,0.0002202245711184029,0.1643657684326172,0.20873069763183594,0.1770496368408203,0.16719818115234375,0.17479896545410156,0.165557861328125,0.17067909240722656,0.16468048095703125,0.16592025756835938,0.194244384765625,3.0,40.64222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,13.3,0.0,61.32,0.012888888888888877,61.6,61.3,61.3,61.3,61.3,61.4,61.3,61.3,61.2,61.2
mirror,Video3,./data/Video3/Talk10.png and 9 others,3,0.07596588134765625,0.0005029422067713717,0.06640434265136719,0.07784843444824219,0.07160186767578125,0.1379680633544922,0.06611824035644531,0.06460189819335938,0.067596435546875,0.06588935852050781,0.06315231323242188,0.07847785949707031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.32,0.012888888888888877,61.6,61.3,61.3,61.3,61.3,61.4,61.3,61.3,61.2,61.2
contour,Video3,./data/Video3/Talk10.png and 9 others,3,0.7545042037963867,0.014021039315695007,0.49691200256347656,0.8014106750488281,0.8062458038330078,0.7973194122314453,0.7080078125,0.8381557464599609,0.8221244812011719,0.8713245391845703,0.6013107299804688,0.8022308349609375,0.48,2.3040000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,61.32,0.012888888888888877,61.6,61.3,61.3,61.3,61.3,61.4,61.3,61.3,61.2,61.2
contrastRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,0.18376731872558594,2.369888938523622e-05,0.18836021423339844,0.18387794494628906,0.1870441436767578,0.1874828338623047,0.18439292907714844,0.17563819885253906,0.18884658813476562,0.17511367797851562,0.1830768585205078,0.1838397979736328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.31,0.012111111111111109,61.6,61.3,61.3,61.3,61.3,61.3,61.3,61.3,61.2,61.2
brightnessRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,6.245691299438477,16.07922308497008,15.276193618774414,5.053844451904297,4.305763244628906,4.392080307006836,4.274482727050781,12.141942977905273,4.324121475219727,4.220523834228516,4.188165664672852,4.279794692993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.339999999999996,0.013777777777777727,61.6,61.4,61.3,61.4,61.4,61.3,61.3,61.3,61.2,61.2
gaussianBlur,Video3,./data/Video3/Talk10.png and 9 others,3,0.11510562896728516,8.395818541531399e-05,0.12271881103515625,0.11392593383789062,0.10905265808105469,0.11420249938964844,0.13027191162109375,0.1045989990234375,0.103607177734375,0.1096343994140625,0.12760162353515625,0.11544227600097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.35,0.020555555555555667,61.7,61.4,61.3,61.4,61.4,61.3,61.3,61.3,61.2,61.2
meanThresh,Video3,./data/Video3/Talk10.png and 9 others,3,0.32039546966552734,0.0002902655261196843,0.34759521484375,0.323638916015625,0.3247547149658203,0.3034496307373047,0.30112266540527344,0.3168296813964844,0.34035682678222656,0.3026008605957031,0.3067588806152344,0.33684730529785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.35,0.020555555555555667,61.7,61.4,61.3,61.4,61.4,61.3,61.3,61.3,61.2,61.2
gradientSobel,Video3,./data/Video3/Talk10.png and 9 others,3,0.6169099807739258,0.15728509497522383,1.7398357391357422,0.38055419921875,0.4999256134033203,0.4981231689453125,0.5017566680908203,0.5135154724121094,0.52276611328125,0.5001544952392578,0.5062294006347656,0.5062389373779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.339999999999996,0.013777777777777727,61.6,61.4,61.3,61.4,61.4,61.3,61.3,61.3,61.2,61.2
