Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess6.png and 9 others,3,11.281943321228027,0.07861834458506362,11.78884506225586,11.263132095336914,11.124849319458008,11.070489883422852,11.053323745727539,11.296749114990234,11.084556579589844,11.794328689575195,11.207103729248047,11.136054992675781,12.87,11.491222222222222,10.0,11.1,11.1,11.1,12.5,11.1,12.5,18.2,20.0,11.1,20.14,0.276,18.7,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4
resize,Video4,./data/Video4/Chess6.png and 9 others,3,0.5602750778198242,4.956548966422108e-05,0.5614566802978516,0.5556106567382812,0.5717277526855469,0.5571460723876953,0.5548095703125,0.5580425262451172,0.5584049224853516,0.5529975891113281,0.5585765838623047,0.5739784240722656,85.28,15.417333333333357,83.3,85.7,80.0,85.7,92.9,83.3,84.6,84.6,90.9,81.8,20.14,0.276,18.7,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4
rotate,Video4,./data/Video4/Chess6.png and 9 others,3,0.5232820510864258,0.0001775215312389062,0.5037975311279297,0.5287837982177734,0.5101299285888672,0.5373954772949219,0.5159950256347656,0.5349922180175781,0.5100917816162109,0.5290794372558594,0.5192375183105469,0.5433177947998047,13.129999999999999,16.515666666666664,10.0,10.0,18.2,10.0,10.0,10.0,18.2,18.2,10.0,16.7,20.14,0.276,18.7,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4
mirror,Video4,./data/Video4/Chess6.png and 9 others,3,0.24633121490478516,3.0789630424502924e-05,0.25020599365234375,0.2576160430908203,0.24301528930664062,0.24402618408203125,0.24255752563476562,0.24652481079101562,0.2442169189453125,0.24078369140625,0.24137496948242188,0.25299072265625,10.35,80.35833333333332,16.7,16.7,0.0,16.7,20.0,16.7,0.0,0.0,16.7,0.0,20.14,0.276,18.7,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4
contour,Video4,./data/Video4/Chess6.png and 9 others,3,0.9146089553833008,0.0005771979390879602,0.9498500823974609,0.926361083984375,0.8798980712890625,0.9317588806152344,0.923919677734375,0.9359645843505859,0.9072113037109375,0.9134578704833984,0.9027671813964844,0.8749008178710938,42.86,32.41155555555556,42.1,38.9,50.0,38.9,42.1,42.1,47.6,52.4,41.2,33.3,20.14,0.276,18.7,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4
contrastRandomization,Video4,./data/Video4/Chess6.png and 9 others,3,0.8205480575561523,0.0011959651813716239,0.8009719848632812,0.8061790466308594,0.8827114105224609,0.8030986785888672,0.8893203735351562,0.8022499084472656,0.8050918579101562,0.8067131042480469,0.8046627044677734,0.8044815063476562,12.15,0.2449999999999999,11.8,12.5,11.1,12.5,11.8,12.5,12.5,12.5,12.5,11.8,20.14,0.276,18.7,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4
brightnessRandomization,Video4,./data/Video4/Chess6.png and 9 others,3,21.41587734222412,1.0403501979302139,22.9647159576416,19.150495529174805,21.32892608642578,22.603988647460938,21.163463592529297,21.677494049072266,20.943403244018555,21.616220474243164,21.283626556396484,21.42643928527832,17.740000000000002,48.504888888888885,16.7,29.4,12.5,11.8,17.6,11.8,12.5,26.3,12.5,26.3,20.259999999999998,0.27822222222222204,18.8,20.2,20.5,20.6,20.6,20.4,20.3,20.4,20.4,20.4
gaussianBlur,Video4,./data/Video4/Chess6.png and 9 others,3,0.1542987823486328,6.724120693333033e-06,0.1568603515625,0.15211105346679688,0.15705108642578125,0.14974594116210938,0.1573467254638672,0.15649795532226562,0.1531505584716797,0.15481948852539062,0.1528644561767578,0.1525402069091797,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.259999999999998,0.27822222222222204,18.8,20.2,20.5,20.6,20.6,20.4,20.3,20.4,20.4,20.4
meanThresh,Video4,./data/Video4/Chess6.png and 9 others,3,1.1931190490722656,0.0008092971297123262,1.2372303009033203,1.192483901977539,1.2366867065429688,1.1715412139892578,1.190633773803711,1.2178802490234375,1.1636161804199219,1.1890125274658203,1.1670494079589844,1.1650562286376953,13.18,1.410666666666667,15.4,12.5,15.4,13.0,12.5,12.5,12.5,12.5,13.0,12.5,20.259999999999998,0.27822222222222204,18.8,20.2,20.5,20.6,20.6,20.4,20.3,20.4,20.4,20.4
gradientSobel,Video4,./data/Video4/Chess6.png and 9 others,3,1.1235122680664062,0.00010544436615115653,1.1379146575927734,1.120462417602539,1.1096572875976562,1.1187362670898438,1.1179542541503906,1.1222553253173828,1.1450767517089844,1.1214256286621094,1.1200618743896484,1.1215782165527344,11.19,4.192111111111111,13.0,9.5,13.0,9.5,9.1,13.6,13.0,13.0,9.1,9.1,20.259999999999998,0.27822222222222204,18.8,20.2,20.5,20.6,20.6,20.4,20.3,20.4,20.4,20.4
computeHistogram,Video4,./data/Video4/Chess6.png and 9 others,3,0.24498844146728516,1.6716199348189143e-06,0.24224281311035156,0.2456188201904297,0.24669647216796875,0.245819091796875,0.24534225463867188,0.24422645568847656,0.24497032165527344,0.2463531494140625,0.24435997009277344,0.24425506591796875,96.67,110.88899999999998,100.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.259999999999998,0.27822222222222204,18.8,20.2,20.5,20.6,20.6,20.4,20.3,20.4,20.4,20.4
computeCanny,Video4,./data/Video4/Chess6.png and 9 others,3,3.84427547454834,0.006405734393410967,3.9562606811523438,3.782958984375,3.8613414764404297,3.802976608276367,3.833904266357422,3.931570053100586,3.6855697631835938,3.905925750732422,3.8773059844970703,3.804941177368164,44.47,112.65344444444443,53.5,40.0,52.4,51.9,38.1,19.6,47.8,41.2,55.1,45.1,20.27,0.24677777777777826,18.9,20.2,20.5,20.6,20.6,20.4,20.3,20.4,20.4,20.4
detectSift,Video4,./data/Video4/Chess6.png and 9 others,3,164.21034336090088,2.3255407825217844,166.21065139770508,162.6114845275879,164.19625282287598,165.38381576538086,163.0411148071289,163.37299346923828,166.57233238220215,163.8622283935547,162.01257705688477,164.8399829864502,30.52,2.2462222222222223,29.5,30.2,32.3,33.1,30.5,32.1,28.5,30.0,29.9,29.1,20.35,0.07388888888888878,19.8,20.5,20.2,20.7,20.6,20.4,20.1,20.5,20.5,20.2
detectSurf,Video4,./data/Video4/Chess6.png and 9 others,3,157.83448219299316,17.87695112953871,163.32387924194336,155.46584129333496,155.3633213043213,155.59697151184082,158.6472988128662,153.02681922912598,163.99359703063965,160.97736358642578,160.18986701965332,151.75986289978027,91.6,3.782222222222226,91.0,92.8,90.7,93.7,91.5,93.7,87.6,90.0,91.4,93.6,20.13,0.01788888888888878,19.8,20.2,20.2,20.3,20.1,20.1,20.1,20.1,20.2,20.2
goodFeatures,Video4,./data/Video4/Chess6.png and 9 others,3,20.60225009918213,0.7122506209119214,19.484758377075195,21.204471588134766,21.591901779174805,20.2639102935791,19.95372772216797,20.906686782836914,20.411968231201172,21.413326263427734,21.494150161743164,19.29759979248047,14.72,22.203999999999997,13.3,11.8,11.8,12.5,26.3,12.5,11.8,16.7,11.8,18.7,20.31,0.020999999999999918,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4,20.4
houghLine,Video4,./data/Video4/Chess6.png and 9 others,3,29.430508613586426,0.64501190245715,30.779361724853516,28.621673583984375,29.47521209716797,29.068470001220703,28.722763061523438,30.334949493408203,28.182029724121094,29.93464469909668,29.509782791137695,29.676198959350586,18.23,26.580111111111115,22.2,13.6,13.0,13.6,24.0,23.1,13.6,13.0,23.1,23.1,20.31,0.020999999999999918,20.0,20.4,20.4,20.5,20.2,20.3,20.2,20.3,20.4,20.4
measureMemoryUsage,Video2,./data/Video2/Gear5.png and 9 others,3,8.162278175354004,0.03409072025634588,8.213014602661133,8.271408081054688,7.947359085083008,8.361835479736328,8.257055282592773,8.303232192993164,8.145036697387695,7.7606964111328125,8.268632888793945,8.094511032104492,12.61,0.10988888888888892,12.8,12.1,13.1,12.7,12.7,12.7,12.8,12.8,12.1,12.3,20.41,0.0010000000000000284,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.5,20.4
resize,Video2,./data/Video2/Gear5.png and 9 others,3,0.5617361068725586,3.05831549162071e-05,0.5579853057861328,0.5597114562988281,0.569305419921875,0.5576610565185547,0.5673313140869141,0.5708885192871094,0.5550289154052734,0.5622482299804688,0.5573368072509766,0.5598640441894531,82.63,19.27788888888891,81.8,90.9,86.7,84.6,77.8,86.7,80.0,80.0,77.8,80.0,20.41,0.0010000000000000284,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.5,20.4
rotate,Video2,./data/Video2/Gear5.png and 9 others,3,0.5243711471557617,6.960171049286146e-05,0.5327987670898438,0.5133247375488281,0.5257606506347656,0.5291175842285156,0.5270195007324219,0.5239486694335938,0.5322456359863281,0.5105495452880859,0.5330944061279297,0.5158519744873047,12.83,13.535666666666664,16.7,10.0,10.0,16.7,10.0,16.7,10.0,18.2,10.0,10.0,20.41,0.0010000000000000284,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.5,20.4
mirror,Video2,./data/Video2/Gear5.png and 9 others,3,0.24278831481933594,6.1900573200546205e-06,0.2409076690673828,0.24132728576660156,0.2428913116455078,0.2489948272705078,0.24300575256347656,0.24481773376464844,0.24103164672851562,0.24156570434570312,0.24130821228027344,0.2420330047607422,11.67,101.889,0.0,20.0,20.0,0.0,16.7,0.0,0.0,20.0,20.0,20.0,20.41,0.0010000000000000284,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.5,20.4
contour,Video2,./data/Video2/Gear5.png and 9 others,3,1.1569023132324219,0.002696910915902764,1.2187957763671875,1.154794692993164,1.127004623413086,1.1459541320800781,1.2129402160644531,1.1670875549316406,1.1876201629638672,1.038980484008789,1.1836910247802734,1.1321544647216797,38.33,69.14677777777779,33.3,48.3,39.1,50.0,30.4,50.0,27.3,36.8,33.3,34.8,20.41,0.0010000000000000284,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.5,20.4
contrastRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,0.8141164779663086,0.0012924263309186143,0.80352783203125,0.8039569854736328,0.8022785186767578,0.8026885986328125,0.8077526092529297,0.8029556274414062,0.8002662658691406,0.8053779602050781,0.7962894439697266,0.9160709381103516,13.34,3.316000000000002,12.5,12.5,12.5,12.5,12.5,12.5,12.5,17.6,12.5,15.8,20.41,0.0010000000000000284,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.5,20.4
brightnessRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,22.089529037475586,0.42002905552686165,22.582530975341797,22.20320701599121,22.278547286987305,22.259950637817383,22.5527286529541,22.225618362426758,22.323131561279297,20.3702449798584,21.723508834838867,22.375822067260742,15.72,41.190666666666665,25.0,11.8,12.5,17.6,25.0,11.8,6.2,13.3,22.2,11.8,20.5,0.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
gaussianBlur,Video2,./data/Video2/Gear5.png and 9 others,3,0.15461158752441406,5.67023057050796e-06,0.1552104949951172,0.1530170440673828,0.1562213897705078,0.15575408935546875,0.1580047607421875,0.15600204467773438,0.15565872192382812,0.15089035034179688,0.1506328582763672,0.15472412109375,87.5,1006.9444444444445,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,0.0,100.0,20.5,0.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
meanThresh,Video2,./data/Video2/Gear5.png and 9 others,3,1.1770515441894531,0.00016192281489363976,1.1875534057617188,1.1651039123535156,1.188497543334961,1.164693832397461,1.1926078796386719,1.1696338653564453,1.1896705627441406,1.1645030975341797,1.1861610412597656,1.1620903015136719,13.6,2.7666666666666666,12.5,12.5,16.0,13.0,16.0,12.5,16.0,12.5,12.5,12.5,20.5,0.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
gradientSobel,Video2,./data/Video2/Gear5.png and 9 others,3,1.115987777709961,3.155509653475342e-05,1.1223697662353516,1.1098289489746094,1.1115837097167969,1.1206245422363281,1.1218738555908203,1.10748291015625,1.1161422729492188,1.110544204711914,1.1195755004882812,1.119852066040039,11.97,3.2734444444444444,13.0,13.0,13.0,13.0,13.0,9.5,13.6,9.5,13.0,9.1,20.5,0.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
computeHistogram,Video2,./data/Video2/Gear5.png and 9 others,3,0.24643611907958984,8.101788908889931e-07,0.24608612060546875,0.24766921997070312,0.2464771270751953,0.24512290954589844,0.24555206298828125,0.24582862854003906,0.24720191955566406,0.24611473083496094,0.2478790283203125,0.246429443359375,97.5,62.5,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,20.5,0.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
