Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess6.png and 9 others,3,11.34498119354248,0.08830021379758869,12.123346328735352,11.324405670166016,11.220455169677734,11.111974716186523,11.301279067993164,11.522293090820312,11.239290237426758,11.263847351074219,11.111021041870117,11.23189926147461,15.05,23.327222222222222,10.0,20.0,20.0,12.5,11.1,20.0,22.2,12.5,11.1,11.1,19.82,0.350666666666667,18.2,19.6,19.9,20.0,20.0,20.2,20.1,20.0,20.1,20.1
resize,Video4,./data/Video4/Chess6.png and 9 others,3,0.513671875,3.235687472624704e-05,0.5067729949951172,0.5088996887207031,0.5097484588623047,0.5178451538085938,0.5085277557373047,0.5183124542236328,0.5136394500732422,0.5253124237060547,0.5153274536132812,0.5123329162597656,74.87,68.83344444444442,77.8,71.4,75.0,70.0,76.9,84.6,71.4,57.1,86.7,77.8,19.830000000000002,0.31566666666666654,18.3,19.6,19.9,20.0,20.0,20.2,20.1,20.0,20.1,20.1
rotate,Video4,./data/Video4/Chess6.png and 9 others,3,0.5500345230102539,7.504309602760865e-05,0.5460548400878906,0.5558013916015625,0.5392646789550781,0.5543327331542969,0.5395793914794922,0.5658626556396484,0.5471706390380859,0.5571651458740234,0.5420494079589844,0.5530643463134766,13.32,15.355111111111109,10.0,16.7,10.0,16.7,9.1,16.7,10.0,16.7,18.2,9.1,19.830000000000002,0.31566666666666654,18.3,19.6,19.9,20.0,20.0,20.2,20.1,20.0,20.1,20.1
mirror,Video4,./data/Video4/Chess6.png and 9 others,3,0.2416362762451172,1.077519199397001e-05,0.24804115295410156,0.2463245391845703,0.2394390106201172,0.2400970458984375,0.23883819580078125,0.243072509765625,0.24084091186523438,0.2420330047607422,0.2393054962158203,0.2383708953857422,13.01,82.67433333333334,16.7,20.0,16.7,20.0,0.0,0.0,16.7,20.0,0.0,20.0,19.830000000000002,0.31566666666666654,18.3,19.6,19.9,20.0,20.0,20.2,20.1,20.0,20.1,20.1
contour,Video4,./data/Video4/Chess6.png and 9 others,3,0.8160562515258789,0.0007382667222878404,0.8720874786376953,0.8261775970458984,0.7834625244140625,0.8268070220947266,0.8207035064697266,0.8354949951171875,0.8059024810791016,0.8153915405273438,0.7929229736328125,0.7816123962402344,38.0,99.31333333333333,31.2,33.3,47.4,31.3,47.4,35.3,23.1,33.3,56.5,41.2,19.830000000000002,0.31566666666666654,18.3,19.6,19.9,20.0,20.0,20.2,20.1,20.0,20.1,20.1
contrastRandomization,Video4,./data/Video4/Chess6.png and 9 others,3,0.8233203887939453,0.0013515334042798106,0.8348846435546875,0.8030319213867188,0.802154541015625,0.8939933776855469,0.7996559143066406,0.8864784240722656,0.8004474639892578,0.8036994934082031,0.8028602600097656,0.8059978485107422,12.78,1.9817777777777768,12.5,12.5,12.5,16.7,12.5,11.8,12.5,12.5,11.8,12.5,19.830000000000002,0.31566666666666654,18.3,19.6,19.9,20.0,20.0,20.2,20.1,20.0,20.1,20.1
brightnessRandomization,Video4,./data/Video4/Chess6.png and 9 others,3,21.436429023742676,0.8922740442408718,23.24843406677246,19.434213638305664,21.75164222717285,22.01986312866211,21.460771560668945,21.00825309753418,21.203041076660156,21.219491958618164,21.474599838256836,21.54397964477539,15.0,43.326666666666675,11.1,27.8,12.5,11.8,25.0,12.5,17.6,6.7,12.5,12.5,19.96,0.3315555555555561,18.4,19.7,20.0,20.1,20.2,20.2,20.3,20.2,20.2,20.3
gaussianBlur,Video4,./data/Video4/Chess6.png and 9 others,3,0.1445150375366211,4.3235261020729216e-05,0.14425277709960938,0.14169692993164062,0.1421070098876953,0.1414966583251953,0.14211654663085938,0.1414775848388672,0.14202117919921875,0.1630115509033203,0.14410018920898438,0.1428699493408203,90.0,1000.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,19.96,0.3315555555555561,18.4,19.7,20.0,20.1,20.2,20.2,20.3,20.2,20.2,20.3
meanThresh,Video4,./data/Video4/Chess6.png and 9 others,3,1.1843910217285156,0.0006060897996778496,1.2314987182617188,1.1585330963134766,1.1916732788085938,1.1646366119384766,1.192159652709961,1.1582756042480469,1.2125396728515625,1.184682846069336,1.1892890930175781,1.1606216430664062,12.37,1.724555555555556,12.5,13.0,12.5,13.0,8.7,13.0,12.5,13.0,12.5,13.0,19.96,0.3315555555555561,18.4,19.7,20.0,20.1,20.2,20.2,20.3,20.2,20.2,20.3
gradientSobel,Video4,./data/Video4/Chess6.png and 9 others,3,1.1170263290405273,9.55972003187829e-06,1.1169147491455078,1.1178207397460938,1.1151409149169922,1.1213302612304688,1.1147689819335938,1.113729476928711,1.1212539672851562,1.1206436157226562,1.1152935028076172,1.1133670806884766,12.91,1.881,13.0,13.6,13.6,13.0,13.0,13.6,13.0,9.1,13.6,13.6,19.96,0.3315555555555561,18.4,19.7,20.0,20.1,20.2,20.2,20.3,20.2,20.2,20.3
computeHistogram,Video4,./data/Video4/Chess6.png and 9 others,3,0.23224544525146484,4.1562301097049685e-06,0.2296924591064453,0.23344993591308594,0.23505210876464844,0.23515701293945312,0.23305892944335938,0.23162841796875,0.23136138916015625,0.2290058135986328,0.23260116577148438,0.2314472198486328,90.32,119.30177777777777,100.0,80.0,75.0,100.0,100.0,75.0,100.0,100.0,85.7,87.5,19.96,0.3315555555555561,18.4,19.7,20.0,20.1,20.2,20.2,20.3,20.2,20.2,20.3
computeCanny,Video4,./data/Video4/Chess6.png and 9 others,3,3.578033447265625,0.004775501333319375,3.605480194091797,3.51531982421875,3.5811614990234375,3.5469913482666016,3.5560226440429688,3.652782440185547,3.4372615814208984,3.6783885955810547,3.6092376708984375,3.597688674926758,48.16,4.64933333333333,49.3,47.9,48.6,47.9,48.6,48.7,51.4,45.1,50.0,44.1,19.96,0.3315555555555561,18.4,19.7,20.0,20.1,20.2,20.2,20.3,20.2,20.2,20.3
detectSift,Video4,./data/Video4/Chess6.png and 9 others,3,162.56439685821533,1.9765740672836627,163.74635696411133,160.25996208190918,161.33952140808105,162.57739067077637,163.95235061645508,162.13154792785645,161.42892837524414,163.7260913848877,161.84210777282715,164.63971138000488,30.79,1.4054444444444436,31.1,28.8,31.0,31.3,31.6,29.7,29.5,31.6,30.5,32.8,20.09,0.0921111111111111,19.3,20.1,20.1,20.2,20.3,20.2,20.3,19.9,20.3,20.2
detectSurf,Video4,./data/Video4/Chess6.png and 9 others,3,154.52508926391602,24.72942485635738,161.04769706726074,156.50153160095215,145.38884162902832,157.30857849121094,148.85878562927246,157.78875350952148,150.02202987670898,153.1519889831543,158.3561897277832,156.82649612426758,91.63,4.120111111111102,89.5,90.4,94.1,91.1,92.6,89.6,93.2,95.1,91.3,89.4,19.89,0.08988888888888925,19.4,19.7,19.8,19.9,20.0,19.9,20.6,19.9,19.9,19.8
goodFeatures,Video4,./data/Video4/Chess6.png and 9 others,3,20.57826519012451,1.1050520830243233,20.319700241088867,20.739078521728516,21.625041961669922,20.743846893310547,20.99895477294922,20.44820785522461,18.02825927734375,20.3549861907959,21.986007690429688,20.5385684967041,11.65,11.485000000000001,12.5,17.6,11.8,6.2,11.8,11.8,14.3,12.5,11.8,6.2,20.060000000000002,0.06266666666666676,19.6,19.9,20.0,20.0,20.2,20.1,20.6,20.1,20.1,20.0
houghLine,Video4,./data/Video4/Chess6.png and 9 others,3,11.476540565490723,0.30562164094286953,11.381864547729492,11.194705963134766,11.138916015625,11.085987091064453,10.917901992797852,11.467695236206055,12.031316757202148,12.789011001586914,11.248350143432617,11.50965690612793,19.46,89.73155555555554,12.5,11.1,36.4,12.5,22.2,22.2,33.3,11.1,11.1,22.2,20.0,0.026666666666666637,19.6,19.9,20.0,20.0,20.2,20.1,20.0,20.1,20.1,20.0
measureMemoryUsage,Video2,./data/Video2/Gear5.png and 9 others,3,8.007790565490723,0.034070497512301595,8.062477111816406,8.083295822143555,7.8470611572265625,8.273029327392578,8.12326431274414,8.094367980957031,7.961759567260742,7.607183456420898,8.108320236206055,7.917146682739258,13.42,0.5084444444444447,13.1,12.5,15.0,13.9,13.0,13.5,13.8,13.2,13.5,12.7,19.96,0.009333333333333346,20.0,19.8,19.9,19.8,20.0,20.0,20.1,20.0,20.0,20.0
resize,Video2,./data/Video2/Gear5.png and 9 others,3,0.5115766525268555,2.4504011485583356e-05,0.5169868469238281,0.5137729644775391,0.5087852478027344,0.5103778839111328,0.5120658874511719,0.5154514312744141,0.5192279815673828,0.5099868774414062,0.5034828186035156,0.5056285858154297,78.07,27.682333333333318,70.0,72.7,80.0,81.8,70.0,77.8,83.3,81.8,83.3,80.0,19.96,0.009333333333333346,20.0,19.8,19.9,19.8,20.0,20.0,20.1,20.0,20.0,20.0
rotate,Video2,./data/Video2/Gear5.png and 9 others,3,0.5480270385742188,0.0001985543106760209,0.5185699462890625,0.550384521484375,0.5660343170166016,0.5430698394775391,0.5586814880371094,0.5548572540283203,0.5539131164550781,0.5387496948242188,0.5599212646484375,0.5360889434814453,13.99,14.900999999999998,10.0,16.7,16.7,9.1,9.1,10.0,16.7,16.7,16.7,18.2,19.96,0.009333333333333346,20.0,19.8,19.9,19.8,20.0,20.0,20.1,20.0,20.0,20.0
mirror,Video2,./data/Video2/Gear5.png and 9 others,3,0.23636531829833984,0.0002533202061588074,0.19138336181640625,0.24234771728515625,0.24504661560058594,0.24015426635742188,0.23981094360351562,0.24370193481445312,0.24105072021484375,0.23911476135253906,0.24130821228027344,0.23973464965820312,17.67,39.62233333333334,0.0,20.0,20.0,20.0,20.0,16.7,20.0,20.0,20.0,20.0,19.96,0.009333333333333346,20.0,19.8,19.9,19.8,20.0,20.0,20.1,20.0,20.0,20.0
contour,Video2,./data/Video2/Gear5.png and 9 others,3,1.0223016738891602,0.002272361162896333,1.070413589477539,1.017313003540039,0.9920597076416016,1.006927490234375,1.070098876953125,1.0254669189453125,1.0491371154785156,0.9083271026611328,1.0518360137939453,1.0314369201660156,31.04,114.35599999999998,31.8,18.7,35.0,23.5,26.3,12.5,34.8,42.9,39.1,45.8,19.96,0.009333333333333346,20.0,19.8,19.9,19.8,20.0,20.0,20.1,20.0,20.0,20.0
contrastRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,0.8090896606445312,0.0006741216727985173,0.80230712890625,0.8828926086425781,0.8032798767089844,0.79986572265625,0.8006668090820312,0.7992362976074219,0.7998847961425781,0.7996940612792969,0.8018398284912109,0.8012294769287109,12.43,0.0489999999999999,12.5,11.8,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,19.96,0.009333333333333346,20.0,19.8,19.9,19.8,20.0,20.0,20.1,20.0,20.0,20.0
brightnessRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,22.46720790863037,0.4962279648326431,22.4454402923584,23.393869400024414,22.564411163330078,22.58920669555664,22.907495498657227,22.801637649536133,22.501707077026367,20.75481414794922,21.9573974609375,22.756099700927734,19.61,31.461,11.8,21.1,25.0,11.8,16.7,25.0,26.3,17.6,25.0,15.8,20.080000000000002,0.0017777777777778282,20.0,20.1,20.1,20.0,20.1,20.1,20.1,20.1,20.1,20.1
gaussianBlur,Video2,./data/Video2/Gear5.png and 9 others,3,0.1437215805053711,2.3914941872741718e-05,0.14298439025878906,0.1416778564453125,0.14148712158203125,0.15729904174804688,0.14379501342773438,0.14251708984375,0.13980865478515625,0.14240264892578125,0.142974853515625,0.14226913452148438,80.0,1777.7777777777778,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,20.080000000000002,0.0017777777777778282,20.0,20.1,20.1,20.0,20.1,20.1,20.1,20.1,20.1,20.1
meanThresh,Video2,./data/Video2/Gear5.png and 9 others,3,1.1970911026000977,0.0013335209880299065,1.2182807922363281,1.1913681030273438,1.1592769622802734,1.2566471099853516,1.1582469940185547,1.2001228332519531,1.1831474304199219,1.1913871765136719,1.1580944061279297,1.2543392181396484,12.5,7.96,12.5,12.5,13.0,19.2,8.7,12.5,13.0,12.5,9.1,12.0,20.080000000000002,0.0017777777777778282,20.0,20.1,20.1,20.0,20.1,20.1,20.1,20.1,20.1,20.1
gradientSobel,Video2,./data/Video2/Gear5.png and 9 others,3,1.116499900817871,2.3681852528372678e-05,1.1172771453857422,1.113433837890625,1.112966537475586,1.1175537109375,1.121664047241211,1.113119125366211,1.1277008056640625,1.11419677734375,1.1122798919677734,1.11480712890625,12.85,1.825,13.0,13.6,9.1,13.0,13.0,13.6,13.0,13.0,13.6,13.6,20.080000000000002,0.0017777777777778282,20.0,20.1,20.1,20.0,20.1,20.1,20.1,20.1,20.1,20.1
computeHistogram,Video2,./data/Video2/Gear5.png and 9 others,3,0.23570919036865234,3.3625524843551425e-06,0.23339271545410156,0.23614883422851562,0.23885726928710938,0.23558616638183594,0.235748291015625,0.2344799041748047,0.2341461181640625,0.2376270294189453,0.23743629455566406,0.23366928100585938,89.07,142.76011111111112,100.0,100.0,100.0,100.0,75.0,75.0,80.0,75.0,100.0,85.7,20.080000000000002,0.0017777777777778282,20.0,20.1,20.1,20.0,20.1,20.1,20.1,20.1,20.1,20.1
computeCanny,Video2,./data/Video2/Gear5.png and 9 others,3,2.1172122955322266,0.0006309444223815161,2.137746810913086,2.133035659790039,2.0874595642089844,2.0719242095947266,2.125530242919922,2.117452621459961,2.105989456176758,2.1066761016845703,2.1286964416503906,2.157611846923828,57.37,8.911222222222229,58.7,51.3,60.9,59.1,59.2,57.8,55.8,57.8,59.6,53.5,20.080000000000002,0.0017777777777778282,20.0,20.1,20.1,20.0,20.1,20.1,20.1,20.1,20.1,20.1
detectSift,Video2,./data/Video2/Gear5.png and 9 others,3,160.07587909698486,1.2792667809612288,162.48059272766113,158.57577323913574,160.0944995880127,161.4689826965332,160.15291213989258,159.91806983947754,159.29937362670898,159.9273681640625,159.30938720703125,159.531831741333,30.09,1.5121111111111099,30.5,30.5,31.0,27.8,29.1,30.2,31.5,31.5,28.6,30.2,20.12,0.015111111111110973,20.2,20.1,20.1,19.8,20.2,20.1,20.2,20.1,20.2,20.2
detectSurf,Video2,./data/Video2/Gear5.png and 9 others,3,112.67404556274414,13.264804121920154,105.77940940856934,113.34562301635742,108.92653465270996,116.912841796875,114.28546905517578,112.81633377075195,113.51442337036133,118.30401420593262,110.63432693481445,112.22147941589355,89.8,8.36444444444445,95.2,87.8,92.1,88.2,86.8,91.1,91.3,85.6,88.6,91.3,19.93,0.0623333333333329,20.4,19.8,20.4,19.8,19.8,19.8,19.8,19.8,19.9,19.8
goodFeatures,Video2,./data/Video2/Gear5.png and 9 others,3,19.596314430236816,2.215493881547243,18.06497573852539,20.379066467285156,16.386747360229492,18.79715919494629,20.35689353942871,20.04218101501465,20.819664001464844,20.041942596435547,19.588947296142578,21.485567092895508,13.92,29.328444444444447,27.8,12.5,7.7,17.6,12.5,12.5,11.8,12.5,12.5,11.8,20.07,0.031222222222222068,20.4,19.9,20.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0
houghLine,Video2,./data/Video2/Gear5.png and 9 others,3,8.286619186401367,0.034727380665976346,8.462381362915039,8.213796615600586,8.291234970092773,8.293218612670898,8.525333404541016,8.47280502319336,7.966756820678711,8.177556991577148,8.05215835571289,8.41094970703125,21.28,12.990666666666662,19.3,24.9,18.5,20.0,20.7,19.8,29.9,18.9,18.6,22.2,19.96,0.009333333333333346,19.8,19.9,19.8,20.0,20.0,20.1,20.0,20.0,20.0,20.0
measureMemoryUsage,Video1,./data/Video1/Confetti8.png and 9 others,3,31.444883346557617,0.45778907001982183,31.646251678466797,31.188249588012695,31.38566017150879,32.454490661621094,32.36842155456543,31.01038932800293,30.657529830932617,31.307220458984375,31.99148178100586,30.439138412475586,16.37,3.6334444444444434,16.0,15.4,16.0,19.2,16.0,16.7,16.7,16.0,19.2,12.5,21.54,0.578222222222222,20.0,20.6,21.4,21.3,22.1,21.5,22.1,22.4,22.2,21.8
resize,Video1,./data/Video1/Confetti8.png and 9 others,3,0.8043489456176758,4.258835158705349e-05,0.8021736145019531,0.8018779754638672,0.818634033203125,0.8139419555664062,0.8000278472900391,0.8021450042724609,0.7992076873779297,0.8011150360107422,0.8039951324462891,0.8003711700439453,98.82,6.188444444444457,100.0,100.0,94.1,94.1,100.0,100.0,100.0,100.0,100.0,100.0,21.57,0.5801111111111108,20.0,20.6,21.4,21.4,22.1,21.6,22.1,22.4,22.2,21.9
rotate,Video1,./data/Video1/Confetti8.png and 9 others,3,1.1294660568237305,0.0020605946994894314,1.1376190185546875,1.0783672332763672,1.1980819702148438,1.1175727844238281,1.1643123626708984,1.0671043395996094,1.1641597747802734,1.1380290985107422,1.068868637084961,1.1605453491210938,13.2,4.119999999999999,13.0,13.6,12.5,17.4,13.0,13.6,12.5,9.1,14.3,13.0,21.57,0.5801111111111108,20.0,20.6,21.4,21.4,22.1,21.6,22.1,22.4,22.2,21.9
mirror,Video1,./data/Video1/Confetti8.png and 9 others,3,0.5076656341552734,0.0008267167221573698,0.5063819885253906,0.5147743225097656,0.4326057434082031,0.5286979675292969,0.5158042907714844,0.5073451995849609,0.5044651031494141,0.5088233947753906,0.5418014526367188,0.5159568786621094,10.64,25.59822222222222,10.0,18.2,0.0,10.0,10.0,10.0,10.0,10.0,10.0,18.2,21.57,0.5801111111111108,20.0,20.6,21.4,21.4,22.1,21.6,22.1,22.4,22.2,21.9
contour,Video1,./data/Video1/Confetti8.png and 9 others,3,2.865797996520996,0.012752230517839457,2.8075218200683594,2.8275012969970703,2.849111557006836,2.854127883911133,2.771577835083008,2.861928939819336,2.7866363525390625,2.9038429260253906,2.8275680541992188,3.168163299560547,26.27,15.713444444444438,21.8,33.8,21.8,25.9,28.8,26.7,23.2,27.9,22.8,30.0,21.59,0.5987777777777777,20.0,20.6,21.4,21.4,22.1,21.6,22.1,22.4,22.2,22.1
contrastRandomization,Video1,./data/Video1/Confetti8.png and 9 others,3,1.8217744827270508,0.00021873720369411685,1.8073558807373047,1.8175506591796875,1.8354415893554688,1.8503284454345703,1.8132305145263672,1.8356513977050781,1.8089485168457031,1.807394027709961,1.8137645721435547,1.8280792236328125,12.59,1.6854444444444452,13.9,13.9,11.1,13.2,13.5,13.5,11.1,13.5,11.1,11.1,21.59,0.5987777777777777,20.0,20.6,21.4,21.4,22.1,21.6,22.1,22.4,22.2,22.1
brightnessRandomization,Video1,./data/Video1/Confetti8.png and 9 others,3,50.751543045043945,0.7018250547237889,51.13625526428223,50.11343955993652,49.80206489562988,51.955461502075195,50.278425216674805,51.96833610534668,50.15277862548828,49.9422550201416,51.569223403930664,50.597190856933594,16.66,21.564888888888888,20.9,13.2,13.2,17.1,19.5,17.1,25.0,10.8,19.0,10.8,21.6,0.4933333333333335,20.2,20.6,21.4,21.6,22.1,21.8,22.1,22.4,21.7,22.1
gaussianBlur,Video1,./data/Video1/Confetti8.png and 9 others,3,0.2828540802001953,2.211612203003218e-06,0.2823829650878906,0.2832508087158203,0.2848529815673828,0.28510093688964844,0.2823829650878906,0.2815055847167969,0.2808952331542969,0.2836036682128906,0.28098106384277344,0.2835845947265625,98.0,40.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,21.6,0.4933333333333335,20.2,20.6,21.4,21.6,22.1,21.8,22.1,22.4,21.7,22.1
meanThresh,Video1,./data/Video1/Confetti8.png and 9 others,3,2.6197500228881836,0.0017562640813492988,2.6398468017578125,2.6526355743408203,2.600393295288086,2.691679000854492,2.6346874237060547,2.636289596557617,2.637205123901367,2.567920684814453,2.565622329711914,2.5712203979492188,13.06,0.22933333333333306,13.0,13.0,13.2,13.0,13.2,13.2,13.2,11.8,13.5,13.5,21.6,0.4933333333333335,20.2,20.6,21.4,21.6,22.1,21.8,22.1,22.4,21.7,22.1
gradientSobel,Video1,./data/Video1/Confetti8.png and 9 others,3,2.523770332336426,0.001566748369441484,2.4891090393066406,2.497243881225586,2.578859329223633,2.6079845428466797,2.5226306915283203,2.4874114990234375,2.5243663787841797,2.520132064819336,2.501373291015625,2.5085926055908203,12.84,0.7915555555555553,12.2,12.2,13.5,11.5,13.7,12.2,13.7,13.7,12.0,13.7,21.6,0.4933333333333335,20.2,20.6,21.4,21.6,22.1,21.8,22.1,22.4,21.7,22.1
computeHistogram,Video1,./data/Video1/Confetti8.png and 9 others,3,0.3631753921508789,0.00010226926456703545,0.3581809997558594,0.36011695861816406,0.3681755065917969,0.3619098663330078,0.3568744659423828,0.3587532043457031,0.35915374755859375,0.35938262939453125,0.3905487060546875,0.3586578369140625,98.57,20.44899999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.7,100.0,21.6,0.4933333333333335,20.2,20.6,21.4,21.6,22.1,21.8,22.1,22.4,21.7,22.1
