Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess4.png and 9 others,3,16.478967666625977,0.6169155211763508,18.65983009338379,16.37721061706543,16.2808895111084,16.621112823486328,16.204357147216797,16.03412628173828,16.19887351989746,16.071796417236328,16.26753807067871,16.073942184448242,27.16,34.07377777777778,28.6,16.7,28.6,28.6,28.6,33.3,16.7,28.6,33.3,28.6,24.69,0.19433333333333327,23.5,24.6,24.7,24.8,24.7,24.8,24.9,24.9,25.1,24.9
resize,Video4,./data/Video4/Chess4.png and 9 others,3,0.9528989791870117,0.013422386919046403,1.2822723388671875,0.911407470703125,0.9169864654541016,0.9295845031738281,0.9174633026123047,0.9141635894775391,0.9112262725830078,0.9139633178710938,0.9193038940429688,0.9126186370849609,99.0,10.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.7,0.16888888888888848,23.6,24.6,24.7,24.8,24.7,24.8,24.9,24.9,25.1,24.9
rotate,Video4,./data/Video4/Chess4.png and 9 others,3,0.7017107009887695,0.02035465285189275,1.1011219024658203,0.6613636016845703,0.6888771057128906,0.6135463714599609,0.6915473937988281,0.6572818756103516,0.65399169921875,0.6199932098388672,0.6774234771728516,0.6519603729248047,30.47,88.83788888888888,54.5,28.6,28.6,33.3,28.6,28.6,28.6,28.6,16.7,28.6,24.7,0.16888888888888848,23.6,24.6,24.7,24.8,24.7,24.8,24.9,24.9,25.1,24.9
mirror,Video4,./data/Video4/Chess4.png and 9 others,3,0.2553739547729492,0.00238092396810114,0.3497600555419922,0.2952766418457031,0.21065711975097656,0.2095317840576172,0.22377967834472656,0.2780628204345703,0.290679931640625,0.20537376403808594,0.2191925048828125,0.2714252471923828,32.48,192.09288888888887,50.0,33.3,33.3,50.0,33.3,25.0,33.3,33.3,0.0,33.3,24.7,0.16888888888888848,23.6,24.6,24.7,24.8,24.7,24.8,24.9,24.9,25.1,24.9
contour,Video4,./data/Video4/Chess4.png and 9 others,3,1.3581295013427734,0.0140383235056005,1.6817760467529297,1.3602352142333984,1.3142013549804688,1.379251480102539,1.2733840942382812,1.2714004516601562,1.3193416595458984,1.3324546813964844,1.3318729400634766,1.3173770904541016,49.56,185.9004444444445,68.7,50.0,60.0,63.2,53.8,60.0,33.3,40.0,33.3,33.3,24.7,0.16888888888888848,23.6,24.6,24.7,24.8,24.7,24.8,24.9,24.9,25.1,24.9
contrastRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,0.6631021499633789,0.00812091321879254,0.9187412261962891,0.6362342834472656,0.6290054321289062,0.6392478942871094,0.6380462646484375,0.6449985504150391,0.6368255615234375,0.6394195556640625,0.6188774108886719,0.6296253204345703,25.15,139.6316666666667,55.6,16.7,20.0,28.6,16.7,20.0,20.0,28.6,16.7,28.6,24.7,0.16888888888888848,23.6,24.6,24.7,24.8,24.7,24.8,24.9,24.9,25.1,24.9
brightnessRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,23.041367530822754,6.837793538099707,29.780864715576172,20.36738395690918,22.649288177490234,23.768186569213867,23.398160934448242,21.237611770629883,21.147966384887695,21.924257278442383,23.259401321411133,22.88055419921875,32.73,142.74455555555556,60.0,25.0,14.3,30.0,36.4,25.0,33.3,40.0,33.3,30.0,24.83,0.20233333333333292,23.6,24.8,24.8,24.9,25.0,24.9,25.0,25.0,25.2,25.1
gaussianBlur,Video4,./data/Video4/Chess4.png and 9 others,3,0.21120929718017578,4.002816543409911e-06,0.2126598358154297,0.21284103393554688,0.20938873291015625,0.21086692810058594,0.2109241485595703,0.2106952667236328,0.20926475524902344,0.20798683166503906,0.21427154541015625,0.2131938934326172,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.83,0.20233333333333292,23.6,24.8,24.8,24.9,25.0,24.9,25.0,25.0,25.2,25.1
meanThresh,Video4,./data/Video4/Chess4.png and 9 others,3,1.2339277267456055,0.0010973637684704347,1.2754249572753906,1.216583251953125,1.2057209014892578,1.1983966827392578,1.2130928039550781,1.2687969207763672,1.2842845916748047,1.2106704711914062,1.2100505828857422,1.256256103515625,27.29,18.68766666666667,23.1,35.7,25.0,25.0,25.0,25.0,33.3,25.0,30.8,25.0,24.83,0.20233333333333292,23.6,24.8,24.8,24.9,25.0,24.9,25.0,25.0,25.2,25.1
gradientSobel,Video4,./data/Video4/Chess4.png and 9 others,3,1.4117002487182617,0.00024032886661492134,1.4337635040283203,1.4081764221191406,1.4193153381347656,1.4260005950927734,1.4175128936767578,1.3942623138427734,1.4264583587646484,1.3878822326660156,1.4082527160644531,1.3953781127929688,26.38,5.650666666666669,23.1,26.7,26.7,26.7,26.7,26.7,28.6,28.6,28.6,21.4,24.83,0.20233333333333292,23.6,24.8,24.8,24.9,25.0,24.9,25.0,25.0,25.2,25.1
