Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess4.png and 9 others,3,18.984293937683105,3.0807420197713022,21.84152603149414,18.731117248535156,18.5086727142334,22.638559341430664,17.77362823486328,18.458843231201172,17.768144607543945,17.90618896484375,18.092870712280273,18.123388290405273,31.52,57.29066666666666,40.0,28.6,25.0,50.0,28.6,28.6,28.6,28.6,28.6,28.6,24.28,0.19511111111111062,23.1,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4
resize,Video4,./data/Video4/Chess4.png and 9 others,3,1.086648941040039,0.1950715427018521,2.3432350158691406,0.9408950805664062,0.9628772735595703,0.9646511077880859,0.9617900848388672,0.9400844573974609,0.9394454956054688,0.9406471252441406,0.9373378753662109,0.9355258941650391,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.29,0.16988888888888895,23.2,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4
rotate,Video4,./data/Video4/Chess4.png and 9 others,3,1.0320634841918945,0.01323059797161679,1.3516998291015625,1.0301017761230469,0.9856319427490234,1.0139942169189453,0.9800624847412109,1.0447406768798828,0.9834384918212891,0.9809303283691406,0.9691238403320312,0.9809112548828125,27.56,103.38933333333331,53.3,30.0,20.0,27.3,33.3,27.3,20.0,22.2,20.0,22.2,24.29,0.16988888888888895,23.2,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4
mirror,Video4,./data/Video4/Chess4.png and 9 others,3,1.1463451385498047,0.021096755679334618,1.550445556640625,1.0985088348388672,1.0696601867675781,1.064453125,1.0761547088623047,1.1157989501953125,1.1158370971679688,1.1234855651855469,1.1660003662109375,1.0831069946289062,26.92,76.03288888888889,50.0,27.3,27.3,20.0,20.0,25.0,27.3,27.3,25.0,20.0,24.29,0.16988888888888895,23.2,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4
contour,Video4,./data/Video4/Chess4.png and 9 others,3,1.4334592819213867,0.014285647485950095,1.1256790161132812,1.5191459655761719,1.4423084259033203,1.5460872650146484,1.392068862915039,1.3894462585449219,1.4792346954345703,1.4938926696777344,1.4973831176757812,1.4493465423583984,98.0,40.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.29,0.16988888888888895,23.2,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4
contrastRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,0.6367702484130859,0.0007313340433433445,0.6319236755371094,0.634918212890625,0.6377124786376953,0.6289196014404297,0.6295108795166016,0.6215667724609375,0.6291389465332031,0.6213474273681641,0.7119655609130859,0.6206989288330078,25.97,44.42677777777778,16.7,28.6,28.6,33.3,28.6,33.3,16.7,16.7,28.6,28.6,24.28,0.19511111111111062,23.1,24.2,24.3,24.4,24.8,24.4,24.4,24.4,24.4,24.4
brightnessRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,24.15642738342285,4.806233457404435,30.045270919799805,23.70429039001465,24.030447006225586,23.688316345214844,21.904468536376953,23.900747299194336,23.49686622619629,23.821353912353516,22.60422706604004,24.3682861328125,35.07,79.47566666666667,43.7,25.0,30.0,33.3,45.5,25.0,33.3,25.0,44.4,45.5,24.38,0.18400000000000025,23.2,24.4,24.4,24.5,24.8,24.5,24.5,24.5,24.5,24.5
gaussianBlur,Video4,./data/Video4/Chess4.png and 9 others,3,0.19320011138916016,2.797858340070686e-07,0.19298553466796875,0.19376754760742188,0.1929950714111328,0.19272804260253906,0.1930522918701172,0.19211769104003906,0.19376754760742188,0.19342422485351562,0.19370079040527344,0.19346237182617188,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.38,0.18400000000000025,23.2,24.4,24.4,24.5,24.8,24.5,24.5,24.5,24.5,24.5
meanThresh,Video4,./data/Video4/Chess4.png and 9 others,3,1.1385269165039062,6.416052201529965e-05,1.1496448516845703,1.129446029663086,1.1474800109863281,1.129617691040039,1.1379051208496094,1.1417579650878906,1.1464786529541016,1.1412239074707031,1.1333942413330078,1.1283206939697266,24.92,7.8995555555555566,20.0,20.0,25.0,27.3,25.0,25.0,25.0,27.3,27.3,27.3,24.38,0.18400000000000025,23.2,24.4,24.4,24.5,24.8,24.5,24.5,24.5,24.5,24.5
gradientSobel,Video4,./data/Video4/Chess4.png and 9 others,3,1.5995197296142578,0.00013548742168091444,1.6207027435302734,1.6054248809814453,1.591024398803711,1.6042518615722656,1.585235595703125,1.6013240814208984,1.5802669525146484,1.602163314819336,1.6068553924560547,1.5979480743408203,25.17,0.28899999999999976,25.0,25.0,26.7,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.38,0.18400000000000025,23.2,24.4,24.4,24.5,24.8,24.5,24.5,24.5,24.5,24.5
computeHistogram,Video4,./data/Video4/Chess4.png and 9 others,3,0.9870147705078125,8.163577957829047e-05,0.9875679016113281,0.9741592407226562,0.9897041320800781,0.9772586822509766,1.0074138641357422,0.9924697875976562,0.9860420227050781,0.9833717346191406,0.9845161437988281,0.9876441955566406,25.36,15.060444444444448,20.0,22.2,27.3,27.3,27.3,20.0,27.3,30.0,22.2,30.0,24.38,0.18400000000000025,23.2,24.4,24.4,24.5,24.8,24.5,24.5,24.5,24.5,24.5
computeCanny,Video4,./data/Video4/Chess4.png and 9 others,3,6.753961563110352,0.05135546503071156,6.979875564575195,7.183237075805664,6.93821907043457,6.7254638671875,6.764965057373047,6.751279830932617,6.5528106689453125,6.603231430053711,6.619224548339844,6.421308517456055,82.32000000000001,0.519555555555555,82.9,82.9,81.4,81.2,82.9,82.4,82.8,81.5,82.1,83.1,24.33,0.16233333333333347,23.2,24.4,24.4,24.5,24.3,24.5,24.5,24.5,24.5,24.5
