Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess4.png and 9 others,3,14.972829818725586,0.42406284642816494,16.773462295532227,14.864444732666016,14.811992645263672,15.116691589355469,14.6331787109375,14.650106430053711,14.619827270507812,14.667034149169922,14.884233474731445,14.707326889038086,52.38,38.98177777777778,62.5,50.0,40.0,57.1,50.0,50.0,57.1,57.1,50.0,50.0,25.77,0.2756666666666672,24.4,25.5,25.8,25.7,26.1,26.0,26.2,26.1,26.0,25.9
resize,Video4,./data/Video4/Chess4.png and 9 others,3,1.1061229705810547,0.004872301647588352,1.3030719757080078,1.0781192779541016,1.1018657684326172,1.0875701904296875,1.0736560821533203,1.0818195343017578,1.089935302734375,1.0784626007080078,1.0935497283935547,1.0731792449951172,99.23,5.929000000000005,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.3,25.78,0.24622222222222234,24.5,25.5,25.8,25.7,26.1,26.0,26.2,26.1,26.0,25.9
rotate,Video4,./data/Video4/Chess4.png and 9 others,3,0.6576051712036133,0.011217879191462998,0.9561824798583984,0.6228828430175781,0.6388378143310547,0.6035900115966797,0.6363582611083984,0.6033039093017578,0.6493568420410156,0.6210231781005859,0.6182670593261719,0.6262493133544922,54.4,126.60000000000001,80.0,57.1,55.6,40.0,57.1,57.1,57.1,50.0,50.0,40.0,25.78,0.24622222222222234,24.5,25.5,25.8,25.7,26.1,26.0,26.2,26.1,26.0,25.9
mirror,Video4,./data/Video4/Chess4.png and 9 others,3,0.2416362762451172,0.0008252451799408947,0.2591705322265625,0.2623271942138672,0.20238876342773438,0.25440216064453125,0.2391529083251953,0.25956153869628906,0.18465042114257812,0.23095130920410156,0.24639129638671875,0.27736663818359375,35.01,954.4076666666667,50.0,66.7,50.0,0.0,66.7,50.0,66.7,0.0,0.0,0.0,25.77,0.23788888888888918,24.5,25.5,25.8,25.7,26.1,26.0,26.1,26.1,26.0,25.9
contour,Video4,./data/Video4/Chess4.png and 9 others,3,1.2496576309204102,0.004347481130429919,1.3989830017089844,1.2210369110107422,1.263265609741211,1.255807876586914,1.1678123474121094,1.1683177947998047,1.275482177734375,1.2732124328613281,1.257486343383789,1.2151718139648438,71.39,22.456555555555557,81.2,70.0,63.6,71.4,75.0,72.7,66.7,72.7,71.4,69.2,25.78,0.24622222222222234,24.5,25.5,25.8,25.7,26.1,26.0,26.2,26.1,26.0,25.9
contrastRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,0.6211481094360352,0.0017133950162436424,0.6605148315429688,0.6145763397216797,0.5846214294433594,0.60882568359375,0.6921863555908203,0.5955410003662109,0.5758953094482422,0.6807899475097656,0.6054592132568359,0.5930709838867188,52.56,77.11822222222226,71.4,42.9,50.0,57.1,57.1,50.0,57.1,50.0,50.0,40.0,25.78,0.24622222222222234,24.5,25.5,25.8,25.7,26.1,26.0,26.2,26.1,26.0,25.9
brightnessRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,24.03697967529297,5.013342062435792,29.523372650146484,21.793842315673828,25.38585662841797,24.45363998413086,23.23317527770996,23.961305618286133,21.61717414855957,23.9713191986084,23.472070693969727,22.958040237426758,56.06,76.99377777777781,76.9,50.0,55.6,54.5,50.0,50.0,63.6,60.0,50.0,50.0,25.939999999999998,0.2515555555555549,24.6,25.7,25.9,26.0,26.2,26.2,26.2,26.2,26.2,26.2
gaussianBlur,Video4,./data/Video4/Chess4.png and 9 others,3,0.31453704833984375,0.0003151756714537947,0.359344482421875,0.29723167419433594,0.3141975402832031,0.3192138671875,0.3156471252441406,0.3013420104980469,0.3174877166748047,0.31699180603027344,0.3013134002685547,0.3026008605957031,96.67,110.88899999999998,100.0,100.0,100.0,100.0,100.0,100.0,66.7,100.0,100.0,100.0,25.939999999999998,0.2515555555555549,24.6,25.7,25.9,26.0,26.2,26.2,26.2,26.2,26.2,26.2
meanThresh,Video4,./data/Video4/Chess4.png and 9 others,3,1.1162538528442383,0.0027921663594396603,1.2615776062011719,1.1197948455810547,1.1141490936279297,1.0901260375976562,1.0866641998291016,1.1139678955078125,1.0825061798095703,1.0911941528320312,1.1116409301757812,1.0909175872802734,53.37,83.75122222222227,76.9,54.5,44.4,50.0,54.5,50.0,44.4,50.0,54.5,54.5,25.939999999999998,0.2515555555555549,24.6,25.7,25.9,26.0,26.2,26.2,26.2,26.2,26.2,26.2
gradientSobel,Video4,./data/Video4/Chess4.png and 9 others,3,1.360753059387207,0.0007387479258290518,1.397247314453125,1.3998794555664062,1.3294410705566406,1.3365554809570312,1.3597869873046875,1.3518142700195312,1.3195133209228516,1.3700485229492188,1.3640117645263672,1.379232406616211,51.69,84.70766666666664,75.0,46.2,46.2,57.1,46.2,46.2,46.2,46.2,53.8,53.8,25.93,0.28233333333333316,24.5,25.7,25.9,26.0,26.2,26.2,26.2,26.2,26.2,26.2
computeHistogram,Video4,./data/Video4/Chess4.png and 9 others,3,0.6143312454223633,5.410545681014709e-05,0.6337356567382812,0.6093120574951172,0.6179237365722656,0.6109428405761719,0.6150054931640625,0.612030029296875,0.609283447265625,0.6137561798095703,0.6095790863037109,0.6117439270019531,95.65,50.045,100.0,100.0,100.0,87.5,83.3,100.0,100.0,100.0,100.0,85.7,25.93,0.28233333333333316,24.5,25.7,25.9,26.0,26.2,26.2,26.2,26.2,26.2,26.2
computeCanny,Video4,./data/Video4/Chess4.png and 9 others,3,7.983428001403809,0.013886391943742638,8.174152374267578,7.886562347412109,8.06589126586914,7.911319732666016,7.984199523925781,7.86992073059082,8.168478012084961,7.948036193847656,7.979488372802734,7.846231460571289,77.54,1.4915555555555557,75.3,77.2,77.1,77.5,78.2,76.9,80.0,78.3,78.0,76.9,25.939999999999998,0.2515555555555549,24.6,25.7,25.9,26.0,26.2,26.2,26.2,26.2,26.2,26.2
detectSift,Video4,./data/Video4/Chess4.png and 9 others,3,190.34359455108643,19.249046449784956,202.0857334136963,190.33384323120117,188.19117546081543,188.40670585632324,190.69290161132812,187.23559379577637,187.93344497680664,187.0439052581787,191.0390853881836,190.4735565185547,69.97,1.0734444444444382,71.6,70.7,70.3,71.1,68.4,70.1,69.7,68.9,68.8,70.1,26.0,0.09777777777777763,25.3,25.9,26.0,26.2,25.8,26.2,26.3,25.8,26.2,26.3
detectSurf,Video4,./data/Video4/Chess4.png and 9 others,3,420.6167459487915,184.37255376903119,435.81604957580566,415.84229469299316,434.262752532959,417.09065437316895,411.2083911895752,403.594970703125,413.41114044189453,446.4237689971924,410.39466857910156,418.1227684020996,98.45,0.18722222222222099,98.3,98.2,98.8,98.2,97.5,98.8,98.8,98.3,98.8,98.8,25.89,0.10988888888888873,25.3,25.6,26.3,25.9,25.8,25.9,25.9,25.8,26.5,25.9
goodFeatures,Video4,./data/Video4/Chess4.png and 9 others,3,21.838760375976562,9.082730535838992,23.37193489074707,22.103071212768555,17.55213737487793,22.39704132080078,23.70738983154297,27.008056640625,20.909547805786133,23.579835891723633,16.756534576416016,21.00205421447754,52.84,26.740444444444446,42.9,50.0,50.0,50.0,54.5,58.3,55.6,60.0,57.1,50.0,26.060000000000002,0.07377777777777779,25.5,25.8,26.3,26.1,26.0,26.2,26.1,26.0,26.5,26.1
houghLine,Video4,./data/Video4/Chess4.png and 9 others,3,44.15550231933594,1.000302356462473,45.3646183013916,45.232534408569336,44.84105110168457,44.32940483093262,44.43669319152832,44.918060302734375,42.76323318481445,43.32137107849121,43.74814033508301,42.59991645812988,52.14,6.1604444444444475,52.6,50.0,55.0,50.0,55.6,55.6,50.0,50.0,52.6,50.0,25.94,0.04711111111111125,25.5,25.8,25.7,26.1,26.0,26.2,26.1,26.0,25.9,26.1
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,10.811495780944824,0.05829834574595023,10.672330856323242,10.977506637573242,10.906696319580078,10.913372039794922,10.18977165222168,10.906457901000977,10.870695114135742,10.974645614624023,10.972976684570312,10.730504989624023,51.0,94.1977777777778,50.0,33.3,60.0,50.0,66.7,50.0,60.0,40.0,50.0,50.0,26.09,0.003222222222222227,26.1,26.1,26.1,26.0,26.1,26.1,26.1,26.0,26.1,26.2
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.0835590362548828,3.657256456790492e-05,1.0717105865478516,1.0770130157470703,1.0897064208984375,1.0832595825195312,1.088571548461914,1.0797691345214844,1.0874557495117188,1.0904502868652344,1.0821342468261719,1.085519790649414,98.17,15.044555555555553,100.0,100.0,100.0,90.0,91.7,100.0,100.0,100.0,100.0,100.0,26.09,0.003222222222222227,26.1,26.1,26.1,26.0,26.1,26.1,26.1,26.0,26.1,26.2
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,0.6173095703125,0.0002838087150141493,0.6526279449462891,0.6184005737304688,0.6215190887451172,0.6313037872314453,0.6167888641357422,0.5980777740478516,0.6104946136474609,0.6090927124023438,0.6217384338378906,0.5930519104003906,48.42,52.96400000000001,57.1,57.1,40.0,50.0,50.0,40.0,40.0,57.1,42.9,50.0,26.09,0.003222222222222227,26.1,26.1,26.1,26.0,26.1,26.1,26.1,26.0,26.1,26.2
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,0.24161911010742188,0.0003611262945923954,0.22790908813476562,0.23723602294921875,0.222930908203125,0.2442455291748047,0.2691936492919922,0.248260498046875,0.20809173583984375,0.24682044982910156,0.2686309814453125,0.2428722381591797,36.67,728.8645555555556,66.7,50.0,0.0,50.0,50.0,0.0,0.0,33.3,66.7,50.0,26.09,0.003222222222222227,26.1,26.1,26.1,26.0,26.1,26.1,26.1,26.0,26.1,26.2
contour,Video2,./data/Video2/Gear3.png and 9 others,3,1.4871511459350586,0.005154955184075839,1.5052318572998047,1.5473461151123047,1.5524578094482422,1.4592838287353516,1.324930191040039,1.4599227905273438,1.4389324188232422,1.5488147735595703,1.4826488494873047,1.5519428253173828,67.87,4.269000000000002,68.7,68.7,68.7,66.7,63.6,68.7,71.4,66.7,66.7,68.8,26.09,0.003222222222222227,26.1,26.1,26.1,26.0,26.1,26.1,26.1,26.0,26.1,26.2
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,0.62200927734375,0.0017826762955842747,0.5813121795654297,0.6728172302246094,0.5886650085449219,0.5967903137207031,0.62103271484375,0.6975364685058594,0.5825328826904297,0.5998134613037109,0.6109046936035156,0.6686878204345703,51.42,20.16400000000001,50.0,57.1,50.0,57.1,57.1,42.9,50.0,50.0,50.0,50.0,26.09,0.003222222222222227,26.1,26.1,26.1,26.0,26.1,26.1,26.1,26.0,26.1,26.2
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,25.1894474029541,2.371372460806419,27.453184127807617,26.16262435913086,26.874780654907227,25.762081146240234,25.072097778320312,24.77860450744629,23.505210876464844,22.32527732849121,24.350881576538086,25.609731674194336,53.36,11.051555555555556,54.5,50.0,50.0,50.0,55.6,54.5,50.0,60.0,54.5,54.5,26.23,0.0023333333333333994,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.3,26.3,26.3
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.31043434143066406,0.00011623073886666034,0.3025054931640625,0.3135395050048828,0.3174114227294922,0.33080101013183594,0.3065967559814453,0.2986907958984375,0.3197669982910156,0.3023529052734375,0.29707908630371094,0.3155994415283203,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,26.23,0.0023333333333333994,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.3,26.3,26.3
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.0936279296875,4.498718125331733e-05,1.1109733581542969,1.0912895202636719,1.0950660705566406,1.0877037048339844,1.088418960571289,1.0950851440429688,1.089181900024414,1.093149185180664,1.0949897766113281,1.0904216766357422,48.0,22.27777777777778,40.0,54.5,50.0,50.0,50.0,45.5,50.0,50.0,40.0,50.0,26.23,0.0023333333333333994,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.3,26.3,26.3
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.3546514511108398,0.0003553016692118642,1.3573741912841797,1.3223648071289062,1.3434028625488281,1.3651466369628906,1.3622665405273438,1.3482093811035156,1.3401603698730469,1.392374038696289,1.3486289978027344,1.366586685180664,49.52,10.186222222222206,46.2,46.2,53.3,46.2,50.0,50.0,53.3,53.8,46.2,50.0,26.23,0.0023333333333333994,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.3,26.3,26.3
computeHistogram,Video2,./data/Video2/Gear3.png and 9 others,3,0.6130542755126953,5.033268987770296e-06,0.6122970581054688,0.6152534484863281,0.6136989593505859,0.6155204772949219,0.61676025390625,0.6107234954833984,0.6112098693847656,0.6130886077880859,0.6099128723144531,0.6120777130126953,96.57,54.093444444444444,100.0,80.0,100.0,100.0,100.0,100.0,100.0,85.7,100.0,100.0,26.23,0.0023333333333333994,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.3,26.3,26.3
computeCanny,Video2,./data/Video2/Gear3.png and 9 others,3,4.902858734130859,0.006377351039393236,5.0070953369140625,4.985647201538086,4.922933578491211,4.865074157714844,4.841089248657227,4.7708892822265625,4.841890335083008,4.92793083190918,5.005302429199219,4.860734939575195,82.02,1.8328888888888883,80.0,82.0,84.0,80.0,81.2,83.3,82.4,83.3,82.4,81.6,26.23,0.0023333333333333994,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.3,26.3,26.3
detectSift,Video2,./data/Video2/Gear3.png and 9 others,3,186.3837718963623,8.234171178224237,187.47925758361816,186.9046688079834,186.6018772125244,186.88726425170898,185.26172637939453,186.79499626159668,179.35514450073242,185.44244766235352,189.05329704284668,190.05703926086426,68.49,0.4698888888888911,67.6,68.4,69.7,69.3,68.5,68.0,69.0,67.6,68.4,68.4,26.16,0.05377777777777778,26.3,25.8,26.2,26.3,26.3,25.8,26.3,26.4,26.3,25.9
detectSurf,Video2,./data/Video2/Gear3.png and 9 others,3,307.5772285461426,110.51066926484054,326.948881149292,310.8198642730713,308.2132339477539,308.98427963256836,305.6178092956543,306.4446449279785,303.79390716552734,288.1360054016113,298.2170581817627,318.59660148620605,97.81,1.118777777777778,96.2,97.6,98.4,98.4,96.7,96.7,99.2,97.4,98.3,99.2,26.08,0.06400000000000033,26.0,25.9,26.5,26.0,25.9,25.9,26.6,26.0,26.0,26.0
goodFeatures,Video2,./data/Video2/Gear3.png and 9 others,3,21.887493133544922,3.8292563279658984,21.9423770904541,23.3917236328125,17.395973205566406,20.62678337097168,22.053956985473633,23.185014724731445,24.001121520996094,20.60556411743164,22.198915481567383,23.473501205444336,52.39,9.707666666666672,50.0,50.0,57.1,55.6,55.6,50.0,55.6,50.0,50.0,50.0,26.21,0.03433333333333325,26.1,26.1,26.5,26.1,26.1,26.1,26.6,26.1,26.2,26.2
houghLine,Video2,./data/Video2/Gear3.png and 9 others,3,31.666851043701172,0.18659480297679287,31.88490867614746,32.097816467285156,32.02247619628906,31.339168548583984,31.408071517944336,30.894041061401367,31.732559204101562,32.282352447509766,31.73971176147461,31.267404556274414,52.97,13.777888888888883,53.8,53.8,50.0,50.0,53.8,50.0,50.0,60.0,50.0,58.3,26.1,0.004444444444444413,26.1,26.1,26.0,26.1,26.1,26.1,26.0,26.1,26.2,26.2
measureMemoryUsage,Video1,./data/Video1/Confetti6.png and 9 others,3,41.72682762145996,0.46289003168769544,42.247772216796875,42.432546615600586,41.135549545288086,42.37103462219238,41.054487228393555,41.15486145019531,41.1221981048584,42.197227478027344,42.57035255432129,40.98224639892578,50.19,10.536555555555548,55.6,50.0,47.1,47.1,52.9,46.7,52.9,46.7,52.9,50.0,27.33,0.395666666666667,26.2,26.8,26.9,27.0,27.5,27.6,27.7,28.5,27.6,27.5
resize,Video1,./data/Video1/Confetti6.png and 9 others,3,2.1321449279785156,0.0001211011234166411,2.139720916748047,2.112150192260742,2.1387767791748047,2.1178150177001953,2.1401119232177734,2.1271133422851562,2.1407699584960938,2.1309566497802734,2.1277618408203125,2.146272659301758,98.27,4.993444444444443,95.5,95.7,95.7,95.8,100.0,100.0,100.0,100.0,100.0,100.0,27.33,0.395666666666667,26.2,26.8,26.9,27.0,27.5,27.6,27.7,28.5,27.6,27.5
rotate,Video1,./data/Video1/Confetti6.png and 9 others,3,1.5129995346069336,0.0012301531923084338,1.5210914611816406,1.5031719207763672,1.5208625793457031,1.5234375,1.521453857421875,1.420736312866211,1.5435409545898438,1.5331268310546875,1.5028572082519531,1.5397167205810547,50.0,4.839999999999992,53.3,50.0,50.0,50.0,50.0,46.7,50.0,50.0,46.7,53.3,27.33,0.395666666666667,26.2,26.8,26.9,27.0,27.5,27.6,27.7,28.5,27.6,27.5
mirror,Video1,./data/Video1/Confetti6.png and 9 others,3,0.7219820022583008,0.006218554862142709,0.8019638061523438,0.7847213745117188,0.6528568267822266,0.7024383544921875,0.808563232421875,0.7024669647216797,0.8042526245117188,0.7430362701416016,0.5998325347900391,0.6196880340576172,47.0,34.53555555555556,50.0,42.9,40.0,57.1,50.0,50.0,50.0,50.0,40.0,40.0,27.33,0.395666666666667,26.2,26.8,26.9,27.0,27.5,27.6,27.7,28.5,27.6,27.5
