Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video4,./data/Video4/Chess4.png and 9 others,3,16.759824752807617,1.9721899939718748,18.51367950439453,16.153335571289062,16.030311584472656,16.228437423706055,16.122102737426758,15.91634750366211,20.119667053222656,16.34669303894043,16.07990264892578,16.087770462036133,53.8,40.43333333333334,62.5,50.0,40.0,57.1,57.1,50.0,50.0,57.1,57.1,57.1,25.41,0.26099999999999995,24.0,25.3,25.5,25.6,25.5,25.5,25.7,25.6,25.7,25.7
resize,Video4,./data/Video4/Chess4.png and 9 others,3,1.377817153930664,0.11835296324635339,1.5494728088378906,1.1481666564941406,1.1098670959472656,1.1231708526611328,1.109457015991211,1.7090702056884766,1.1162090301513672,1.9045543670654297,1.882781982421875,1.1254215240478516,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.43,0.20900000000000027,24.2,25.2,25.5,25.6,25.6,25.5,25.7,25.6,25.7,25.7
rotate,Video4,./data/Video4/Chess4.png and 9 others,3,0.9632730484008789,0.0070793173664343255,1.2007999420166016,0.9582805633544922,0.9354209899902344,0.9194564819335938,0.9347438812255859,0.9302902221679688,0.9462738037109375,0.94482421875,0.9320926666259766,0.9305477142333984,53.67,130.16677777777775,83.3,44.4,44.4,55.6,44.4,55.6,50.0,54.5,50.0,54.5,25.43,0.20900000000000027,24.2,25.2,25.5,25.6,25.6,25.5,25.7,25.6,25.7,25.7
mirror,Video4,./data/Video4/Chess4.png and 9 others,3,1.058095932006836,0.02321433312722042,1.4820098876953125,0.9600448608398438,1.0399150848388672,1.0341262817382812,1.0430908203125,1.0023975372314453,0.9990215301513672,0.9724235534667969,1.057281494140625,0.9906482696533203,51.629999999999995,105.13566666666664,78.6,50.0,44.4,45.5,44.4,44.4,54.5,50.0,54.5,50.0,25.43,0.20900000000000027,24.2,25.2,25.5,25.6,25.6,25.5,25.7,25.6,25.7,25.7
contour,Video4,./data/Video4/Chess4.png and 9 others,3,1.3587961196899414,0.002973775846031559,1.3397502899169922,1.4043140411376953,1.3251399993896484,1.4203834533691406,1.270761489868164,1.282052993774414,1.40838623046875,1.4146041870117188,1.3707160949707031,1.3518524169921875,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.43,0.20900000000000027,24.2,25.2,25.5,25.6,25.6,25.5,25.7,25.6,25.7,25.7
contrastRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,0.615300178527832,0.005194297539977318,0.8149337768554688,0.5865669250488281,0.6311702728271484,0.6041526794433594,0.5891132354736328,0.5970954895019531,0.5824375152587891,0.5667972564697266,0.58990478515625,0.5908298492431641,53.88,178.54844444444444,87.5,57.1,57.1,50.0,40.0,57.1,50.0,40.0,50.0,50.0,25.43,0.20900000000000027,24.2,25.2,25.5,25.6,25.6,25.5,25.7,25.6,25.7,25.7
brightnessRandomization,Video4,./data/Video4/Chess4.png and 9 others,3,25.397706031799316,6.387189943603112,32.291412353515625,24.211883544921875,23.665666580200195,25.189638137817383,25.771379470825195,24.198532104492188,25.777578353881836,24.104595184326172,24.555683135986328,24.210691452026367,61.57,48.58233333333331,78.6,63.6,60.0,55.6,60.0,55.6,60.0,66.7,55.6,60.0,25.55,0.2072222222222221,24.3,25.4,25.6,25.7,25.7,25.7,25.8,25.7,25.8,25.8
gaussianBlur,Video4,./data/Video4/Chess4.png and 9 others,3,0.290771484375,0.00018003692578834793,0.28621673583984375,0.3014087677001953,0.3190422058105469,0.27904510498046875,0.28359413146972656,0.28166770935058594,0.28408050537109375,0.2752399444580078,0.29743194580078125,0.29998779296875,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.55,0.2072222222222221,24.3,25.4,25.6,25.7,25.7,25.7,25.8,25.7,25.8,25.8
meanThresh,Video4,./data/Video4/Chess4.png and 9 others,3,1.0810508728027344,0.002882208278202193,1.226968765258789,1.0492229461669922,1.0349369049072266,1.0745620727539062,1.0789299011230469,1.0785293579101562,1.0884952545166016,1.0634517669677734,1.058053970336914,1.0573577880859375,53.57,132.64455555555554,83.3,50.0,40.0,54.5,50.0,54.5,54.5,44.4,54.5,50.0,25.55,0.2072222222222221,24.3,25.4,25.6,25.7,25.7,25.7,25.8,25.7,25.8,25.8
gradientSobel,Video4,./data/Video4/Chess4.png and 9 others,3,1.5501117706298828,0.0019218560232224667,1.6565418243408203,1.5369033813476562,1.4869022369384766,1.5704536437988281,1.5336132049560547,1.5382194519042969,1.5238189697265625,1.5637969970703125,1.5504169464111328,1.5404510498046875,49.04,32.28488888888889,58.8,42.9,53.3,50.0,42.9,46.7,50.0,56.2,46.7,42.9,25.54,0.2360000000000003,24.2,25.4,25.6,25.7,25.7,25.7,25.8,25.7,25.8,25.8
