Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,82.13286399841309,908.2037133895129,125.82778930664062,68.56870651245117,59.65924263000488,103.2869815826416,57.56402015686035,98.39653968811035,62.72315979003906,58.344364166259766,132.59291648864746,54.364919662475586,32.96,107.92933333333333,19.6,33.3,40.0,23.1,43.5,25.7,38.1,42.9,18.4,45.0,33.089999999999996,14.623222222222214,23.8,30.0,32.2,35.5,33.3,35.8,33.8,36.3,33.9,36.3
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,6.375380516052246,252.2097886408311,51.57303810119629,1.2790966033935547,1.3664817810058594,1.3040828704833984,1.2836837768554688,1.2832069396972656,1.5803146362304688,1.3361263275146484,1.4386558532714844,1.3091182708740234,88.32,786.3973333333333,9.5,100.0,92.9,100.0,100.0,100.0,87.5,100.0,93.3,100.0,33.12,13.815111111111104,24.3,29.7,32.3,35.5,33.3,35.8,33.8,36.3,33.9,36.3
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,6.002898216247559,117.88274088138071,36.77797317504883,3.3910179138183594,1.4855480194091797,3.386240005493164,3.694744110107422,1.5091705322265625,1.48406982421875,3.4076404571533203,1.500539779663086,3.392038345336914,23.12,67.38844444444443,0.0,24.2,26.7,24.2,27.0,25.0,26.7,26.5,26.7,24.2,33.12,13.815111111111104,24.3,29.7,32.3,35.5,33.3,35.8,33.8,36.3,33.9,36.3
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,1.6606025695800781,10.412301176212269,10.844230651855469,0.6460762023925781,0.6591320037841797,0.6305027008056641,0.6319141387939453,0.6361293792724609,0.6370162963867188,0.633392333984375,0.6475734710693359,0.6400585174560547,22.17,92.14900000000002,0.0,28.6,16.7,16.7,28.6,16.7,28.6,28.6,28.6,28.6,33.12,13.815111111111104,24.3,29.7,32.3,35.5,33.3,35.8,33.8,36.3,33.9,36.3
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,9.315125465393066,242.20602268752575,53.607940673828125,4.3990325927734375,4.301815032958984,4.429559707641602,4.353780746459961,4.381723403930664,4.405603408813477,4.423007965087891,4.460630416870117,4.388160705566406,32.06,93.02266666666667,4.8,35.7,36.6,33.3,34.1,35.7,35.7,33.3,35.7,35.7,33.129999999999995,13.62011111111111,24.4,29.7,32.3,35.5,33.3,35.8,33.8,36.3,33.9,36.3
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,2.349822998046875,0.0004506254562228504,2.346029281616211,2.343006134033203,2.4069976806640625,2.3502540588378906,2.347097396850586,2.3448944091796875,2.3271656036376953,2.3485946655273438,2.3366355895996094,2.347555160522461,25.11,1.7343333333333353,25.0,26.1,25.0,26.1,25.0,21.7,26.1,25.0,25.0,26.1,33.16,13.047111111111109,24.7,29.7,32.3,35.5,33.3,35.8,33.8,36.3,33.9,36.3
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,68.18361282348633,142.25361059440425,100.36683082580566,54.73446846008301,63.222646713256836,68.12286376953125,64.56160545349121,67.02566146850586,64.9864673614502,67.31939315795898,64.81623649597168,66.6799545288086,29.19,8.467666666666664,22.0,28.6,28.0,29.6,30.8,29.6,30.8,29.6,33.3,29.6,32.46,8.415999999999999,25.2,29.8,32.4,33.2,34.0,33.3,34.5,33.8,34.6,33.8
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,3.0629730224609375,70.23578305355234,26.912927627563477,0.7093048095703125,0.37238121032714844,0.37052154541015625,0.36330223083496094,0.3948974609375,0.3755378723144531,0.38405418395996094,0.3771209716796875,0.36968231201171875,87.5,883.9200000000001,8.3,66.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,32.46,8.415999999999999,25.2,29.8,32.4,33.2,34.0,33.3,34.5,33.8,34.6,33.8
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,6.413083076477051,97.52948606593843,34.51967239379883,3.2631778717041016,3.2794570922851562,3.2535552978515625,3.312673568725586,3.3401107788085938,3.283109664916992,3.2639217376708984,3.3455657958984375,3.2695865631103516,23.02,29.504,7.7,25.0,25.0,24.2,26.5,25.0,24.2,24.2,24.2,24.2,32.46,8.415999999999999,25.2,29.8,32.4,33.2,34.0,33.3,34.5,33.8,34.6,33.8
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,9.193852424621582,242.77627641527639,53.53665351867676,3.956928253173828,4.4307708740234375,4.4080352783203125,4.362020492553711,4.118680953979492,4.221582412719727,4.478206634521484,4.217967987060547,4.207677841186523,23.08,43.43955555555556,4.5,25.0,25.0,25.0,23.3,26.2,26.2,25.0,26.2,24.4,32.46,8.415999999999999,25.2,29.8,32.4,33.2,34.0,33.3,34.5,33.8,34.6,33.8
