Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video3,./data/Video3/Talk10.png and 9 others,3,9.08344554901123,0.7889452981352305,8.682403564453125,11.588096618652344,8.822851181030273,8.81352424621582,8.640880584716797,8.785171508789062,8.719358444213867,9.078207015991211,8.874998092651367,8.828964233398438,2.27,51.529,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,39.26,0.00933333333333303,39.2,39.3,39.2,39.2,39.2,39.3,39.5,39.2,39.2,39.3
resize,Video3,./data/Video3/Talk10.png and 9 others,3,0.3249645233154297,0.00017314042553253885,0.3347969055175781,0.3328418731689453,0.31093597412109375,0.31188011169433594,0.3102397918701172,0.32767295837402344,0.309600830078125,0.34195899963378906,0.3282737731933594,0.3414440155029297,1.4300000000000002,20.449000000000005,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,39.27,0.008999999999999703,39.2,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
rotate,Video3,./data/Video3/Talk10.png and 9 others,3,0.22262096405029297,3.667252915167612e-05,0.22299766540527344,0.22159576416015625,0.2210712432861328,0.22095680236816406,0.2184772491455078,0.21811485290527344,0.2192401885986328,0.2377605438232422,0.21823883056640625,0.22775650024414062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.27,0.008999999999999703,39.2,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
mirror,Video3,./data/Video3/Talk10.png and 9 others,3,0.15047168731689453,0.0002741005512992463,0.1434803009033203,0.14528274536132812,0.14532089233398438,0.1927947998046875,0.1425457000732422,0.14080047607421875,0.14104843139648438,0.1455974578857422,0.16576766967773438,0.14207839965820312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.27,0.008999999999999703,39.2,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
contour,Video3,./data/Video3/Talk10.png and 9 others,3,0.9967889785766602,0.031316824090228894,0.6210803985595703,1.045675277709961,1.206045150756836,1.0361194610595703,0.9428024291992188,1.086883544921875,1.0762405395507812,1.1704826354980469,0.7835960388183594,0.9989643096923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.27,0.008999999999999703,39.2,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
contrastRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,0.42830467224121094,7.843015434142823e-05,0.4317951202392578,0.42883872985839844,0.4336738586425781,0.4220390319824219,0.4283618927001953,0.4252338409423828,0.4196739196777344,0.42087554931640625,0.4228782653808594,0.449676513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.27,0.008999999999999703,39.2,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
brightnessRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,17.93217658996582,0.8296316941090885,17.878055572509766,16.663074493408203,16.44277572631836,18.53489875793457,18.160104751586914,18.33200454711914,18.834829330444336,18.62502098083496,18.864870071411133,16.98613166809082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28,0.008444444444444178,39.3,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
gaussianBlur,Video3,./data/Video3/Talk10.png and 9 others,3,0.13153362274169922,3.68216822405682e-05,0.1307201385498047,0.12464523315429688,0.12564659118652344,0.139007568359375,0.1362323760986328,0.12528419494628906,0.14163970947265625,0.1279163360595703,0.1293182373046875,0.13492584228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28,0.008444444444444178,39.3,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
meanThresh,Video3,./data/Video3/Talk10.png and 9 others,3,0.5330724716186523,0.00019959653602402087,0.5245685577392578,0.5322837829589844,0.5281162261962891,0.5281925201416016,0.5243682861328125,0.5260753631591797,0.5414772033691406,0.5300712585449219,0.5705642700195312,0.5250072479248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28,0.008444444444444178,39.3,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
gradientSobel,Video3,./data/Video3/Talk10.png and 9 others,3,0.6590042114257812,0.0018128626268460518,0.7777595520019531,0.6663227081298828,0.6506824493408203,0.6449222564697266,0.6395626068115234,0.6468772888183594,0.6354045867919922,0.6431102752685547,0.6462764739990234,0.6391239166259766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28,0.008444444444444178,39.3,39.3,39.2,39.2,39.3,39.3,39.5,39.2,39.2,39.3
