Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,76.7801284790039,20.907227682679757,85.71505546569824,81.39896392822266,75.94037055969238,77.5907039642334,72.91507720947266,79.18071746826172,75.46782493591309,69.2901611328125,76.10154151916504,74.20086860656738,65.99,33.24766666666668,68.7,53.3,66.7,66.7,73.3,64.3,60.0,66.7,68.8,71.4,28.64,4.1560000000000015,23.4,29.1,27.8,30.0,29.8,29.8,28.0,29.9,28.4,30.2
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,3.3907880783081055,10.35222152781292,12.525558471679688,2.6312923431396484,1.9989299774169922,2.2388553619384766,2.7303504943847656,2.5695133209228516,2.2330665588378906,2.202024459838867,2.4733638763427734,2.3049259185791016,93.33,444.889,33.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.68,3.5462222222222235,23.9,28.8,28.0,30.0,29.8,29.8,28.0,29.9,28.4,30.2
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.7147283554077148,0.0008335569479337815,1.7159557342529297,1.6790771484375,1.7406845092773438,1.7396831512451172,1.6789722442626953,1.7618942260742188,1.7296791076660156,1.6895771026611328,1.7203235626220703,1.691436767578125,51.68,7.317333333333337,50.0,50.0,55.6,50.0,50.0,50.0,55.6,50.0,55.6,50.0,28.68,3.5462222222222235,23.9,28.8,28.0,30.0,29.8,29.8,28.0,29.9,28.4,30.2
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.8763427734375,0.0026750243260822673,0.846099853515625,0.8356189727783203,0.8616065979003906,0.9732341766357422,0.8212375640869141,0.8524608612060547,0.8846950531005859,0.8560752868652344,0.868072509765625,0.9643268585205078,51.0,32.22222222222222,50.0,50.0,50.0,50.0,40.0,50.0,60.0,60.0,50.0,50.0,28.68,3.5462222222222235,23.9,28.8,28.0,30.0,29.8,29.8,28.0,29.9,28.4,30.2
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,5.300823211669922,3.190192369163722,10.381460189819336,4.663629531860352,4.742870330810547,4.811849594116211,4.6728515625,4.677696228027344,4.742898941040039,4.7531890869140625,4.7177886962890625,4.843997955322266,56.92,70.40400000000001,33.3,59.1,60.9,60.9,58.3,60.9,60.9,58.3,58.3,58.3,28.69,3.441,24.0,28.8,28.0,30.0,29.8,29.8,28.0,29.9,28.4,30.2
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,1.5700435638427734,0.002379558746825852,1.5906810760498047,1.656179428100586,1.5720939636230469,1.546030044555664,1.6528606414794922,1.5259075164794922,1.5288829803466797,1.5322685241699219,1.553659439086914,1.5418720245361328,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,28.72,3.1373333333333324,24.3,28.8,28.0,30.0,29.8,29.8,28.0,29.9,28.4,30.2
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,61.6260290145874,22.408506993719534,68.08161735534668,50.95958709716797,62.07609176635742,66.41435623168945,61.611175537109375,59.39936637878418,61.19179725646973,60.65487861633301,60.33015251159668,65.54126739501953,54.129999999999995,12.477888888888888,50.0,60.0,53.8,57.1,53.8,50.0,50.0,58.3,54.5,53.8,28.38,2.297333333333332,24.8,28.8,28.0,27.7,29.9,29.8,28.7,29.9,28.4,27.8
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.5792522430419922,0.004989781053963169,0.5602741241455078,0.5488491058349609,0.5598545074462891,0.6326198577880859,0.7649517059326172,0.5385684967041016,0.5472564697265625,0.5440139770507812,0.5431079864501953,0.5530261993408203,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.38,2.297333333333332,24.8,28.8,28.0,27.7,29.9,29.8,28.7,29.9,28.4,27.8
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,2.923781394958496,0.0014610866259722065,2.9944324493408203,2.905244827270508,2.9638290405273438,2.9413795471191406,2.948923110961914,2.9204940795898438,2.908802032470703,2.8729820251464844,2.878904342651367,2.902822494506836,49.34,4.355999999999993,50.0,50.0,46.7,50.0,50.0,46.7,50.0,46.7,53.3,50.0,28.38,2.297333333333332,24.8,28.8,28.0,27.7,29.9,29.8,28.7,29.9,28.4,27.8
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,4.24798583984375,6.663645901773837,11.594295501708984,3.453073501586914,3.452625274658203,3.4006690979003906,3.491344451904297,3.4490299224853516,3.4125900268554688,3.398466110229492,3.425140380859375,3.4026241302490234,45.29,255.9321111111111,0.0,52.9,50.0,50.0,47.1,50.0,50.0,52.9,50.0,50.0,28.38,2.297333333333332,24.8,28.8,28.0,27.7,29.9,29.8,28.7,29.9,28.4,27.8
