Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti1.png and 9 others,3,52.39665508270264,0.9330621127092955,51.99742317199707,53.99584770202637,52.99496650695801,50.99654197692871,52.99782752990723,51.99623107910156,52.99854278564453,50.99797248840332,52.99687385559082,51.99432373046875,26.2,9.677777777777777,27.3,23.1,30.8,28.6,26.7,25.0,23.5,30.8,23.1,23.1,59.09,0.17877777777777795,58.9,59.6,59.6,59.6,59.5,58.8,58.8,58.7,58.7,58.7
resize,Video1,./data\Video1\Confetti1.png and 9 others,3,2.590299606323242,0.010194048166643674,2.840099334716797,2.519969940185547,2.6399993896484375,2.519865036010742,2.5600051879882812,2.559995651245117,2.519979476928711,2.640047073364258,2.6000213623046875,2.5030136108398438,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.09,0.17655555555555627,58.8,59.6,59.6,59.6,59.5,58.8,58.8,58.8,58.7,58.7
rotate,Video1,./data\Video1\Confetti1.png and 9 others,3,3.0405492782592773,0.006383114912548788,3.2534408569335938,3.0399703979492188,2.960023880004883,3.0399036407470703,2.9999351501464844,3.040037155151367,3.0001068115234375,3.039989471435547,2.9920291900634766,3.0400562286376953,36.61,57.17655555555555,40.0,44.4,33.3,35.3,33.3,52.9,35.3,35.3,30.0,26.3,59.11,0.16766666666666719,59.0,59.6,59.6,59.6,59.5,58.8,58.8,58.8,58.7,58.7
mirror,Video1,./data\Video1\Confetti1.png and 9 others,3,4.689934730529785,0.16491588794552728,5.839929580688477,4.479990005493164,4.560184478759766,4.519996643066406,4.5999908447265625,4.599981307983398,4.560108184814453,4.539003372192383,4.600000381469727,4.600162506103516,38.56,176.47600000000003,73.7,36.7,41.2,29.6,27.6,28.1,38.7,40.0,36.7,33.3,59.11,0.16766666666666719,59.0,59.6,59.6,59.6,59.5,58.8,58.8,58.8,58.7,58.7
contour,Video1,./data\Video1\Confetti1.png and 9 others,3,8.452778816223145,1.5541400603463746,11.996746063232422,8.199853897094727,8.040075302124023,8.07988166809082,7.959909439086914,8.039913177490234,8.039827346801758,8.051748275756836,8.079853057861328,8.039979934692383,64.98,205.50622222222222,100.0,67.3,46.2,55.8,61.5,61.5,71.2,55.6,69.2,61.5,59.11,0.16766666666666719,59.0,59.6,59.6,59.6,59.5,58.8,58.8,58.8,58.7,58.7
contrastRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,5.368027687072754,0.0020602848811298222,5.439968109130859,5.359983444213867,5.400075912475586,5.3600311279296875,5.359935760498047,5.320043563842773,5.360202789306641,5.439968109130859,5.319986343383789,5.32008171081543,33.06,26.889333333333322,37.5,29.0,33.3,28.1,32.3,42.9,28.1,28.1,32.4,38.9,59.09,0.1832222222222219,59.0,59.6,59.6,59.6,59.5,58.7,58.8,58.7,58.7,58.7
brightnessRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,120.09897232055664,10.545800632321011,121.99711799621582,111.99355125427246,119.99750137329102,120.99599838256836,119.99845504760742,120.03064155578613,119.9953556060791,120.00036239624023,124.99547004699707,120.98526954650879,31.99,57.516555555555534,36.4,43.8,43.3,25.0,25.0,32.4,22.6,25.8,31.2,34.4,59.05,0.1627777777777772,59.0,59.6,59.5,59.5,59.4,58.7,58.8,58.7,58.7,58.6
gaussianBlur,Video1,./data\Video1\Confetti1.png and 9 others,3,1.2686023712158203,0.007765527702253571,1.4966869354248047,1.2093162536621094,1.214456558227539,1.2302780151367188,1.2330818176269531,1.237497329711914,1.211252212524414,1.2966537475585938,1.2368392944335938,1.3199615478515625,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.09,0.1832222222222219,59.0,59.6,59.6,59.6,59.5,58.7,58.8,58.7,58.7,58.7
meanThresh,Video1,./data\Video1\Confetti1.png and 9 others,3,4.544034957885742,0.0025581733643775806,4.679994583129883,4.519996643066406,4.520130157470703,4.520082473754883,4.520063400268555,4.560060501098633,4.519996643066406,4.520015716552734,4.559965133666992,4.520044326782227,30.82,15.808444444444445,30.0,28.6,26.9,30.8,30.0,35.7,39.3,31.0,30.0,25.9,59.11,0.1743333333333334,59.1,59.6,59.6,59.6,59.5,58.7,58.8,58.8,58.7,58.7
gradientSobel,Video1,./data\Video1\Confetti1.png and 9 others,3,9.275519371032715,0.39722146062255587,8.960018157958984,10.995149612426758,9.159936904907227,9.039983749389648,8.960065841674805,8.960027694702148,9.080076217651367,9.040021896362305,9.559907913208008,9.000005722045898,33.0,21.662222222222223,30.5,40.0,36.1,32.3,29.5,29.3,28.8,29.3,41.5,32.7,59.11,0.1743333333333334,59.1,59.6,59.6,59.6,59.5,58.7,58.8,58.8,58.7,58.7
