Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,65.16063213348389,98.15443343402168,60.73737144470215,91.43614768981934,65.55986404418945,59.82804298400879,60.29653549194336,70.88899612426758,63.2779598236084,60.328006744384766,59.94677543640137,59.30662155151367,65.19,20.68988888888889,61.5,70.6,71.4,69.2,63.6,57.1,66.7,66.7,63.6,61.5,28.83,6.026777777777781,23.4,29.0,27.5,29.4,27.5,29.3,30.0,29.5,33.1,29.6
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,2.0994157791137695,0.17022066436463015,2.188262939453125,3.1187057495117188,1.9317817687988281,2.2987747192382812,1.8379402160644531,2.2005558013916016,2.060689926147461,1.929330825805664,1.6390037536621094,1.7891120910644531,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.87,5.33788888888889,24.0,28.8,27.5,29.4,27.5,29.3,30.0,29.5,33.1,29.6
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.6353340148925781,0.06965751544662958,1.5365123748779297,2.3672103881835938,1.6122913360595703,1.6664505004882812,1.617727279663086,1.511831283569336,1.4996051788330078,1.496286392211914,1.5484333038330078,1.4969921112060547,50.56,14.338222222222228,57.1,50.0,50.0,55.6,50.0,42.9,50.0,50.0,50.0,50.0,28.87,5.33788888888889,24.0,28.8,27.5,29.4,27.5,29.3,30.0,29.5,33.1,29.6
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.6988859176635742,0.047684199757390563,0.8252048492431641,1.2419414520263672,0.5669689178466797,0.8238792419433594,0.6002616882324219,0.5351924896240234,0.6504631042480469,0.5507183074951172,0.5539226531982422,0.6403064727783203,51.67,89.86455555555558,50.0,50.0,50.0,50.0,66.7,50.0,50.0,50.0,66.7,33.3,28.87,5.33788888888889,24.0,28.8,27.5,29.4,27.5,29.3,30.0,29.5,33.1,29.6
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,4.601099967956543,0.619456273773014,4.081573486328125,6.767988204956055,4.334173202514648,4.419116973876953,4.506187438964844,4.290933609008789,4.2859649658203125,4.317750930786133,4.8211669921875,4.18614387512207,58.22,2.4351111111111092,60.0,58.8,59.1,59.1,56.5,60.9,57.1,57.1,56.5,57.1,28.33,3.1778888888888894,24.0,28.8,27.5,29.4,27.5,29.3,30.0,29.5,27.7,29.6
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,1.3692378997802734,0.020373881185757153,1.2647342681884766,1.7645645141601562,1.3527870178222656,1.3437461853027344,1.364278793334961,1.3330268859863281,1.3072681427001953,1.3163566589355469,1.3612556457519531,1.2843608856201172,50.71,16.24322222222223,57.1,50.0,50.0,50.0,50.0,57.1,50.0,50.0,50.0,42.9,28.36,2.898222222222222,24.3,28.8,27.5,29.4,27.5,29.3,30.0,29.5,27.7,29.6
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,55.532217025756836,6.582851091884044,55.40657043457031,56.09583854675293,58.418989181518555,52.9024600982666,54.351091384887695,53.11226844787598,52.84380912780762,59.50140953063965,53.884267807006836,58.80546569824219,53.01,8.192111111111107,54.5,54.5,58.3,50.0,50.0,50.0,54.5,53.8,50.0,54.5,28.15,2.140555555555556,24.9,28.8,28.2,29.4,28.2,29.4,30.1,27.3,27.7,27.5
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.5717020034790039,0.01204197111999545,0.5029010772705078,0.5587673187255859,0.8178138732910156,0.47980308532714844,0.5627536773681641,0.5508136749267578,0.5877971649169922,0.6989479064941406,0.4886817932128906,0.46874046325683594,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.15,2.140555555555556,24.9,28.8,28.2,29.4,28.2,29.4,30.1,27.3,27.7,27.5
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,2.6503372192382812,0.026667542705480527,2.447032928466797,3.0286598205566406,2.698678970336914,2.607250213623047,2.7581310272216797,2.532224655151367,2.657451629638672,2.637767791748047,2.645692825317383,2.4904823303222656,51.089999999999996,6.307666666666657,50.0,53.3,50.0,53.8,50.0,50.0,53.8,46.2,53.8,50.0,28.15,2.140555555555556,24.9,28.8,28.2,29.4,28.2,29.4,30.1,27.3,27.7,27.5
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.2953081130981445,0.04154772299746886,3.0585765838623047,3.7886524200439453,3.286724090576172,3.255796432495117,3.4819602966308594,3.2235240936279297,3.2146644592285156,3.1765174865722656,3.2811641693115234,3.1855010986328125,49.41,3.4432222222222193,46.7,47.4,50.0,50.0,52.9,50.0,50.0,50.0,47.1,50.0,28.15,2.140555555555556,24.9,28.8,28.2,29.4,28.2,29.4,30.1,27.3,27.7,27.5
