Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti1.png and 9 others,3,48.99919033050537,4.05406769724929,44.99673843383789,51.99575424194336,50.99654197692871,48.00248146057129,50.504446029663086,48.966407775878906,49.00789260864258,47.005414962768555,49.004554748535156,49.51167106628418,25.4,0.7311111111111113,25.0,25.0,25.0,25.0,26.7,25.0,25.0,25.0,27.3,25.0,55.91,0.04766666666666706,55.3,56.0,56.0,56.0,55.9,55.9,56.0,56.0,56.0,56.0
resize,Video1,./data\Video1\Confetti1.png and 9 others,3,2.2761240005493164,0.003291758800211634,2.300558090209961,2.239999771118164,2.1999454498291016,2.239990234375,2.3600196838378906,2.380704879760742,2.279987335205078,2.239999771118164,2.240009307861328,2.2800254821777344,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.93,0.035666666666666846,55.4,56.0,56.0,56.0,55.9,56.0,56.0,56.0,56.0,56.0
rotate,Video1,./data\Video1\Confetti1.png and 9 others,3,2.520419120788574,0.0007014504656884432,2.5599193572998047,2.5200271606445312,2.521181106567383,2.559938430786133,2.5211143493652344,2.5199508666992188,2.5211238861083984,2.5199508666992188,2.4810409545898438,2.4799442291259766,33.06,56.907111111111114,50.0,35.3,37.5,31.2,31.2,25.0,37.5,31.2,26.7,25.0,55.94,0.0248888888888889,55.5,56.0,56.0,56.0,55.9,56.0,56.0,56.0,56.0,56.0
mirror,Video1,./data\Video1\Confetti1.png and 9 others,3,3.3859500885009766,0.001995737232694713,3.440084457397461,3.3600807189941406,3.4000396728515625,3.4412288665771484,3.3600330352783203,3.3599853515625,3.320178985595703,3.4000301361083984,3.337831497192383,3.4400081634521484,35.0,63.98222222222224,54.2,37.5,33.3,33.3,29.2,25.0,33.3,35.0,40.0,29.2,55.93,0.024555555555555574,55.5,56.0,56.0,56.0,55.9,55.9,56.0,56.0,56.0,56.0
contour,Video1,./data\Video1\Confetti1.png and 9 others,3,7.325732231140137,2.1207809315061845,10.998964309692383,6.761503219604492,6.518573760986328,6.719942092895508,8.798809051513672,6.759958267211914,6.478776931762695,6.800050735473633,6.619577407836914,6.801166534423828,56.33,162.0978888888889,75.0,61.0,53.2,67.5,65.0,47.7,57.5,40.9,62.2,33.3,55.95,0.027222222222222286,55.5,56.0,56.0,56.1,56.0,56.0,56.0,56.0,56.0,55.9
contrastRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,4.138368606567383,0.09550183274970753,4.980382919311523,3.9598464965820312,4.039783477783203,3.881511688232422,4.160966873168945,4.000062942504883,3.999948501586914,4.080009460449219,4.121236801147461,4.159936904907227,36.51,258.0832222222222,81.2,29.2,34.6,39.1,32.1,29.2,28.6,29.2,33.3,28.6,55.91,0.023222222222222234,55.5,56.0,56.0,56.0,55.9,55.9,55.9,56.0,56.0,55.9
brightnessRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,96.03643417358398,11.5488063935724,96.99678421020508,87.9969596862793,95.96657752990723,94.96378898620605,101.96447372436523,96.99821472167969,97.0005989074707,95.99900245666504,95.96633911132812,96.5116024017334,34.97,63.73122222222223,44.0,23.8,32.0,51.6,32.1,37.5,29.2,34.6,35.7,29.2,55.89,0.02322222222222227,55.5,56.0,56.0,56.0,55.9,55.9,55.9,55.9,56.0,55.8
gaussianBlur,Video1,./data\Video1\Confetti1.png and 9 others,3,0.9759616851806641,0.0004265544501120328,0.9599590301513672,0.9999752044677734,0.9999465942382812,0.9600162506103516,0.9999656677246094,0.9999465942382812,0.9599399566650391,0.9599494934082031,0.9599685668945312,0.9599494934082031,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,55.92,0.02400000000000002,55.5,56.0,56.0,56.0,55.9,55.9,56.0,56.0,56.0,55.9
meanThresh,Video1,./data\Video1\Confetti1.png and 9 others,3,3.220418930053711,0.010108054351197401,3.32000732421875,3.1612205505371094,3.2399654388427734,3.442096710205078,3.2399749755859375,3.159914016723633,3.2399463653564453,3.1212615966796875,3.159952163696289,3.1198501586914062,30.84,26.302666666666674,29.2,25.0,37.5,41.7,30.0,30.0,25.0,30.0,30.0,30.0,55.95,0.016111111111111017,55.6,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,55.9
gradientSobel,Video1,./data\Video1\Confetti1.png and 9 others,3,7.136040687561035,0.007568475877835428,7.3600006103515625,7.161293029785156,7.118806838989258,7.119951248168945,7.15998649597168,7.080183029174805,7.079973220825195,7.120189666748047,7.12122917175293,7.038793563842773,29.83,13.462333333333328,29.2,36.4,27.1,25.0,31.2,27.1,29.5,26.7,34.9,31.2,55.93,0.01566666666666659,55.6,56.0,56.0,56.0,55.9,55.9,56.0,56.0,56.0,55.9
