Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,55.02603054046631,15.346754031497767,56.98657035827637,51.96952819824219,61.3095760345459,58.2127571105957,60.00852584838867,51.7427921295166,51.05161666870117,50.98605155944824,52.34503746032715,55.647850036621094,19.990000000000002,2.483222222222222,19.6,20.0,18.7,17.8,19.6,23.8,20.0,20.0,19.5,20.9,11.36,3.0293333333333337,7.5,9.2,10.9,11.6,11.8,12.9,12.9,12.2,12.4,12.2
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,1.7641544342041016,1.0015173782246873,4.520893096923828,1.2350082397460938,1.3172626495361328,1.741170883178711,1.3167858123779297,1.3566017150878906,1.7504692077636719,1.2242794036865234,1.2617111206054688,1.9173622131347656,90.31,91.01433333333334,72.7,100.0,83.3,81.8,100.0,87.5,88.9,100.0,100.0,88.9,11.37,2.9445555555555565,7.6,9.2,10.9,11.6,11.8,12.9,12.9,12.2,12.4,12.2
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.4515876770019531,0.00929361097708655,1.4662742614746094,1.6231536865234375,1.3649463653564453,1.5223026275634766,1.285552978515625,1.4314651489257812,1.4913082122802734,1.4202594757080078,1.3813972473144531,1.5292167663574219,12.969999999999999,16.655666666666665,11.1,20.0,11.1,10.0,11.1,10.0,18.2,10.0,10.0,18.2,11.37,2.9445555555555565,7.6,9.2,10.9,11.6,11.8,12.9,12.9,12.2,12.4,12.2
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.5034446716308594,0.006014743626615705,0.6017684936523438,0.5769729614257812,0.48804283142089844,0.4603862762451172,0.39267539978027344,0.44608116149902344,0.5290508270263672,0.3972053527832031,0.5588531494140625,0.5834102630615234,7.0,128.88888888888889,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,20.0,0.0,11.37,2.9445555555555565,7.6,9.2,10.9,11.6,11.8,12.9,12.9,12.2,12.4,12.2
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,3.792119026184082,0.24800539917022332,5.183935165405273,3.524303436279297,3.6454200744628906,3.5686492919921875,3.6695003509521484,3.4995079040527344,3.7126541137695312,3.803730010986328,3.5936832427978516,3.719806671142578,27.15,222.02499999999998,40.0,33.3,0.0,33.3,25.0,33.3,33.3,33.3,40.0,0.0,11.37,2.9445555555555565,7.6,9.2,10.9,11.6,11.8,12.9,12.9,12.2,12.4,12.2
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,4.126214981079102,30.617577335255596,2.4552345275878906,1.3706684112548828,1.3120174407958984,1.2722015380859375,1.444101333618164,15.384912490844727,13.774871826171875,1.3315677642822266,1.3759136199951172,1.5406608581542969,8.81,273.4098888888889,0.0,50.0,0.0,0.0,0.0,21.4,16.7,0.0,0.0,0.0,11.09,2.2609999999999997,7.7,9.2,10.9,11.6,11.8,11.3,11.6,12.2,12.4,12.2
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,54.04977798461914,11.211374243834548,60.04214286804199,55.75847625732422,51.141977310180664,55.54938316345215,54.88109588623047,54.47530746459961,51.2843132019043,52.208900451660156,48.38705062866211,56.76913261413574,16.65,2.329444444444444,16.7,15.9,17.1,15.9,20.0,14.3,16.7,16.7,15.4,17.8,10.97,2.2845555555555555,7.9,8.6,10.9,11.1,11.8,11.5,11.8,12.2,12.4,11.5
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.5610942840576172,0.012503091460934633,0.6616115570068359,0.6000995635986328,0.5707740783691406,0.44536590576171875,0.42176246643066406,0.4966259002685547,0.5257129669189453,0.579833984375,0.5049705505371094,0.8041858673095703,95.0,250.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,10.97,2.2845555555555555,7.9,8.6,10.9,11.1,11.8,11.5,11.8,12.2,12.4,11.5
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,2.582406997680664,0.014277275618547315,2.9010772705078125,2.595186233520508,2.535581588745117,2.553701400756836,2.5167465209960938,2.6092529296875,2.496957778930664,2.5916099548339844,2.5386810302734375,2.4852752685546875,11.66,373.136,0.0,33.3,0.0,50.0,0.0,0.0,33.3,0.0,0.0,0.0,10.97,2.2845555555555555,7.9,8.6,10.9,11.1,11.8,11.5,11.8,12.2,12.4,11.5
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,4.057765007019043,0.05892064475827081,4.542350769042969,4.308462142944336,3.8890838623046875,3.795146942138672,4.015445709228516,3.8099288940429688,4.035472869873047,4.172801971435547,4.166603088378906,3.8423538208007812,15.83,192.0001111111111,25.0,0.0,25.0,0.0,25.0,33.3,0.0,25.0,0.0,25.0,10.97,2.2845555555555555,7.9,8.6,10.9,11.1,11.8,11.5,11.8,12.2,12.4,11.5
computeHistogram,Video1,./data/Video1/Confetti1.png and 9 others,3,0.5678653717041016,0.0038979275511034452,0.5905628204345703,0.6110668182373047,0.6110668182373047,0.518798828125,0.6442070007324219,0.4622936248779297,0.5939006805419922,0.5941390991210938,0.4687309265136719,0.5838871002197266,91.34,207.53599999999994,100.0,100.0,100.0,100.0,80.0,66.7,100.0,100.0,66.7,100.0,10.97,2.2845555555555555,7.9,8.6,10.9,11.1,11.8,11.5,11.8,12.2,12.4,11.5
computeCanny,Video1,./data/Video1/Confetti1.png and 9 others,3,29.006195068359375,0.9236280069065591,29.903173446655273,29.254436492919922,30.1511287689209,30.663013458251953,28.9764404296875,27.857542037963867,28.48958969116211,28.273582458496094,28.48362922668457,28.009414672851562,29.49,18.34099999999999,29.2,26.1,25.0,21.7,34.8,30.4,30.4,33.3,29.2,34.8,10.97,2.2845555555555555,7.9,8.6,10.9,11.1,11.8,11.5,11.8,12.2,12.4,11.5
detectSift,Video1,./data/Video1/Confetti1.png and 9 others,3,438.0237102508545,61.806310986867175,448.76766204833984,432.12294578552246,437.136173248291,450.3171443939209,438.0061626434326,433.0415725708008,434.6482753753662,425.3256320953369,435.69254875183105,445.1789855957031,41.67,1.2023333333333324,41.2,42.3,40.2,39.9,42.9,41.9,41.8,42.5,40.9,43.1,11.73,1.0290000000000008,9.2,11.2,11.9,11.2,12.4,12.3,12.4,12.5,11.8,12.4
