Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video3,./data/Video3/Talk10.png and 9 others,3,7.885837554931641,0.11722132613714267,8.648872375488281,7.826805114746094,8.126974105834961,7.780790328979492,7.663726806640625,8.02302360534668,7.556915283203125,7.682085037231445,7.4939727783203125,8.05521011352539,2.9699999999999998,48.73788888888889,21.4,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,61.23,0.015666666666666246,61.1,61.1,61.1,61.1,61.2,61.3,61.3,61.3,61.4,61.4
resize,Video3,./data/Video3/Talk10.png and 9 others,3,0.3697395324707031,0.0029372864042266477,0.4439353942871094,0.38695335388183594,0.3209114074707031,0.37789344787597656,0.43320655822753906,0.3998279571533203,0.3490447998046875,0.3628730773925781,0.2567768096923828,0.36597251892089844,5.0,250.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,61.23,0.015666666666666246,61.1,61.1,61.1,61.1,61.2,61.3,61.3,61.3,61.4,61.4
rotate,Video3,./data/Video3/Talk10.png and 9 others,3,0.19032955169677734,0.0003894664738860835,0.21386146545410156,0.18596649169921875,0.1742839813232422,0.23508071899414062,0.18095970153808594,0.18835067749023438,0.19216537475585938,0.17595291137695312,0.18477439880371094,0.17189979553222656,5.0,250.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.23,0.015666666666666246,61.1,61.1,61.1,61.1,61.2,61.3,61.3,61.3,61.4,61.4
mirror,Video3,./data/Video3/Talk10.png and 9 others,3,0.10929107666015625,0.0018544116958057405,0.2238750457763672,0.08893013000488281,0.08916854858398438,0.09107589721679688,0.09298324584960938,0.09107589721679688,0.1220703125,0.0820159912109375,0.08487701416015625,0.12683868408203125,7.5,562.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.23,0.015666666666666246,61.1,61.1,61.1,61.1,61.2,61.3,61.3,61.3,61.4,61.4
contour,Video3,./data/Video3/Talk10.png and 9 others,3,0.8878231048583984,0.018068802395040013,0.8478164672851562,1.0437965393066406,0.8780956268310547,1.0418891906738281,0.7390975952148438,0.8413791656494141,0.8866786956787109,1.0433197021484375,0.6361007690429688,0.9200572967529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.23,0.015666666666666246,61.1,61.1,61.1,61.1,61.2,61.3,61.3,61.3,61.4,61.4
contrastRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,0.22363662719726562,5.790449601287643e-05,0.24080276489257812,0.21910667419433594,0.21886825561523438,0.22292137145996094,0.22411346435546875,0.23317337036132812,0.21791458129882812,0.21767616271972656,0.21886825561523438,0.22292137145996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.23,0.015666666666666246,61.1,61.1,61.1,61.1,61.2,61.3,61.3,61.3,61.4,61.4
brightnessRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,8.451223373413086,1.1167137977786803,10.32400131225586,7.6999664306640625,10.353803634643555,8.673906326293945,7.889986038208008,8.044004440307617,8.302688598632812,7.481813430786133,7.560014724731445,8.182048797607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.24,0.01599999999999957,61.1,61.1,61.1,61.1,61.3,61.3,61.3,61.3,61.4,61.4
gaussianBlur,Video3,./data/Video3/Talk10.png and 9 others,3,0.18815994262695312,0.00041849135514995497,0.22912025451660156,0.1800060272216797,0.15592575073242188,0.19407272338867188,0.20313262939453125,0.1678466796875,0.18787384033203125,0.18215179443359375,0.202178955078125,0.179290771484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.24,0.01599999999999957,61.1,61.1,61.1,61.1,61.3,61.3,61.3,61.3,61.4,61.4
meanThresh,Video3,./data/Video3/Talk10.png and 9 others,3,0.34415721893310547,0.0004598790484225093,0.3619194030761719,0.34499168395996094,0.3180503845214844,0.36787986755371094,0.35190582275390625,0.3256797790527344,0.3571510314941406,0.30303001403808594,0.3609657287597656,0.34999847412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.24,0.01599999999999957,61.1,61.1,61.1,61.1,61.3,61.3,61.3,61.3,61.4,61.4
gradientSobel,Video3,./data/Video3/Talk10.png and 9 others,3,0.7266759872436523,0.009264245035309513,0.7469654083251953,0.48804283142089844,0.6949901580810547,0.7948875427246094,0.7600784301757812,0.8261203765869141,0.7429122924804688,0.6699562072753906,0.7407665252685547,0.8020401000976562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.24,0.01599999999999957,61.1,61.1,61.1,61.1,61.3,61.3,61.3,61.3,61.4,61.4
