Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear5.png and 9 others,3,8.416152000427246,0.08122783646690045,9.056329727172852,8.468151092529297,8.154630661010742,8.465290069580078,8.463144302368164,8.448600769042969,8.389472961425781,7.953166961669922,8.497476577758789,8.265256881713867,9.83,46.32233333333334,12.5,14.3,0.0,0.0,14.3,14.3,14.3,0.0,14.3,14.3,19.92,0.526222222222222,18.0,19.8,20.0,19.9,20.2,19.8,20.1,20.4,20.5,20.5
resize,Video2,./data/Video2/Gear5.png and 9 others,3,0.8805513381958008,0.2904696057410345,2.414226531982422,0.7138252258300781,0.7097721099853516,0.7100105285644531,0.6990432739257812,0.7052421569824219,0.7197856903076172,0.7109642028808594,0.7264614105224609,0.6961822509765625,74.22,146.20177777777775,71.4,66.7,66.7,60.0,100.0,66.7,75.0,83.3,85.7,66.7,19.93,0.4845555555555548,18.1,19.8,20.0,19.9,20.2,19.8,20.1,20.4,20.5,20.5
rotate,Video2,./data/Video2/Gear5.png and 9 others,3,0.5935907363891602,0.0009843770638124421,0.6473064422607422,0.5741119384765625,0.5762577056884766,0.5593299865722656,0.6062984466552734,0.5681514739990234,0.6313323974609375,0.5736351013183594,0.6263256072998047,0.5731582641601562,17.5,90.27777777777777,25.0,20.0,20.0,25.0,20.0,25.0,20.0,20.0,0.0,0.0,19.93,0.4845555555555548,18.1,19.8,20.0,19.9,20.2,19.8,20.1,20.4,20.5,20.5
mirror,Video2,./data/Video2/Gear5.png and 9 others,3,0.30019283294677734,0.01094804815693351,0.5974769592285156,0.2589225769042969,0.26988983154296875,0.2651214599609375,0.2562999725341797,0.2722740173339844,0.2772808074951172,0.26726722717285156,0.26726722717285156,0.2701282501220703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93,0.4845555555555548,18.1,19.8,20.0,19.9,20.2,19.8,20.1,20.4,20.5,20.5
contour,Video2,./data/Video2/Gear5.png and 9 others,3,1.399087905883789,0.004700038718712878,1.5363693237304688,1.3360977172851562,1.3918876647949219,1.36566162109375,1.4116764068603516,1.4019012451171875,1.3916492462158203,1.2772083282470703,1.435995101928711,1.4424324035644531,16.0,1137.7777777777778,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,19.93,0.4845555555555548,18.1,19.8,20.0,19.9,20.2,19.8,20.1,20.4,20.5,20.5
contrastRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,1.2007474899291992,0.44456651835389493,1.0995864868164062,0.8635520935058594,0.8223056793212891,0.8575916290283203,2.4619102478027344,0.873565673828125,0.8397102355957031,2.4526119232177734,0.8618831634521484,0.8747577667236328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82,0.4506666666666661,18.1,19.8,20.0,19.9,19.6,19.8,20.1,19.9,20.5,20.5
brightnessRandomization,Video2,./data/Video2/Gear5.png and 9 others,3,21.76651954650879,1.5714589785097308,23.775577545166016,21.726131439208984,21.849393844604492,22.400379180908203,21.811485290527344,22.2628116607666,19.206523895263672,22.89605140686035,20.815372467041016,20.92146873474121,19.59,88.08988888888888,15.8,30.0,11.8,25.0,26.3,6.3,14.3,16.7,13.3,36.4,19.91,0.45877777777777723,18.1,19.8,20.0,20.0,19.9,20.0,20.1,20.2,20.5,20.5
gaussianBlur,Video2,./data/Video2/Gear5.png and 9 others,3,0.27191638946533203,6.769735389550785e-05,0.270843505859375,0.27370452880859375,0.2739429473876953,0.26226043701171875,0.2799034118652344,0.2853870391845703,0.2639293670654297,0.2624988555908203,0.26607513427734375,0.28061866760253906,28.0,2062.222222222222,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,80.0,0.0,19.91,0.45877777777777723,18.1,19.8,20.0,20.0,19.9,20.0,20.1,20.2,20.5,20.5
meanThresh,Video2,./data/Video2/Gear5.png and 9 others,3,1.2265682220458984,0.002827558394831916,1.3000965118408203,1.3451576232910156,1.1875629425048828,1.1873245239257812,1.2104511260986328,1.2013912200927734,1.1868476867675781,1.2192726135253906,1.2195110321044922,1.2080669403076172,10.0,444.44444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,19.91,0.45877777777777723,18.1,19.8,20.0,20.0,19.9,20.0,20.1,20.2,20.5,20.5
gradientSobel,Video2,./data/Video2/Gear5.png and 9 others,3,1.2311220169067383,0.00032087541512737516,1.2621879577636719,1.2352466583251953,1.2199878692626953,1.2161731719970703,1.2159347534179688,1.2421607971191406,1.215219497680664,1.2421607971191406,1.2514591217041016,1.2106895446777344,5.0,250.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,19.91,0.45877777777777723,18.1,19.8,20.0,20.0,19.9,20.0,20.1,20.2,20.5,20.5
computeHistogram,Video2,./data/Video2/Gear5.png and 9 others,3,0.3633260726928711,0.00021753913238676937,0.3979206085205078,0.36597251892089844,0.36334991455078125,0.3437995910644531,0.36263465881347656,0.35190582275390625,0.3559589385986328,0.37169456481933594,0.35309791564941406,0.3669261932373047,60.0,2666.6666666666665,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,19.91,0.45877777777777723,18.1,19.8,20.0,20.0,19.9,20.0,20.1,20.2,20.5,20.5
computeCanny,Video2,./data/Video2/Gear5.png and 9 others,3,2.384471893310547,0.0073303479237236185,2.6085376739501953,2.3496150970458984,2.3322105407714844,2.304553985595703,2.409696578979492,2.321958541870117,2.3593902587890625,2.3882389068603516,2.3741722106933594,2.3963451385498047,22.67,1345.5112222222222,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,19.92,0.4195555555555558,18.2,19.8,20.0,20.0,19.9,20.0,20.1,20.2,20.5,20.5
