Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,12.031364440917969,0.5317676419104423,13.954401016235352,12.126445770263672,11.908531188964844,11.55996322631836,11.179685592651367,11.975765228271484,12.023210525512695,11.963605880737305,11.886119842529297,11.735916137695312,23.17,42.82233333333333,16.7,25.0,20.0,25.0,25.0,20.0,20.0,20.0,20.0,40.0,24.54,0.5715555555555553,22.5,24.2,24.5,24.8,24.8,24.9,24.9,24.9,25.0,24.9
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.427292823791504,1.255275457702333,4.615545272827148,1.085519790649414,1.0640621185302734,1.039266586303711,1.1034011840820312,1.0519027709960938,1.0721683502197266,1.0843276977539062,1.087188720703125,1.0695457458496094,98.33,27.88900000000001,83.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.55,0.49388888888888866,22.7,24.1,24.5,24.8,24.8,24.9,24.9,24.9,25.0,24.9
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,0.7890224456787109,0.01659631026187627,1.1456012725830078,0.7507801055908203,0.7948875427246094,0.7181167602539062,0.7605552673339844,0.7214546203613281,0.7965564727783203,0.7610321044921875,0.7283687591552734,0.7128715515136719,24.979999999999997,323.704,50.0,33.3,0.0,0.0,33.3,33.3,0.0,33.3,33.3,33.3,24.55,0.49388888888888866,22.7,24.1,24.5,24.8,24.8,24.9,24.9,24.9,25.0,24.9
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,0.3798246383666992,0.0016979943969393692,0.4665851593017578,0.38242340087890625,0.3609657287597656,0.38909912109375,0.3719329833984375,0.3848075866699219,0.3981590270996094,0.36072731018066406,0.38433074951171875,0.29921531677246094,20.0,666.6666666666666,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,24.55,0.49388888888888866,22.7,24.1,24.5,24.8,24.8,24.9,24.9,24.9,25.0,24.9
contour,Video2,./data/Video2/Gear3.png and 9 others,3,1.7376184463500977,0.018115257994900782,2.0513534545898438,1.7201900482177734,1.7707347869873047,1.6477108001708984,1.5141963958740234,1.6946792602539062,1.7349720001220703,1.7902851104736328,1.7135143280029297,1.7385482788085938,20.0,1777.7777777777778,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55,0.49388888888888866,22.7,24.1,24.5,24.8,24.8,24.9,24.9,24.9,25.0,24.9
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,1.0030031204223633,0.5229444146455838,1.9292831420898438,0.6566047668457031,0.6668567657470703,0.6618499755859375,0.6687641143798828,0.6585121154785156,0.6685256958007812,0.67138671875,2.725839614868164,0.7224082946777344,15.0,1138.888888888889,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,24.5,0.46888888888888863,22.7,24.1,24.5,24.8,24.8,24.9,24.9,24.9,24.5,24.9
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,22.783517837524414,8.90519078843176,30.643701553344727,22.345304489135742,22.078752517700195,22.14670181274414,20.812273025512695,22.147655487060547,19.618749618530273,22.222280502319336,24.05381202697754,21.765947341918945,33.85,111.24277777777777,50.0,40.0,22.2,25.0,45.5,25.0,44.4,25.0,36.4,25.0,24.54,0.4382222222222215,22.8,24.1,24.5,24.8,24.8,24.9,24.9,24.9,24.8,24.9
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.3500223159790039,0.0015548121407644227,0.45800209045410156,0.3330707550048828,0.3333091735839844,0.33283233642578125,0.3368854522705078,0.35643577575683594,0.32711029052734375,0.3581047058105469,0.3364086151123047,0.32806396484375,40.0,2666.6666666666665,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,24.54,0.4382222222222215,22.8,24.1,24.5,24.8,24.8,24.9,24.9,24.9,24.8,24.9
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.3307571411132812,0.0044110518299728734,1.5158653259277344,1.3251304626464844,1.2869834899902344,1.2996196746826172,1.314401626586914,1.3306140899658203,1.3039112091064453,1.302480697631836,1.3239383697509766,1.30462646484375,20.0,1222.2222222222222,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,24.54,0.4382222222222215,22.8,24.1,24.5,24.8,24.8,24.9,24.9,24.9,24.8,24.9
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.6119956970214844,0.014695170749392774,1.8944740295410156,1.5530586242675781,1.57928466796875,1.569986343383789,1.5659332275390625,1.569986343383789,1.7728805541992188,1.5399456024169922,1.535654067993164,1.5387535095214844,10.0,444.44444444444446,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.54,0.4382222222222215,22.8,24.1,24.5,24.8,24.8,24.9,24.9,24.9,24.8,24.9
