Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,16.610074043273926,4.147641865554558,22.192716598510742,16.540050506591797,16.83497428894043,16.333341598510742,16.21866226196289,14.911413192749023,15.480279922485352,16.030073165893555,15.780210494995117,15.77901840209961,57.370000000000005,167.80455555555562,50.0,57.1,33.3,60.0,40.0,57.1,66.7,71.4,66.7,71.4,23.76,0.4004444444444447,22.0,23.7,23.9,24.0,24.1,24.1,24.0,24.1,23.8,23.9
resize,Video2,./data/Video2/Gear3.png and 9 others,3,2.709674835205078,12.365050752628626,12.134075164794922,1.0116100311279297,1.02996826171875,1.1417865753173828,1.2536048889160156,1.3473033905029297,1.3699531555175781,1.3358592987060547,1.4913082122802734,4.981279373168945,98.46,23.71600000000002,84.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.75,0.3627777777777775,22.1,23.6,23.9,24.0,24.1,24.1,24.0,24.1,23.8,23.8
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,1.471543312072754,0.1512841164539067,2.5496482849121094,1.367807388305664,1.4162063598632812,1.4486312866210938,1.3573169708251953,1.3151168823242188,1.1296272277832031,1.3544559478759766,1.4264583587646484,1.3501644134521484,50.88,178.25955555555558,66.7,33.3,50.0,25.0,57.1,50.0,60.0,66.7,50.0,50.0,23.75,0.3627777777777775,22.1,23.6,23.9,24.0,24.1,24.1,24.0,24.1,23.8,23.8
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,1.6070127487182617,0.10859496910597954,2.4001598358154297,1.2972354888916016,1.4760494232177734,1.6570091247558594,1.417398452758789,1.489400863647461,1.5354156494140625,1.3451576232910156,1.5251636505126953,1.9271373748779297,54.94,311.4848888888889,62.5,60.0,25.0,57.1,20.0,66.7,60.0,66.7,60.0,71.4,23.75,0.3627777777777775,22.1,23.6,23.9,24.0,24.1,24.1,24.0,24.1,23.8,23.8
contour,Video2,./data/Video2/Gear3.png and 9 others,3,2.7375221252441406,4.573504990427561,8.818626403808594,2.1331310272216797,2.111673355102539,2.044200897216797,1.8243789672851562,2.031087875366211,2.0983219146728516,2.1185874938964844,2.0813941955566406,2.113819122314453,53.34,2271.8026666666665,66.7,100.0,0.0,66.7,100.0,0.0,100.0,100.0,0.0,0.0,23.76,0.32711111111111163,22.2,23.6,23.9,24.0,24.1,24.1,24.0,24.1,23.8,23.8
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,0.9960174560546875,0.4225364237855602,2.838611602783203,0.8192062377929688,0.8461475372314453,0.8196830749511719,0.8282661437988281,0.7412433624267578,0.7767677307128906,0.7312297821044922,0.8740425109863281,0.6849765777587891,5.0,250.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76,0.32711111111111163,22.2,23.6,23.9,24.0,24.1,24.1,24.0,24.1,23.8,23.8
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,29.622340202331543,12.827496163304708,38.37752342224121,28.064966201782227,26.39484405517578,30.535459518432617,28.597593307495117,27.47797966003418,26.390790939331055,28.40280532836914,29.613256454467773,32.36818313598633,61.77,97.86455555555558,66.7,50.0,50.0,50.0,53.8,72.7,63.6,66.7,75.0,69.2,23.89,0.3409999999999995,22.3,23.7,24.0,24.2,24.2,24.2,24.2,24.2,23.9,24.0
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.9826898574829102,2.026359804732339,4.775762557983398,0.2655982971191406,0.36716461181640625,0.32782554626464844,0.3535747528076172,0.431060791015625,0.4057884216308594,0.5142688751220703,0.42247772216796875,1.9633769989013672,80.0,1777.7777777777778,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,23.89,0.3409999999999995,22.3,23.7,24.0,24.2,24.2,24.2,24.2,24.2,23.9,24.0
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,2.0180225372314453,2.2812102214528647,6.290435791015625,1.2934207916259766,1.4700889587402344,1.4374256134033203,1.4948844909667969,1.5187263488769531,1.573801040649414,1.6026496887207031,1.9466876983642578,1.5521049499511719,5.0,250.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89,0.3409999999999995,22.3,23.7,24.0,24.2,24.2,24.2,24.2,24.2,23.9,24.0
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,2.358675003051758,0.9718667368158802,5.131006240844727,1.9335746765136719,2.023458480834961,1.9223690032958984,2.226114273071289,1.9040107727050781,1.8706321716308594,2.3300647735595703,2.084493637084961,2.1610260009765625,20.0,1222.2222222222222,50.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,23.88,0.33511111111111075,22.3,23.7,24.0,24.2,24.2,24.1,24.2,24.2,23.9,24.0
