Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,10.91008186340332,0.1290800835502321,11.659622192382812,10.923385620117188,10.887622833251953,10.805845260620117,10.209798812866211,10.950088500976562,10.953664779663086,10.856151580810547,11.140584945678711,10.714054107666016,54.71,176.26100000000002,80.0,40.0,60.0,50.0,66.7,50.0,57.1,60.0,50.0,33.3,25.79,0.616555555555556,23.9,25.1,25.5,26.1,25.8,26.3,26.2,26.3,26.3,26.4
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.3912677764892578,0.5328925782224461,3.465890884399414,1.1529922485351562,1.1663436889648438,1.1773109436035156,1.1513233184814453,1.153707504272461,1.138448715209961,1.2602806091308594,1.1258125305175781,1.1205673217773438,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.8,0.5755555555555554,24.0,25.1,25.5,26.1,25.8,26.3,26.2,26.3,26.3,26.4
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,0.7238864898681641,0.010835780509902785,1.0156631469726562,0.7078647613525391,0.6866455078125,0.7112026214599609,0.6973743438720703,0.6604194641113281,0.6873607635498047,0.7181167602539062,0.6697177886962891,0.6844997406005859,50.85,779.1361111111112,66.7,0.0,50.0,75.0,66.7,66.7,50.0,66.7,0.0,66.7,25.8,0.5755555555555554,24.0,25.1,25.5,26.1,25.8,26.3,26.2,26.3,26.3,26.4
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,0.38297176361083984,0.023001222694397763,0.8058547973632812,0.3619194030761719,0.3044605255126953,0.362396240234375,0.29587745666503906,0.29778480529785156,0.34999847412109375,0.34165382385253906,0.3237724304199219,0.3859996795654297,16.67,1296.6667777777777,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25.8,0.5755555555555554,24.0,25.1,25.5,26.1,25.8,26.3,26.2,26.3,26.3,26.4
contour,Video2,./data/Video2/Gear3.png and 9 others,3,1.7540216445922852,0.27179805089063946,2.2835731506347656,1.5287399291992188,1.550436019897461,1.4946460723876953,1.3446807861328125,1.569986343383789,1.5320777893066406,3.0531883239746094,1.6777515411376953,1.505136489868164,40.0,2111.1111111111113,50.0,0.0,0.0,0.0,0.0,100.0,100.0,50.0,100.0,0.0,25.75,0.5072222222222215,24.1,25.1,25.5,26.1,25.8,26.3,26.2,25.7,26.3,26.4
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,1.1103630065917969,0.7287456759917809,1.1239051818847656,0.7381439208984375,0.6346702575683594,2.555370330810547,0.6258487701416016,0.6372928619384766,2.8433799743652344,0.6318092346191406,0.6949901580810547,0.6182193756103516,30.0,2333.3333333333335,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,25.64,0.46266666666666595,24.1,25.1,25.5,25.6,25.8,26.3,25.6,25.7,26.3,26.4
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,26.05724334716797,6.790911268379002,32.90295600891113,24.999380111694336,25.470972061157227,26.065826416015625,24.00064468383789,23.984909057617188,24.58786964416504,26.084184646606445,27.248382568359375,25.22730827331543,51.66,115.376,80.0,44.4,44.4,50.0,50.0,54.5,44.4,44.4,54.5,50.0,25.76,0.47155555555555506,24.1,25.2,25.6,25.8,25.9,26.3,25.9,26.1,26.3,26.4
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.4202842712402344,0.0004502605103577177,0.4124641418457031,0.43964385986328125,0.43964385986328125,0.3921985626220703,0.4029273986816406,0.39386749267578125,0.44035911560058594,0.43892860412597656,0.4401206970214844,0.40268898010253906,90.0,1000.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,25.76,0.47155555555555506,24.1,25.2,25.6,25.8,25.9,26.3,25.9,26.1,26.3,26.4
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.1886119842529297,0.004660960763026701,1.3375282287597656,1.184701919555664,1.1641979217529297,1.1420249938964844,1.1434555053710938,1.1606216430664062,1.1458396911621094,1.146078109741211,1.2898445129394531,1.1718273162841797,10.0,1000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.76,0.47155555555555506,24.1,25.2,25.6,25.8,25.9,26.3,25.9,26.1,26.3,26.4
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.5102624893188477,0.011004939576903579,1.6448497772216797,1.5773773193359375,1.5518665313720703,1.4450550079345703,1.42669677734375,1.5268325805664062,1.3988018035888672,1.4688968658447266,1.6863346099853516,1.3759136199951172,26.67,1370.6667777777777,100.0,0.0,0.0,50.0,0.0,0.0,0.0,66.7,50.0,0.0,25.76,0.47155555555555506,24.1,25.2,25.6,25.8,25.9,26.3,25.9,26.1,26.3,26.4
computeHistogram,Video2,./data/Video2/Gear3.png and 9 others,3,0.7044792175292969,0.003150146060054087,0.7092952728271484,0.682830810546875,0.67138671875,0.6759166717529297,0.6799697875976562,0.7483959197998047,0.6837844848632812,0.6704330444335938,0.8490085601806641,0.6737709045410156,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.76,0.47155555555555506,24.1,25.2,25.6,25.8,25.9,26.3,25.9,26.1,26.3,26.4
computeCanny,Video2,./data/Video2/Gear3.png and 9 others,3,4.98807430267334,0.2229461573380023,5.4874420166015625,5.198001861572266,4.901647567749023,4.652261734008789,4.731416702270508,4.765033721923828,4.680871963500977,4.746198654174805,6.083250045776367,4.634618759155273,66.68,787.0373333333333,75.0,66.7,66.7,0.0,66.7,75.0,50.0,100.0,66.7,100.0,25.77,0.435666666666667,24.2,25.2,25.6,25.8,25.9,26.3,25.9,26.1,26.3,26.4
detectSift,Video2,./data/Video2/Gear3.png and 9 others,3,183.28332901000977,137.19910211623048,213.18721771240234,185.71758270263672,185.63294410705566,185.00566482543945,181.07843399047852,172.52373695373535,181.48398399353027,181.59890174865723,172.9910373687744,173.6137866973877,70.53999999999999,10.487111111111112,79.5,70.1,70.7,68.5,69.4,69.6,69.4,68.5,70.6,69.1,25.88,0.11955555555555532,25.2,25.6,25.8,25.6,26.2,26.0,26.0,26.1,26.4,25.9
detectSurf,Video2,./data/Video2/Gear3.png and 9 others,3,304.4411897659302,77.06223553580256,311.0086917877197,299.94773864746094,315.77086448669434,304.5976161956787,308.286190032959,299.64494705200195,302.28614807128906,284.2891216278076,307.51752853393555,311.0630512237549,98.61,1.1832222222222253,97.6,99.2,96.8,97.5,98.4,100.0,99.2,98.2,99.2,100.0,25.96,0.26266666666666677,24.9,25.3,26.1,25.6,26.2,26.2,26.3,26.3,26.4,26.3
goodFeatures,Video2,./data/Video2/Gear3.png and 9 others,3,18.83232593536377,9.280810878130474,23.348093032836914,22.5675106048584,16.789913177490234,23.73528480529785,16.873598098754883,16.89743995666504,16.80302619934082,17.32659339904785,16.65496826171875,17.326831817626953,51.27,7.2934444444444475,55.6,50.0,50.0,50.0,50.0,50.0,57.1,50.0,50.0,50.0,26.02,0.17955555555555522,25.1,25.5,26.1,25.8,26.2,26.2,26.3,26.3,26.4,26.3
houghLine,Video2,./data/Video2/Gear3.png and 9 others,3,1373.471713066101,14.751517223506502,1372.4088668823242,1373.0969429016113,1374.5121955871582,1370.832920074463,1384.0534687042236,1372.0128536224365,1372.14994430542,1371.9887733459473,1371.7496395111084,1371.9115257263184,50.71,2.718777777777774,50.2,50.3,50.2,50.2,55.4,50.2,50.1,50.1,50.2,50.2,26.03,0.18455555555555528,25.1,25.5,26.1,25.8,26.3,26.2,26.3,26.3,26.4,26.3
measureMemoryUsage,Video1,./data/Video1/Confetti6.png and 9 others,3,41.8245792388916,0.6479792899780377,42.142391204833984,42.62089729309082,40.923118591308594,42.582035064697266,41.20826721191406,41.23735427856445,41.07856750488281,42.83881187438965,42.64378547668457,40.970563888549805,50.58,7.101777777777771,52.9,47.1,52.9,47.1,52.9,52.9,50.0,47.1,52.9,50.0,27.41,1.776555555555556,26.3,26.4,26.7,26.9,27.2,27.5,31.0,27.3,27.3,27.5
resize,Video1,./data/Video1/Confetti6.png and 9 others,3,2.210831642150879,0.00950958123111276,2.480745315551758,2.1631717681884766,2.2134780883789062,2.206087112426758,2.196073532104492,2.166271209716797,2.1746158599853516,2.1729469299316406,2.1381378173828125,2.196788787841797,98.89,12.320999999999987,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.9,100.0,100.0,27.41,1.776555555555556,26.3,26.4,26.7,26.9,27.2,27.5,31.0,27.3,27.3,27.5
rotate,Video1,./data/Video1/Confetti6.png and 9 others,3,1.435399055480957,0.0016462517275310045,1.4984607696533203,1.413583755493164,1.3957023620605469,1.4142990112304688,1.416921615600586,1.4352798461914062,1.5168190002441406,1.434326171875,1.3988018035888672,1.4297962188720703,53.42,42.650666666666666,50.0,60.0,57.1,40.0,60.0,50.0,57.1,60.0,50.0,50.0,27.41,1.776555555555556,26.3,26.4,26.7,26.9,27.2,27.5,31.0,27.3,27.3,27.5
mirror,Video1,./data/Video1/Confetti6.png and 9 others,3,0.8199453353881836,0.015189097742525822,0.7183551788330078,0.8454322814941406,1.0521411895751953,0.8723735809326172,0.6921291351318359,0.7321834564208984,0.8244514465332031,0.9179115295410156,0.6480216979980469,0.896453857421875,55.01,65.07433333333336,66.7,50.0,50.0,50.0,66.7,66.7,50.0,50.0,50.0,50.0,27.41,1.776555555555556,26.3,26.4,26.7,26.9,27.2,27.5,31.0,27.3,27.3,27.5
