Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,12.60063648223877,0.5505596422810615,14.444828033447266,12.884855270385742,12.696027755737305,12.013912200927734,11.762142181396484,12.319087982177734,12.5579833984375,12.858152389526367,12.206792831420898,12.262582778930664,49.42,33.05066666666667,57.1,50.0,50.0,50.0,57.1,40.0,50.0,50.0,40.0,50.0,25.25,0.40722222222222204,23.6,24.9,25.3,25.3,25.8,25.3,25.8,25.4,25.6,25.5
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.3030290603637695,0.06131909344730957,1.9617080688476562,1.178741455078125,1.207113265991211,1.440286636352539,1.2819766998291016,1.192331314086914,1.1439323425292969,1.1844635009765625,1.285552978515625,1.154184341430664,98.0,40.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.26,0.3715555555555562,23.7,24.9,25.3,25.3,25.8,25.3,25.8,25.4,25.6,25.5
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,0.9985923767089844,0.0003046327239846707,1.0228157043457031,1.0166168212890625,1.0080337524414062,0.9894371032714844,0.995635986328125,0.9818077087402344,0.9920597076416016,1.0199546813964844,0.9887218475341797,0.9708404541015625,51.83,107.82233333333335,75.0,50.0,50.0,33.3,50.0,50.0,50.0,60.0,50.0,50.0,25.26,0.3715555555555562,23.7,24.9,25.3,25.3,25.8,25.3,25.8,25.4,25.6,25.5
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,1.1820077896118164,0.02079223690998333,1.5726089477539062,1.0809898376464844,1.1115074157714844,1.100301742553711,1.2137889862060547,1.1522769927978516,1.1272430419921875,1.127481460571289,1.1200904846191406,1.2137889862060547,53.33,225.08677777777783,80.0,50.0,60.0,60.0,50.0,66.7,33.3,60.0,40.0,33.3,25.26,0.3715555555555562,23.7,24.9,25.3,25.3,25.8,25.3,25.8,25.4,25.6,25.5
contour,Video2,./data/Video2/Gear3.png and 9 others,3,1.853036880493164,0.04194121932717584,2.0170211791992188,1.7855167388916016,1.8754005432128906,1.7495155334472656,1.5518665313720703,1.7499923706054688,1.8689632415771484,2.330303192138672,1.798868179321289,1.8029212951660156,50.0,2777.777777777778,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,25.26,0.3715555555555562,23.7,24.9,25.3,25.3,25.8,25.3,25.8,25.4,25.6,25.5
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,1.280379295349121,1.0634879705169926,2.3157596588134766,0.6103515625,0.6906986236572266,0.7216930389404297,2.6917457580566406,0.6134510040283203,3.2160282135009766,0.614166259765625,0.7185935974121094,0.6113052368164062,10.0,1000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,0.2604444444444444,23.8,24.9,25.3,25.3,25.2,25.3,25.1,25.4,25.6,25.5
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,29.38225269317627,14.795318740981303,39.25132751464844,26.579618453979492,26.983261108398438,27.79102325439453,28.725862503051758,30.519485473632812,30.832767486572266,28.620243072509766,25.499343872070312,29.019594192504883,60.33,66.86455555555555,80.0,63.6,58.3,54.5,61.5,64.3,58.3,54.5,50.0,58.3,25.28,0.279555555555556,23.9,24.9,25.4,25.4,25.4,25.5,25.5,25.5,25.6,25.7
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.3668069839477539,0.00022560837149083253,0.3921985626220703,0.37550926208496094,0.3724098205566406,0.35381317138671875,0.34809112548828125,0.3757476806640625,0.37741661071777344,0.3485679626464844,0.3523826599121094,0.3719329833984375,60.0,2666.6666666666665,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,25.28,0.279555555555556,23.9,24.9,25.4,25.4,25.4,25.5,25.5,25.5,25.6,25.7
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.1593341827392578,0.005186282376396573,1.3446807861328125,1.1022090911865234,1.1107921600341797,1.1565685272216797,1.138448715209961,1.1894702911376953,1.1878013610839844,1.1281967163085938,1.1110305786132812,1.1241436004638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28,0.279555555555556,23.9,24.9,25.4,25.4,25.4,25.5,25.5,25.5,25.6,25.7
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.6578912734985352,0.007466522649540113,1.848459243774414,1.596212387084961,1.5821456909179688,1.6546249389648438,1.6307830810546875,1.77764892578125,1.6062259674072266,1.626729965209961,1.607656478881836,1.6484260559082031,15.0,1138.888888888889,0.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,25.28,0.279555555555556,23.9,24.9,25.4,25.4,25.4,25.5,25.5,25.5,25.6,25.7
