Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video3,./data/Video3/Talk10.png and 9 others,3,8.725762367248535,0.11027734735257076,9.66191291809082,8.608102798461914,8.682966232299805,8.570194244384766,8.578062057495117,8.639812469482422,8.684873580932617,8.569002151489258,8.592844009399414,8.669853210449219,4.4399999999999995,197.136,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79,0.0009999999999998864,36.7,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
resize,Video3,./data/Video3/Talk10.png and 9 others,3,0.6031990051269531,0.00900455334986974,0.5650520324707031,0.6761550903320312,0.6649494171142578,0.67901611328125,0.47588348388671875,0.6668567657470703,0.6887912750244141,0.4801750183105469,0.6661415100097656,0.46896934509277344,2.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,36.79,0.0009999999999998864,36.7,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
rotate,Video3,./data/Video3/Talk10.png and 9 others,3,0.3283500671386719,0.00016323914072321108,0.3399848937988281,0.3299713134765625,0.32782554626464844,0.3540515899658203,0.3180503845214844,0.32067298889160156,0.3268718719482422,0.30994415283203125,0.3371238708496094,0.3190040588378906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79,0.0009999999999998864,36.7,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
mirror,Video3,./data/Video3/Talk10.png and 9 others,3,0.2526998519897461,0.0054171708699060316,0.4029273986816406,0.2200603485107422,0.2651214599609375,0.2079010009765625,0.2067089080810547,0.21600723266601562,0.37288665771484375,0.21314620971679688,0.2071857452392578,0.21505355834960938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79,0.0009999999999998864,36.7,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
contour,Video3,./data/Video3/Talk10.png and 9 others,3,1.6565322875976562,0.18823511204067878,1.1970996856689453,2.088785171508789,1.4340877532958984,1.3718605041503906,2.2430419921875,1.3320446014404297,1.558065414428711,1.6739368438720703,1.2657642364501953,2.400636672973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79,0.0009999999999998864,36.7,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
contrastRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,0.578618049621582,0.00854506209988257,0.49304962158203125,0.7479190826416016,0.5030632019042969,0.5161762237548828,0.6577968597412109,0.5040168762207031,0.6020069122314453,0.47588348388671875,0.6482601165771484,0.6380081176757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.79,0.0009999999999998864,36.7,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
brightnessRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,15.645146369934082,1.2002969577275104,17.02094078063965,14.955759048461914,14.520883560180664,15.70582389831543,15.408039093017578,17.43602752685547,14.231681823730469,16.824007034301758,15.36417007446289,14.984130859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
gaussianBlur,Video3,./data/Video3/Talk10.png and 9 others,3,0.2766847610473633,0.0020861187345467946,0.30803680419921875,0.3528594970703125,0.26798248291015625,0.2830028533935547,0.2257823944091797,0.3330707550048828,0.28586387634277344,0.21886825561523438,0.2651214599609375,0.2262592315673828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
meanThresh,Video3,./data/Video3/Talk10.png and 9 others,3,0.6180524826049805,0.002324833303646301,0.6427764892578125,0.5660057067871094,0.6639957427978516,0.6518363952636719,0.5681514739990234,0.5681514739990234,0.6928443908691406,0.6070137023925781,0.6518363952636719,0.5679130554199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
gradientSobel,Video3,./data/Video3/Talk10.png and 9 others,3,1.0304450988769531,0.016868170860107057,0.9419918060302734,0.7021427154541016,1.0449886322021484,1.065969467163086,1.1010169982910156,1.055002212524414,1.1518001556396484,1.148223876953125,1.0502338409423828,1.043081283569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8
