Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,74.36702251434326,5.100458748251589,73.65036010742188,76.75647735595703,76.86853408813477,70.99103927612305,76.67803764343262,73.14372062683105,74.7525691986084,71.33150100708008,73.08554649353027,76.41243934631348,65.66,9.876000000000014,66.7,64.3,66.7,61.5,64.3,61.5,66.7,71.4,69.2,64.3,29.64,6.196,23.4,29.1,29.9,29.5,30.1,33.4,30.2,30.9,30.0,29.9
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,2.4361133575439453,0.7768066350561438,4.890918731689453,2.088308334350586,2.0487308502197266,2.0723342895507812,2.6094913482666016,2.01416015625,2.124309539794922,2.1669864654541016,2.0220279693603516,2.3238658905029297,98.33,27.88900000000001,100.0,100.0,100.0,83.3,100.0,100.0,100.0,100.0,100.0,100.0,29.66,5.444888888888888,24.0,28.8,29.9,29.5,30.1,33.4,30.2,30.9,30.0,29.8
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.8043994903564453,0.0010029806516184988,1.8377304077148438,1.7616748809814453,1.8439292907714844,1.7774105072021484,1.809835433959961,1.8126964569091797,1.7554759979248047,1.7898082733154297,1.8258094787597656,1.8296241760253906,51.67,151.84011111111116,50.0,66.7,66.7,50.0,50.0,66.7,33.3,50.0,33.3,50.0,29.66,5.444888888888888,24.0,28.8,29.9,29.5,30.1,33.4,30.2,30.9,30.0,29.8
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.8385896682739258,0.011987128169089879,0.9946823120117188,1.0004043579101562,0.8337497711181641,0.7624626159667969,0.7748603820800781,0.7157325744628906,0.7765293121337891,0.9796619415283203,0.762939453125,0.7848739624023438,50.0,555.5555555555555,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,100.0,50.0,29.66,5.444888888888888,24.0,28.8,29.9,29.5,30.1,33.4,30.2,30.9,30.0,29.8
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,4.785823822021484,0.03930098147167074,5.321264266967773,4.747629165649414,4.722118377685547,4.805088043212891,4.829168319702148,4.647016525268555,4.670143127441406,4.7092437744140625,4.643678665161133,4.762887954711914,45.0,1916.6666666666667,0.0,0.0,100.0,50.0,100.0,50.0,50.0,0.0,100.0,0.0,29.67,5.320111111111108,24.1,28.8,29.9,29.5,30.1,33.4,30.2,30.9,30.0,29.8
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,3.3730268478393555,24.858240436742562,2.931356430053711,1.62506103515625,1.7528533935546875,1.783132553100586,1.6255378723144531,17.516136169433594,1.6252994537353516,1.6732215881347656,1.5861988067626953,1.611471176147461,30.0,1777.7777777777778,0.0,0.0,100.0,50.0,100.0,50.0,0.0,0.0,0.0,0.0,29.14,3.5671111111111102,24.3,28.8,29.9,29.5,30.1,27.9,30.2,30.9,30.0,29.8
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,62.18423843383789,14.988317164150228,65.07444381713867,60.608625411987305,66.48921966552734,60.812950134277344,65.22035598754883,62.82949447631836,56.49113655090332,55.350303649902344,63.01164627075195,65.95420837402344,57.38,13.290666666666676,57.1,53.8,61.5,53.8,57.1,53.8,54.5,63.6,57.1,61.5,28.61,3.0076666666666676,24.9,28.8,27.7,29.5,27.7,28.6,30.2,30.9,30.1,27.7
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.7014751434326172,0.008334569025060369,0.6620883941650391,0.6644725799560547,0.9441375732421875,0.6422996520996094,0.7183551788330078,0.6792545318603516,0.7410049438476562,0.6754398345947266,0.64849853515625,0.6392002105712891,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.61,3.0076666666666676,24.9,28.8,27.7,29.5,27.7,28.6,30.2,30.9,30.1,27.7
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,3.0533313751220703,0.0023721920822734116,3.1430721282958984,3.0565261840820312,3.108501434326172,3.0574798583984375,3.0198097229003906,3.0024051666259766,2.9861927032470703,3.0667781829833984,3.016948699951172,3.0755996704101562,15.0,1138.888888888889,0.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,28.61,3.0076666666666676,24.9,28.8,27.7,29.5,27.7,28.6,30.2,30.9,30.1,27.7
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.639984130859375,0.009332486822839,3.582477569580078,3.5827159881591797,3.683805465698242,3.628253936767578,3.6962032318115234,3.586292266845703,3.6363601684570312,3.8788318634033203,3.551959991455078,3.5729408264160156,15.0,1138.888888888889,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,28.61,3.0076666666666676,24.9,28.8,27.7,29.5,27.7,28.6,30.2,30.9,30.1,27.7
