Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti1.png and 9 others,3,52.59702205657959,1.3756219718490885,52.001237869262695,53.99513244628906,53.99656295776367,50.99844932556152,52.99830436706543,51.99837684631348,52.99639701843262,50.99606513977051,53.99441719055176,51.995277404785156,26.68,19.497333333333337,27.3,23.5,23.5,23.1,28.6,23.1,28.6,31.2,22.2,35.7,56.3,0.19999999999999968,55.1,56.1,56.3,56.4,56.4,56.5,56.5,56.6,56.6,56.5
resize,Video1,./data\Video1\Confetti1.png and 9 others,3,2.9955625534057617,0.22210352060230637,3.997802734375,3.0002593994140625,2.996206283569336,2.996206283569336,2.9976367950439453,1.9984245300292969,2.984285354614258,2.992868423461914,2.996206283569336,2.995729446411133,91.89,85.05433333333333,100.0,100.0,100.0,88.9,80.0,90.0,100.0,80.0,100.0,80.0,56.32,0.17511111111111044,55.2,56.1,56.4,56.4,56.4,56.5,56.5,56.6,56.6,56.5
rotate,Video1,./data\Video1\Confetti1.png and 9 others,3,3.1986236572265625,0.17628471798363737,2.996683120727539,3.9954185485839844,2.996206283569336,3.015756607055664,2.998828887939453,2.997159957885742,3.9949417114257812,2.9973983764648438,2.997159957885742,2.996683120727539,27.22,37.68177777777778,20.0,37.5,25.0,28.6,25.0,37.5,25.0,20.0,25.0,28.6,56.34,0.1804444444444438,55.2,56.1,56.4,56.5,56.5,56.5,56.5,56.6,56.6,56.5
mirror,Video1,./data\Video1\Confetti1.png and 9 others,3,4.497742652893066,0.2776089893864587,5.002260208129883,3.9985179901123047,4.995822906494141,3.9985179901123047,4.998445510864258,3.998279571533203,3.997325897216797,4.995584487915039,4.995822906494141,3.9968490600585938,33.49,65.5898888888889,27.3,41.7,40.0,23.1,27.3,45.5,41.7,25.0,33.3,30.0,56.32,0.17511111111111044,55.2,56.1,56.4,56.4,56.4,56.5,56.5,56.6,56.6,56.5
contour,Video1,./data\Video1\Confetti1.png and 9 others,3,8.59684944152832,0.26592077423022903,8.996963500976562,7.99870491027832,7.997751235961914,8.994340896606445,7.997751235961914,8.996248245239258,8.996963500976562,7.996559143066406,8.994102478027344,8.999109268188477,14.76,659.4226666666666,20.0,0.0,33.3,0.0,0.0,80.0,0.0,0.0,0.0,14.3,56.370000000000005,0.19122222222222168,55.2,56.1,56.5,56.5,56.5,56.5,56.6,56.6,56.6,56.6
contrastRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,5.4969072341918945,0.27755335357445193,5.996942520141602,4.996299743652344,4.997014999389648,5.995273590087891,4.997730255126953,5.995273590087891,5.998849868774414,4.997968673706055,5.997180938720703,4.996538162231445,14.16,370.85822222222225,0.0,25.0,0.0,33.3,0.0,0.0,50.0,0.0,33.3,0.0,56.32,0.17511111111111044,55.2,56.1,56.4,56.4,56.4,56.5,56.5,56.6,56.6,56.5
brightnessRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,122.09579944610596,83.16877885855926,147.98903465270996,119.9941635131836,118.99852752685547,119.99869346618652,118.99399757385254,118.99638175964355,117.99454689025879,118.99709701538086,119.99893188476562,118.99662017822266,35.81,116.81433333333334,61.1,40.6,23.3,36.4,37.5,27.6,37.5,34.4,36.4,23.3,56.28,0.18622222222222165,55.1,56.1,56.4,56.4,56.4,56.4,56.5,56.5,56.5,56.5
gaussianBlur,Video1,./data\Video1\Confetti1.png and 9 others,3,1.5094757080078125,0.2892413552520641,2.1021366119384766,1.997232437133789,0.9996891021728516,1.0001659393310547,0.9996891021728516,1.9996166229248047,0.9980201721191406,1.9936561584472656,2.001523971557617,1.0030269622802734,80.0,1777.7777777777778,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,56.269999999999996,0.19122222222222168,55.1,56.0,56.4,56.4,56.4,56.4,56.5,56.5,56.5,56.5
meanThresh,Video1,./data\Video1\Confetti1.png and 9 others,3,5.094790458679199,0.7664848384239222,6.995677947998047,3.9963722229003906,4.982471466064453,3.9963722229003906,4.997968673706055,4.995107650756836,4.996538162231445,4.996299743652344,5.995273590087891,4.995822906494141,22.5,618.0555555555555,0.0,0.0,0.0,0.0,50.0,50.0,25.0,50.0,50.0,0.0,56.370000000000005,0.19122222222222168,55.2,56.1,56.5,56.5,56.5,56.5,56.6,56.6,56.6,56.6
gradientSobel,Video1,./data\Video1\Confetti1.png and 9 others,3,9.39640998840332,0.26556008884249926,9.995460510253906,8.996009826660156,8.997678756713867,8.997678756713867,9.996652603149414,9.992837905883789,9.995698928833008,8.997201919555664,8.996963500976562,8.997917175292969,17.66,577.6693333333334,0.0,0.0,50.0,0.0,60.0,0.0,0.0,33.3,0.0,33.3,56.33,0.17788888888888824,55.2,56.1,56.4,56.4,56.5,56.5,56.5,56.6,56.6,56.5
