Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,62.2173547744751,4.8008982231648485,62.84809112548828,63.905954360961914,61.57255172729492,58.21800231933594,61.52176856994629,59.81326103210449,64.73469734191895,63.38810920715332,61.07687950134277,65.0942325592041,66.76,7.220444444444448,66.7,69.2,70.0,63.6,64.3,70.0,69.2,64.3,63.6,66.7,29.17,5.497888888888892,23.4,29.1,29.5,29.2,29.4,29.4,29.3,33.1,29.8,29.5
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,2.1209239959716797,0.5053282267100359,4.109382629394531,1.7971992492675781,1.720428466796875,1.8966197967529297,1.8172264099121094,1.8794536590576172,1.9533634185791016,2.119302749633789,1.8050670623779297,2.111196517944336,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.19,4.898777777777781,23.9,28.8,29.5,29.2,29.4,29.4,29.3,33.1,29.8,29.5
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.52130126953125,0.004291347168974526,1.6117095947265625,1.4584064483642578,1.50299072265625,1.5170574188232422,1.455545425415039,1.5773773193359375,1.6021728515625,1.4154911041259766,1.5518665313720703,1.520395278930664,51.67,213.81566666666674,50.0,33.3,33.3,66.7,66.7,50.0,66.7,33.3,50.0,66.7,29.19,4.898777777777781,23.9,28.8,29.5,29.2,29.4,29.4,29.3,33.1,29.8,29.5
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.8074760437011719,0.009357750564554913,0.8783340454101562,0.8118152618408203,0.6887912750244141,0.6618499755859375,0.6835460662841797,0.8711814880371094,0.9064674377441406,0.9207725524902344,0.8499622344970703,0.8020401000976562,55.0,1361.111111111111,50.0,0.0,50.0,50.0,100.0,100.0,50.0,50.0,0.0,100.0,29.19,4.898777777777781,23.9,28.8,29.5,29.2,29.4,29.4,29.3,33.1,29.8,29.5
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,4.065966606140137,0.026247795403833152,4.479169845581055,3.9098262786865234,3.9467811584472656,4.068136215209961,3.954172134399414,3.971576690673828,4.040718078613281,4.060506820678711,4.106044769287109,4.122734069824219,25.0,1805.5555555555557,0.0,0.0,0.0,100.0,100.0,0.0,0.0,50.0,0.0,0.0,29.2,4.782222222222224,24.0,28.8,29.5,29.2,29.4,29.4,29.3,33.1,29.8,29.5
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,2.871823310852051,20.756007997609533,2.297639846801758,1.4154911041259766,1.3113021850585938,1.2934207916259766,1.2829303741455078,1.3594627380371094,1.316070556640625,15.808343887329102,1.2674331665039062,1.3661384582519531,13.33,1036.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,100.0,28.65,2.8205555555555546,24.3,28.8,29.5,29.2,29.4,29.4,29.3,27.3,29.8,29.5
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,53.89127731323242,5.96763649001433,55.80544471740723,53.2839298248291,57.799339294433594,52.21056938171387,54.8710823059082,53.11703681945801,49.52096939086914,53.27463150024414,56.72407150268555,52.30569839477539,52.36,6.296000000000001,54.5,54.5,50.0,50.0,54.5,50.0,55.6,54.5,50.0,50.0,28.1,2.2288888888888883,24.8,28.8,27.3,29.2,27.3,29.4,29.3,28.1,27.2,29.6
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.6217002868652344,0.000998261384665966,0.6101131439208984,0.6763935089111328,0.6318092346191406,0.5888938903808594,0.6227493286132812,0.6546974182128906,0.6401538848876953,0.5736351013183594,0.6270408630371094,0.5915164947509766,95.0,250.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,28.1,2.2288888888888883,24.8,28.8,27.3,29.2,27.3,29.4,29.3,28.1,27.2,29.6
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,2.5102615356445312,0.003973150342062581,2.599477767944336,2.527952194213867,2.490997314453125,2.6307106018066406,2.4347305297851562,2.504587173461914,2.5157928466796875,2.4411678314208984,2.4840831756591797,2.473115921020508,15.0,1138.888888888889,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,28.1,2.2288888888888883,24.8,28.8,27.3,29.2,27.3,29.4,29.3,28.1,27.2,29.6
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.216242790222168,0.006750363783996565,3.3049583435058594,3.2129287719726562,3.2901763916015625,3.361225128173828,3.1366348266601562,3.1766891479492188,3.1909942626953125,3.1044483184814453,3.1464099884033203,3.2379627227783203,40.0,2666.6666666666665,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,28.1,2.2288888888888883,24.8,28.8,27.3,29.2,27.3,29.4,29.3,28.1,27.2,29.6
