Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti1.png and 9 others,3,43.50485801696777,0.49252106843293103,43.00236701965332,44.99459266662598,43.99728775024414,43.00642013549805,43.99824142456055,42.99759864807129,44.00467872619629,43.035030364990234,43.03169250488281,42.98067092895508,25.54,31.80711111111111,30.0,25.0,18.2,18.2,30.0,36.4,22.2,27.3,23.1,25.0,54.95,0.03833333333333356,54.4,55.0,55.0,55.0,55.0,55.0,55.1,55.0,55.0,55.0
resize,Video1,./data\Video1\Confetti1.png and 9 others,3,2.485179901123047,0.49503176645278774,3.99017333984375,1.9936561584472656,1.9938945770263672,2.9947757720947266,2.9642581939697266,1.992940902709961,2.9633045196533203,1.9962787628173828,1.9938945770263672,1.9686222076416016,95.56,114.99599999999997,100.0,66.7,100.0,100.0,100.0,100.0,88.9,100.0,100.0,100.0,54.93,0.035666666666666846,54.4,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,54.9
rotate,Video1,./data\Video1\Confetti1.png and 9 others,3,2.5050878524780273,0.27155421788746836,2.9973983764648438,2.9969215393066406,1.9965171813964844,2.002239227294922,2.0301342010498047,3.0035972595214844,2.025127410888672,3.000974655151367,2.997875213623047,2.000093460083008,35.48,192.9706666666667,25.0,42.9,25.0,33.3,28.6,66.7,25.0,25.0,50.0,33.3,54.97,0.02900000000000008,54.5,55.0,55.0,55.1,55.0,55.0,55.1,55.0,55.0,55.0
mirror,Video1,./data\Video1\Confetti1.png and 9 others,3,3.1926870346069336,0.17138805472111723,3.995180130004883,2.9947757720947266,2.9964447021484375,2.99835205078125,3.0014514923095703,2.9964447021484375,2.995729446411133,2.996206283569336,2.9914379119873047,3.960847854614258,31.63,68.17122222222221,28.6,37.5,25.0,33.3,37.5,22.2,50.0,25.0,28.6,28.6,54.96,0.027111111111111155,54.5,55.0,55.0,55.0,55.0,55.0,55.1,55.0,55.0,55.0
contour,Video1,./data\Video1\Confetti1.png and 9 others,3,6.680750846862793,0.22916803838294678,6.968498229980469,6.966590881347656,5.995988845825195,6.995201110839844,5.996465682983398,6.996393203735352,6.963014602661133,6.967306137084961,5.969524383544922,6.988525390625,4.5,91.38888888888889,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96,0.027111111111111155,54.5,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.1,55.0
contrastRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,3.7932634353637695,0.175633866522023,2.9976367950439453,3.997325897216797,3.9987564086914062,3.993988037109375,3.997325897216797,3.995180130004883,2.9990673065185547,3.9954185485839844,3.995180130004883,3.9627552032470703,17.49,376.9632222222222,0.0,0.0,0.0,33.3,0.0,33.3,50.0,0.0,33.3,25.0,54.95,0.025,54.5,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
brightnessRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,91.39227867126465,1.3926245148670406,89.99371528625488,92.0264720916748,91.99690818786621,91.99142456054688,89.96748924255371,92.99206733703613,89.9968147277832,92.99683570861816,90.99698066711426,90.96407890319824,35.49,59.90544444444444,26.1,44.0,29.2,41.7,29.2,28.0,40.0,29.2,41.7,45.8,54.92,0.02400000000000002,54.5,54.9,55.0,54.9,55.0,55.0,55.0,55.0,55.0,54.9
gaussianBlur,Video1,./data\Video1\Confetti1.png and 9 others,3,0.9970188140869141,8.52398645494961e-06,0.9963512420654297,0.9987354278564453,0.9963512420654297,0.99945068359375,0.9970664978027344,1.0018348693847656,0.9975433349609375,0.9906291961669922,0.9968280792236328,0.9953975677490234,90.0,1000.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.92,0.02400000000000002,54.5,54.9,55.0,54.9,55.0,55.0,55.0,55.0,55.0,54.9
meanThresh,Video1,./data\Video1\Confetti1.png and 9 others,3,3.200078010559082,0.1777182641641654,2.996206283569336,3.0252933502197266,3.995180130004883,3.0257701873779297,2.9997825622558594,2.9647350311279297,3.0248165130615234,2.9990673065185547,2.967357635498047,4.002571105957031,10.0,444.44444444444446,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.95,0.025,54.5,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
gradientSobel,Video1,./data\Video1\Confetti1.png and 9 others,3,6.896710395812988,0.10000581988202208,6.993293762207031,6.999492645263672,6.996393203735352,6.995201110839844,5.9967041015625,6.995916366577148,6.999731063842773,6.997585296630859,6.994485855102539,6.998300552368164,11.66,234.24711111111108,0.0,0.0,0.0,33.3,0.0,0.0,25.0,0.0,33.3,25.0,54.95,0.025,54.5,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
