Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,12.026214599609375,0.5228913071025292,13.937711715698242,11.978626251220703,11.937141418457031,11.546134948730469,11.16943359375,11.897802352905273,12.019634246826172,11.956214904785156,12.029886245727539,11.789560317993164,23.5,39.166666666666664,20.0,25.0,20.0,25.0,20.0,20.0,40.0,20.0,25.0,20.0,24.21,0.37655555555555537,22.5,24.1,24.3,24.4,24.4,24.5,24.5,24.5,24.4,24.5
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.3282060623168945,0.7049472016104927,3.7169456481933594,1.0590553283691406,1.0733604431152344,1.0402202606201172,1.0373592376708984,1.0402202606201172,1.046895980834961,1.0993480682373047,1.0762214660644531,1.0924339294433594,98.75,15.625,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24.22,0.33955555555555483,22.6,24.1,24.3,24.4,24.4,24.5,24.5,24.5,24.4,24.5
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,0.7586479187011719,0.0006036518445600652,0.7789134979248047,0.7519721984863281,0.7977485656738281,0.7271766662597656,0.7555484771728516,0.7522106170654297,0.7257461547851562,0.7550716400146484,0.79345703125,0.7486343383789062,21.65,373.025,50.0,0.0,0.0,33.3,0.0,33.3,0.0,33.3,33.3,33.3,24.22,0.33955555555555483,22.6,24.1,24.3,24.4,24.4,24.5,24.5,24.5,24.4,24.5
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,0.3712654113769531,0.0002086759801992836,0.370025634765625,0.3731250762939453,0.35572052001953125,0.385284423828125,0.3674030303955078,0.3743171691894531,0.35953521728515625,0.3676414489746094,0.3561973571777344,0.40340423583984375,10.0,1000.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,24.22,0.33955555555555483,22.6,24.1,24.3,24.4,24.4,24.5,24.5,24.5,24.4,24.5
contour,Video2,./data/Video2/Gear3.png and 9 others,3,1.7374515533447266,0.0351929379070902,2.2335052490234375,1.7304420471191406,1.756429672241211,1.646280288696289,1.5208721160888672,1.6298294067382812,1.6908645629882812,1.730203628540039,1.7025470733642578,1.733541488647461,23.34,1494.4693333333332,0.0,0.0,66.7,66.7,0.0,0.0,100.0,0.0,0.0,0.0,24.22,0.33955555555555483,22.6,24.1,24.3,24.4,24.4,24.5,24.5,24.5,24.4,24.5
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,1.0498046875,0.6175377292392012,2.254962921142578,0.6709098815917969,0.6806850433349609,0.6666183471679688,0.6766319274902344,0.6878376007080078,2.7875900268554688,0.7281303405761719,0.6628036499023438,0.6818771362304688,5.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,24.18,0.2995555555555556,22.7,24.1,24.3,24.4,24.4,24.5,24.0,24.5,24.4,24.5
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,22.823143005371094,7.221825535452808,30.37548065185547,22.162437438964844,22.301673889160156,22.179603576660156,20.84946632385254,22.31884002685547,22.17555046081543,22.037506103515625,21.945714950561523,21.885156631469727,32.99,117.58544444444443,58.3,33.3,40.0,40.0,25.0,25.0,25.0,25.0,25.0,33.3,24.21,0.2632222222222218,22.8,24.1,24.3,24.4,24.4,24.5,24.2,24.5,24.4,24.5
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.34940242767333984,0.0015626161105804688,0.4546642303466797,0.32830238342285156,0.33402442932128906,0.36525726318359375,0.3249645233154297,0.3600120544433594,0.32973289489746094,0.3311634063720703,0.33926963806152344,0.3266334533691406,60.0,2666.6666666666665,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,24.21,0.2632222222222218,22.8,24.1,24.3,24.4,24.4,24.5,24.2,24.5,24.4,24.5
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.3385772705078125,0.012693302172313755,1.6570091247558594,1.3170242309570312,1.2900829315185547,1.2826919555664062,1.3103485107421875,1.3022422790527344,1.3225078582763672,1.2860298156738281,1.3072490692138672,1.310586929321289,25.0,1805.5555555555557,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,24.21,0.2632222222222218,22.8,24.1,24.3,24.4,24.4,24.5,24.2,24.5,24.4,24.5
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.6482830047607422,0.017083470993384253,1.9321441650390625,1.537322998046875,1.5850067138671875,1.720428466796875,1.5485286712646484,1.5690326690673828,1.5559196472167969,1.734018325805664,1.7490386962890625,1.5513896942138672,10.0,444.44444444444446,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,24.21,0.2632222222222218,22.8,24.1,24.3,24.4,24.4,24.5,24.2,24.5,24.4,24.5
