Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,13.94200325012207,0.49948002672155983,15.7012939453125,13.768672943115234,13.895034790039062,13.579368591308594,12.941598892211914,14.150142669677734,14.112710952758789,13.954401016235352,13.691425323486328,13.625383377075195,30.32,104.72622222222222,50.0,20.0,20.0,33.3,40.0,33.3,33.3,33.3,20.0,20.0,23.52,0.23288888888888912,22.2,23.5,23.6,23.6,23.7,23.6,23.7,23.6,24.0,23.7
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.119399070739746,0.03787543252858288,1.6646385192871094,1.0707378387451172,1.0471343994140625,1.055002212524414,1.0559558868408203,1.0502338409423828,1.1446475982666016,1.0628700256347656,1.0218620300292969,1.0209083557128906,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,23.52,0.20622222222222208,22.3,23.4,23.6,23.6,23.7,23.6,23.7,23.6,24.0,23.7
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,1.1917591094970703,0.04176541400132313,1.764059066772461,1.0998249053955078,1.1200904846191406,1.1098384857177734,1.1179447174072266,1.115560531616211,1.1150836944580078,1.138925552368164,1.2273788452148438,1.1088848114013672,29.71,114.84100000000001,57.1,25.0,25.0,25.0,25.0,25.0,25.0,25.0,40.0,25.0,23.52,0.20622222222222208,22.3,23.4,23.6,23.6,23.7,23.6,23.7,23.6,24.0,23.7
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,1.2951374053955078,0.02062555621604487,1.7011165618896484,1.2385845184326172,1.2388229370117188,1.2316703796386719,1.2378692626953125,1.2524127960205078,1.2843608856201172,1.2679100036621094,1.260519027709961,1.238107681274414,26.5,105.83333333333333,50.0,25.0,40.0,20.0,20.0,20.0,25.0,20.0,20.0,25.0,23.52,0.20622222222222208,22.3,23.4,23.6,23.6,23.7,23.6,23.7,23.6,24.0,23.7
contour,Video2,./data/Video2/Gear3.png and 9 others,3,2.086639404296875,0.01646785424074753,2.3279190063476562,2.099275588989258,2.138853073120117,1.9767284393310547,1.819610595703125,2.085447311401367,2.065896987915039,2.130746841430664,2.101898193359375,2.1200180053710938,60.0,2666.6666666666665,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,23.52,0.20622222222222208,22.3,23.4,23.6,23.6,23.7,23.6,23.7,23.6,24.0,23.7
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,1.100754737854004,0.6913090632881196,2.384662628173828,0.7584095001220703,0.6825923919677734,0.6682872772216797,0.7848739624023438,0.6701946258544922,0.6692409515380859,0.7665157318115234,2.9296875,0.6930828094482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.47,0.15344444444444488,22.4,23.4,23.6,23.6,23.7,23.6,23.7,23.6,23.4,23.7
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,25.59812068939209,9.688433566957933,33.31589698791504,24.813175201416016,24.122238159179688,26.369571685791016,23.28944206237793,25.990009307861328,21.985292434692383,24.784326553344727,27.242660522460938,24.068593978881836,36.72,187.4751111111111,64.3,33.3,25.0,36.4,25.0,41.7,14.3,45.5,41.7,40.0,23.58,0.17955555555555594,22.4,23.5,23.7,23.8,23.7,23.8,23.7,23.7,23.7,23.8
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.3065824508666992,0.00016800956675271865,0.2727508544921875,0.3161430358886719,0.31375885009765625,0.308990478515625,0.31447410583496094,0.3058910369873047,0.3097057342529297,0.31495094299316406,0.3104209899902344,0.2987384796142578,30.0,2333.3333333333335,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,23.58,0.17955555555555594,22.4,23.5,23.7,23.8,23.7,23.8,23.7,23.7,23.7,23.8
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.3179302215576172,0.03089311980551833,1.8167495727539062,1.2965202331542969,1.2557506561279297,1.2481212615966797,1.2543201446533203,1.2633800506591797,1.2674331665039062,1.2636184692382812,1.2562274932861328,1.257181167602539,20.0,1777.7777777777778,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,23.58,0.17955555555555594,22.4,23.5,23.7,23.8,23.7,23.8,23.7,23.7,23.7,23.8
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.898360252380371,0.047428772455128235,2.505779266357422,1.8541812896728516,1.7578601837158203,1.8143653869628906,1.821279525756836,1.931905746459961,1.8112659454345703,1.8279552459716797,1.8239021301269531,1.8351078033447266,25.0,1805.5555555555557,0.0,0.0,0.0,100.0,0.0,100.0,0.0,50.0,0.0,0.0,23.58,0.17955555555555594,22.4,23.5,23.7,23.8,23.7,23.8,23.7,23.7,23.7,23.8
