Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,10.916304588317871,0.16705242526566305,11.61813735961914,10.977983474731445,10.885477066040039,10.44321060180664,10.155200958251953,10.926246643066406,11.231422424316406,10.994672775268555,11.180639266967773,10.750055313110352,52.0,17.77777777777778,50.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,50.0,60.0,25.759999999999998,0.5026666666666664,24.0,25.2,25.5,25.9,26.0,26.2,26.2,26.2,26.2,26.2
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.5645265579223633,1.0381939552593797,4.444122314453125,1.1644363403320312,1.1608600616455078,1.5194416046142578,1.3141632080078125,1.1587142944335938,1.2369155883789062,1.1529922485351562,1.1451244354248047,1.3484954833984375,98.33,27.88900000000001,100.0,83.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.77,0.4645555555555547,24.1,25.2,25.5,25.9,26.0,26.2,26.2,26.2,26.2,26.2
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,0.7175683975219727,0.013018848853284403,1.039743423461914,0.6833076477050781,0.7016658782958984,0.6871223449707031,0.6797313690185547,0.6573200225830078,0.6906986236572266,0.6940364837646484,0.6842613220214844,0.6577968597412109,37.5,791.1422222222222,75.0,50.0,33.3,0.0,0.0,50.0,50.0,50.0,0.0,66.7,25.77,0.4645555555555547,24.1,25.2,25.5,25.9,26.0,26.2,26.2,26.2,26.2,26.2
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,0.4163503646850586,0.02809568147515367,0.8838176727294922,0.37670135498046875,0.3800392150878906,0.339508056640625,0.362396240234375,0.32329559326171875,0.3616809844970703,0.4456043243408203,0.34737586975097656,0.34308433532714844,34.17,2044.2223333333334,75.0,100.0,0.0,0.0,0.0,66.7,0.0,0.0,100.0,0.0,25.77,0.4645555555555547,24.1,25.2,25.5,25.9,26.0,26.2,26.2,26.2,26.2,26.2
contour,Video2,./data/Video2/Gear3.png and 9 others,3,1.5757083892822266,0.02173435910258882,1.9402503967285156,1.5103816986083984,1.5690326690673828,1.5063285827636719,1.373291015625,1.6016960144042969,1.5387535095214844,1.6460418701171875,1.500844955444336,1.5704631805419922,54.17,2303.3334444444445,100.0,0.0,75.0,100.0,0.0,100.0,0.0,0.0,66.7,100.0,25.77,0.4645555555555547,24.1,25.2,25.5,25.9,26.0,26.2,26.2,26.2,26.2,26.2
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,0.6830930709838867,0.035431771847369314,1.211404800415039,0.6089210510253906,0.6093978881835938,0.614166259765625,0.6134510040283203,0.6515979766845703,0.5977153778076172,0.6108283996582031,0.6101131439208984,0.7033348083496094,10.0,1000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77,0.4645555555555547,24.1,25.2,25.5,25.9,26.0,26.2,26.2,26.2,26.2,26.2
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,25.13284683227539,6.4010057712948765,30.093908309936523,27.42934226989746,26.641845703125,25.47621726989746,23.610830307006836,23.946285247802734,21.002531051635742,23.169517517089844,25.545597076416016,24.41239356994629,55.82,112.14844444444444,81.8,50.0,50.0,54.5,50.0,58.3,50.0,44.4,63.6,55.6,25.8,0.41111111111111087,24.2,25.3,25.6,25.9,26.0,26.2,26.2,26.2,26.2,26.2
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.40874481201171875,0.0002695287548704073,0.4055500030517578,0.39768218994140625,0.4379749298095703,0.4107952117919922,0.42748451232910156,0.3993511199951172,0.3898143768310547,0.3924369812011719,0.40030479431152344,0.4260540008544922,60.0,2666.6666666666665,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,25.8,0.41111111111111087,24.2,25.3,25.6,25.9,26.0,26.2,26.2,26.2,26.2,26.2
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.1718034744262695,0.004739774163277212,1.3637542724609375,1.1365413665771484,1.155853271484375,1.1649131774902344,1.135110855102539,1.1715888977050781,1.1649131774902344,1.150369644165039,1.1320114135742188,1.1429786682128906,5.0,250.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.41111111111111087,24.2,25.3,25.6,25.9,26.0,26.2,26.2,26.2,26.2,26.2
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.461935043334961,0.008535377876089316,1.7027854919433594,1.4030933380126953,1.3816356658935547,1.4081001281738281,1.4829635620117188,1.4567375183105469,1.4576911926269531,1.405954360961914,1.4257431030273438,1.4946460723876953,25.0,1805.5555555555557,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,50.0,25.8,0.41111111111111087,24.2,25.3,25.6,25.9,26.0,26.2,26.2,26.2,26.2,26.2
