Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video2,./data/Video2/Gear3.png and 9 others,3,12.604737281799316,0.724245807583025,14.804840087890625,12.374639511108398,12.577533721923828,12.145757675170898,11.492490768432617,12.73345947265625,12.483835220336914,12.635469436645508,12.226343154907227,12.573003768920898,52.34,89.22488888888891,66.7,50.0,50.0,50.0,40.0,50.0,66.7,50.0,60.0,40.0,25.080000000000002,0.3128888888888885,23.6,24.9,25.1,25.1,25.2,25.3,25.3,25.3,25.7,25.3
resize,Video2,./data/Video2/Gear3.png and 9 others,3,1.673722267150879,1.7692076735582103,1.8811225891113281,1.1394023895263672,5.406379699707031,1.2187957763671875,1.1301040649414062,1.199960708618164,1.1935234069824219,1.1916160583496094,1.1799335479736328,1.1963844299316406,97.5,62.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,25.080000000000002,0.28622222222222243,23.7,24.8,25.1,25.1,25.2,25.3,25.3,25.3,25.7,25.3
rotate,Video2,./data/Video2/Gear3.png and 9 others,3,1.035141944885254,0.012125788215497677,1.3432502746582031,0.9860992431640625,1.0364055633544922,1.008749008178711,0.9846687316894531,1.0199546813964844,0.9846687316894531,0.9763240814208984,0.9887218475341797,1.0225772857666016,51.83,169.7978888888889,75.0,66.7,50.0,50.0,50.0,33.3,50.0,33.3,60.0,50.0,25.080000000000002,0.28622222222222243,23.7,24.8,25.1,25.1,25.2,25.3,25.3,25.3,25.7,25.3
mirror,Video2,./data/Video2/Gear3.png and 9 others,3,1.1979103088378906,0.029980409029424965,1.67083740234375,1.1069774627685547,1.1000633239746094,1.2040138244628906,1.1525154113769531,1.0628700256347656,1.1472702026367188,1.2214183807373047,1.1296272277832031,1.1835098266601562,54.33,143.489,80.0,60.0,50.0,50.0,50.0,50.0,33.3,60.0,60.0,50.0,25.080000000000002,0.28622222222222243,23.7,24.8,25.1,25.1,25.2,25.3,25.3,25.3,25.7,25.3
contour,Video2,./data/Video2/Gear3.png and 9 others,3,2.1063804626464844,1.2357418300881464,5.262613296508789,1.7707347869873047,1.8105506896972656,1.6984939575195312,1.5759468078613281,1.7423629760742188,1.7650127410888672,1.8413066864013672,1.7600059509277344,1.8367767333984375,30.0,2333.3333333333335,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,25.080000000000002,0.28622222222222243,23.7,24.8,25.1,25.1,25.2,25.3,25.3,25.3,25.7,25.3
contrastRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,0.9176492691040039,0.38483578729634854,1.7311573028564453,0.6382465362548828,0.7197856903076172,0.5991458892822266,0.6330013275146484,0.6148815155029297,0.6413459777832031,0.6029605865478516,2.381563186645508,0.6144046783447266,5.0,250.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.04,0.21377777777777768,23.8,24.8,25.1,25.1,25.2,25.3,25.3,25.3,25.2,25.3
brightnessRandomization,Video2,./data/Video2/Gear3.png and 9 others,3,29.543042182922363,43.36121458297586,47.01876640319824,25.98094940185547,27.18830108642578,28.61642837524414,26.102781295776367,28.081178665161133,22.770404815673828,28.662443161010742,29.221534729003906,31.787633895874023,61.96,89.80488888888891,78.9,63.6,58.3,50.0,63.6,54.5,66.7,54.5,54.5,75.0,25.169999999999998,0.2645555555555551,23.8,24.9,25.2,25.2,25.4,25.4,25.4,25.5,25.5,25.4
gaussianBlur,Video2,./data/Video2/Gear3.png and 9 others,3,0.5237817764282227,0.2629950264084376,1.9829273223876953,0.3528594970703125,0.3459453582763672,0.37670135498046875,0.35858154296875,0.37169456481933594,0.3666877746582031,0.3445148468017578,0.3788471221923828,0.3590583801269531,97.5,62.5,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.169999999999998,0.2645555555555551,23.8,24.9,25.2,25.2,25.4,25.4,25.4,25.5,25.5,25.4
meanThresh,Video2,./data/Video2/Gear3.png and 9 others,3,1.1654376983642578,0.008848345108466068,1.4274120330810547,1.1272430419921875,1.115560531616211,1.1315345764160156,1.1310577392578125,1.1780261993408203,1.1210441589355469,1.1620521545410156,1.1374950408935547,1.1229515075683594,20.0,1777.7777777777778,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,25.169999999999998,0.2645555555555551,23.8,24.9,25.2,25.2,25.4,25.4,25.4,25.5,25.5,25.4
gradientSobel,Video2,./data/Video2/Gear3.png and 9 others,3,1.6597747802734375,0.00874854574956569,1.9075870513916016,1.6295909881591797,1.5919208526611328,1.6105175018310547,1.6558170318603516,1.6117095947265625,1.6112327575683594,1.7139911651611328,1.6205310821533203,1.6448497772216797,20.0,1777.7777777777778,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25.169999999999998,0.2645555555555551,23.8,24.9,25.2,25.2,25.4,25.4,25.4,25.5,25.5,25.4
computeHistogram,Video2,./data/Video2/Gear3.png and 9 others,3,0.9573698043823242,0.0006393526695723671,1.0154247283935547,0.9605884552001953,0.9348392486572266,0.9527206420898438,0.9858608245849609,0.9391307830810547,0.9369850158691406,0.9455680847167969,0.9453296661376953,0.9572505950927734,48.99,202.94100000000003,80.0,50.0,50.0,50.0,50.0,33.3,60.0,50.0,33.3,33.3,25.169999999999998,0.2645555555555551,23.8,24.9,25.2,25.2,25.4,25.4,25.4,25.5,25.5,25.4
computeCanny,Video2,./data/Video2/Gear3.png and 9 others,3,5.009102821350098,0.01695356293870039,5.219697952270508,4.890918731689453,5.029439926147461,4.871606826782227,4.897594451904297,4.900455474853516,5.049705505371094,5.005121231079102,4.996299743652344,5.230188369750977,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.18,0.23511111111111133,23.9,24.9,25.2,25.2,25.4,25.4,25.4,25.5,25.5,25.4
detectSift,Video2,./data/Video2/Gear3.png and 9 others,3,233.8242769241333,133.29942942732487,266.13378524780273,234.22622680664062,228.86085510253906,230.68594932556152,231.73761367797852,227.9658317565918,231.7178249359131,230.44133186340332,229.6762466430664,226.79710388183594,67.96000000000001,6.716000000000004,75.2,67.4,67.8,67.4,67.4,67.0,66.3,67.4,67.4,66.3,25.29,0.04988888888888911,24.9,25.3,25.2,25.4,25.3,25.5,25.0,25.5,25.2,25.6
