Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,64.45250511169434,19.094623707537217,68.52197647094727,68.54867935180664,60.87994575500488,61.334848403930664,68.88055801391602,67.86656379699707,64.60237503051758,58.351755142211914,67.34395027160645,58.19439888000488,39.68,11.024000000000003,42.3,41.7,45.5,38.1,33.3,37.5,37.5,40.0,40.9,40.0,33.46,14.40266666666667,24.0,30.2,32.7,34.4,34.8,35.7,35.6,35.4,35.2,36.6
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,2.335810661315918,1.048841725529807,4.214286804199219,1.6679763793945312,3.7915706634521484,3.3218860626220703,1.6009807586669922,1.6336441040039062,1.8215179443359375,1.7147064208984375,1.5647411346435547,2.026796340942383,94.22,56.67066666666666,85.7,100.0,87.5,85.7,83.3,100.0,100.0,100.0,100.0,100.0,33.5,13.328888888888889,24.6,30.0,32.7,34.4,34.8,35.7,35.6,35.4,35.2,36.6
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,2.5730133056640625,0.7974377669799853,2.0041465759277344,3.877401351928711,1.9774436950683594,1.7366409301757812,3.0646324157714844,4.117727279663086,1.7428398132324219,3.0007362365722656,1.8229484558105469,2.3856163024902344,23.63,24.666777777777785,16.7,25.0,16.7,28.6,27.3,26.7,28.6,25.0,16.7,25.0,33.5,13.328888888888889,24.6,30.0,32.7,34.4,34.8,35.7,35.6,35.4,35.2,36.6
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,1.128530502319336,0.13507506082532927,0.9446144104003906,0.8609294891357422,1.6558170318603516,1.6911029815673828,0.8246898651123047,1.5742778778076172,1.154184341430664,0.827789306640625,0.8211135864257812,0.9307861328125,26.65,104.69166666666665,25.0,33.3,25.0,33.3,33.3,33.3,0.0,33.3,25.0,25.0,33.5,13.328888888888889,24.6,30.0,32.7,34.4,34.8,35.7,35.6,35.4,35.2,36.6
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,4.97431755065918,0.7865536518794316,5.614995956420898,4.561424255371094,4.475831985473633,4.368305206298828,4.4155120849609375,4.442453384399414,7.230281829833984,4.57763671875,5.159854888916016,4.896879196166992,34.99,398.18544444444444,33.3,33.3,50.0,50.0,0.0,33.3,50.0,50.0,50.0,0.0,33.5,13.328888888888889,24.6,30.0,32.7,34.4,34.8,35.7,35.6,35.4,35.2,36.6
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,3.6638736724853516,10.584052109960693,3.500223159790039,2.5682449340820312,2.4869441986083984,12.878894805908203,2.4840831756591797,2.37274169921875,2.454996109008789,2.613544464111328,2.6917457580566406,2.5873184204101562,22.0,1173.3333333333333,0.0,50.0,0.0,20.0,0.0,0.0,100.0,0.0,50.0,0.0,33.19,13.243222222222228,24.9,30.0,32.7,31.0,34.8,35.7,35.6,35.4,35.2,36.6
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,69.91159915924072,7.4171856851990015,72.44324684143066,67.40975379943848,67.78383255004883,70.04094123840332,66.70713424682617,68.7108039855957,67.84749031066895,73.58169555664062,70.2056884765625,74.38540458679199,30.21,0.9654444444444441,30.0,29.6,30.8,28.6,29.6,30.8,29.6,30.0,32.1,31.0,32.63,9.342333333333334,25.4,30.0,32.7,31.8,34.8,35.7,33.3,33.2,35.3,34.1
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.7280349731445312,0.005424089977168478,0.74005126953125,0.7596015930175781,0.6852149963378906,0.6434917449951172,0.8158683776855469,0.6377696990966797,0.6911754608154297,0.701904296875,0.8721351623535156,0.7331371307373047,90.0,444.44444444444446,100.0,50.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,32.63,9.342333333333334,25.4,30.0,32.7,31.8,34.8,35.7,33.3,33.2,35.3,34.1
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,3.4891366958618164,0.026843600330216252,3.416776657104492,3.4198760986328125,3.5130977630615234,3.4341812133789062,3.465890884399414,3.9396286010742188,3.350496292114258,3.4542083740234375,3.4291744232177734,3.468036651611328,20.0,666.6666666666666,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,32.63,9.342333333333334,25.4,30.0,32.7,31.8,34.8,35.7,33.3,33.2,35.3,34.1
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,4.716038703918457,0.08772319246317137,5.017995834350586,4.871845245361328,5.038738250732422,4.649877548217773,4.312276840209961,4.317045211791992,5.069971084594727,4.655122756958008,4.39763069152832,4.829883575439453,18.33,583.2223333333333,50.0,0.0,33.3,0.0,0.0,0.0,50.0,0.0,0.0,50.0,32.63,9.342333333333334,25.4,30.0,32.7,31.8,34.8,35.7,33.3,33.2,35.3,34.1
