Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video3,./data/Video3/Talk10.png and 9 others,3,8.900976181030273,0.37959343141361995,9.714126586914062,8.595943450927734,8.556127548217773,8.68368148803711,8.631706237792969,8.702993392944336,10.348081588745117,8.587121963500977,8.548259735107422,8.641719818115234,5.54,187.7493333333333,42.9,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,37.03,0.009000000000000256,36.9,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
resize,Video3,./data/Video3/Talk10.png and 9 others,3,0.6333589553833008,0.004846548841265353,0.6310939788818359,0.6709098815917969,0.67901611328125,0.6499290466308594,0.6728172302246094,0.6890296936035156,0.47779083251953125,0.6771087646484375,0.5390644073486328,0.6468296051025391,10.0,1000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03,0.009000000000000256,36.9,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
rotate,Video3,./data/Video3/Talk10.png and 9 others,3,0.3426551818847656,0.002546405792398016,0.4773139953613281,0.32591819763183594,0.35691261291503906,0.3108978271484375,0.32401084899902344,0.3211498260498047,0.32901763916015625,0.30803680419921875,0.3139972686767578,0.3592967987060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03,0.009000000000000256,36.9,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
mirror,Video3,./data/Video3/Talk10.png and 9 others,3,0.2367258071899414,0.002974672320811401,0.3840923309326172,0.20599365234375,0.25391578674316406,0.2129077911376953,0.2040863037109375,0.2040863037109375,0.21696090698242188,0.21886825561523438,0.2193450927734375,0.24700164794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03,0.009000000000000256,36.9,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
contour,Video3,./data/Video3/Talk10.png and 9 others,3,1.3529300689697266,0.1671546947869097,1.3909339904785156,1.2350082397460938,1.3289451599121094,1.2941360473632812,1.0678768157958984,1.1801719665527344,1.252889633178711,2.4547576904296875,0.9658336639404297,1.3587474822998047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03,0.009000000000000256,36.9,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
contrastRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,0.6173372268676758,0.026210071584702947,0.5261898040771484,0.7648468017578125,0.9670257568359375,0.5021095275878906,0.4909038543701172,0.7479190826416016,0.5161762237548828,0.644683837890625,0.5366802215576172,0.476837158203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.03,0.009000000000000256,36.9,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
brightnessRandomization,Video3,./data/Video3/Talk10.png and 9 others,3,14.991426467895508,1.1272666041703714,15.04373550415039,14.468908309936523,16.183137893676758,17.213106155395508,13.837099075317383,14.79029655456543,15.585184097290039,14.542102813720703,14.332771301269531,13.917922973632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,0.007111111111111313,37.0,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
gaussianBlur,Video3,./data/Video3/Talk10.png and 9 others,3,0.2615928649902344,0.001375734528765962,0.34117698669433594,0.2608299255371094,0.19598007202148438,0.2300739288330078,0.2779960632324219,0.2601146697998047,0.2682209014892578,0.2601146697998047,0.2460479736328125,0.2753734588623047,2.9699999999999998,88.209,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,0.007111111111111313,37.0,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
meanThresh,Video3,./data/Video3/Talk10.png and 9 others,3,0.6114721298217773,0.001453714225539847,0.6620883941650391,0.5950927734375,0.6210803985595703,0.5600452423095703,0.6451606750488281,0.6470680236816406,0.5588531494140625,0.6022453308105469,0.5779266357421875,0.6451606750488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,0.007111111111111313,37.0,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
gradientSobel,Video3,./data/Video3/Talk10.png and 9 others,3,1.0477781295776367,0.012685910633081221,0.9617805480957031,0.7557868957519531,1.1410713195800781,1.1012554168701172,1.0848045349121094,1.0688304901123047,1.0840892791748047,1.0759830474853516,1.0941028594970703,1.110076904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,0.007111111111111313,37.0,37.0,37.0,37.2,37.2,37.0,37.0,37.0,37.0,37.0
