Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,74.2077112197876,4.381000331932228,75.34575462341309,76.59173011779785,77.66604423522949,72.57652282714844,73.01950454711914,72.6776123046875,76.49827003479004,73.27723503112793,72.20983505249023,72.21460342407227,67.64,3.9915555555555606,66.7,69.2,68.8,66.7,69.2,66.7,64.3,71.4,66.7,66.7,29.0,3.8,23.5,29.2,29.2,29.8,29.6,29.9,29.5,29.8,29.6,29.9
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,2.6580095291137695,0.8876071464985418,4.9762725830078125,2.083301544189453,2.287149429321289,3.4995079040527344,2.0461082458496094,2.9783248901367188,2.099752426147461,2.1469593048095703,2.1212100982666016,2.3415088653564453,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.03,3.231222222222222,24.0,28.9,29.2,29.8,29.6,29.9,29.5,29.9,29.6,29.9
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.848006248474121,0.08399636360283896,1.8229484558105469,1.7011165618896484,1.7733573913574219,1.7821788787841797,1.6932487487792969,1.7426013946533203,1.771688461303711,1.7385482788085938,1.7893314361572266,2.6650428771972656,53.34,111.55600000000004,33.3,66.7,66.7,50.0,50.0,50.0,66.7,50.0,50.0,50.0,29.03,3.231222222222222,24.0,28.9,29.2,29.8,29.6,29.9,29.5,29.9,29.6,29.9
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.9764909744262695,0.00536341720665708,1.0030269622802734,1.0404586791992188,1.0347366333007812,1.07574462890625,0.9627342224121094,0.9760856628417969,0.9241104125976562,0.9531974792480469,0.9818077087402344,0.8130073547363281,45.0,805.5555555555555,50.0,50.0,50.0,50.0,50.0,50.0,0.0,100.0,50.0,0.0,29.03,3.231222222222222,24.0,28.9,29.2,29.8,29.6,29.9,29.5,29.9,29.6,29.9
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,4.847431182861328,0.07268564432807681,5.358695983886719,4.67371940612793,4.653453826904297,4.887104034423828,4.739999771118164,4.513740539550781,4.742145538330078,5.080461502075195,4.660844802856445,5.164146423339844,20.0,1222.2222222222222,0.0,0.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,29.04,3.1204444444444426,24.1,28.9,29.2,29.8,29.6,29.9,29.5,29.9,29.6,29.9
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,1.7747163772583008,0.17078583785708665,2.9320716857910156,1.5821456909179688,1.6047954559326172,1.6148090362548828,1.8358230590820312,1.6574859619140625,1.6787052154541016,1.6388893127441406,1.5821456909179688,1.6202926635742188,20.0,1777.7777777777778,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,29.07,2.800111111111112,24.4,28.9,29.2,29.8,29.6,29.9,29.5,29.9,29.6,29.9
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,62.67967224121094,7.855670550169533,65.03963470458984,60.85085868835449,61.402082443237305,64.86630439758301,60.02306938171387,65.28329849243164,57.066917419433594,64.63742256164551,62.46638298034668,65.16075134277344,53.94,3.887111111111109,53.8,53.8,50.0,53.8,53.8,53.8,54.5,58.3,53.8,53.8,28.26,2.1493333333333355,24.9,28.9,29.2,27.4,29.6,27.8,29.6,27.8,29.6,27.8
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.6849050521850586,0.001495184657566521,0.7462501525878906,0.6201267242431641,0.6437301635742188,0.6825923919677734,0.7100105285644531,0.7236003875732422,0.6856918334960938,0.6468296051025391,0.6928443908691406,0.6973743438720703,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.26,2.1493333333333355,24.9,28.9,29.2,27.4,29.6,27.8,29.6,27.8,29.6,27.8
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,3.0812501907348633,0.0066217157584307846,3.2393932342529297,2.9938220977783203,3.1404495239257812,3.035306930541992,3.054380416870117,3.0906200408935547,3.0732154846191406,2.9501914978027344,3.099679946899414,3.1354427337646484,50.0,2222.222222222222,100.0,100.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0,50.0,28.26,2.1493333333333355,24.9,28.9,29.2,27.4,29.6,27.8,29.6,27.8,29.6,27.8
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.6521196365356445,0.001223440272547628,3.6020278930664062,3.687620162963867,3.6325454711914062,3.6771297454833984,3.634214401245117,3.6280155181884766,3.660917282104492,3.6268234252929688,3.651857376098633,3.7200450897216797,55.0,1361.111111111111,100.0,50.0,50.0,50.0,100.0,100.0,50.0,0.0,0.0,50.0,28.26,2.1493333333333355,24.9,28.9,29.2,27.4,29.6,27.8,29.6,27.8,29.6,27.8
