Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti1.png and 9 others,3,52.396512031555176,0.9342766317230498,52.00004577636719,52.99830436706543,53.99489402770996,51.99790000915527,52.99949645996094,50.997018814086914,52.99639701843262,51.98192596435547,53.00116539001465,50.99797248840332,24.99,13.583222222222217,26.7,25.0,27.3,25.0,33.3,20.0,21.4,25.0,23.1,23.1,55.96,0.0626666666666665,55.6,56.4,56.4,55.9,55.8,55.9,55.9,55.9,55.9,55.9
resize,Video1,./data\Video1\Confetti1.png and 9 others,3,2.998948097229004,0.6657893847103777,4.997730255126953,3.0088424682617188,2.9993057250976562,2.9969215393066406,2.996206283569336,2.9959678649902344,2.99835205078125,2.996683120727539,1.9998550415039062,1.9996166229248047,80.76,465.896,55.6,100.0,44.4,57.1,88.9,88.9,100.0,100.0,100.0,72.7,55.91,0.05655555555555544,55.7,56.3,56.4,55.9,55.8,55.8,55.8,55.8,55.8,55.8
rotate,Video1,./data\Video1\Confetti1.png and 9 others,3,3.188467025756836,0.16339231731560883,3.0014514923095703,2.997159957885742,2.997875213623047,2.999544143676758,2.998828887939453,2.997159957885742,2.994060516357422,2.9897689819335938,3.9110183715820312,3.997802734375,33.49,60.800999999999995,25.0,37.5,40.0,22.2,42.9,33.3,37.5,28.6,25.0,42.9,55.98,0.052888888888888624,55.7,56.4,56.4,55.9,55.9,55.9,55.9,55.9,55.9,55.9
mirror,Video1,./data\Video1\Confetti1.png and 9 others,3,4.797005653381348,0.1767380309855879,4.997014999389648,4.996776580810547,4.995107650756836,4.997014999389648,4.994630813598633,4.995822906494141,3.999471664428711,3.9992332458496094,4.999399185180664,4.995584487915039,35.46,78.55155555555557,33.3,50.0,27.3,46.2,25.0,40.0,40.0,23.1,36.4,33.3,55.97,0.05566666666666647,55.7,56.4,56.4,55.9,55.8,55.9,55.9,55.9,55.9,55.9
contour,Video1,./data\Video1\Confetti1.png and 9 others,3,8.716344833374023,0.20215976645785202,8.99505615234375,7.998466491699219,8.20612907409668,8.995532989501953,8.99648666381836,8.004903793334961,8.996009826660156,8.996725082397461,8.97979736328125,8.994340896606445,32.5,1673.611111111111,100.0,0.0,0.0,50.0,100.0,0.0,0.0,25.0,50.0,0.0,55.98,0.052888888888888624,55.7,56.4,56.4,55.9,55.9,55.9,55.9,55.9,55.9,55.9
contrastRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,5.496692657470703,0.27636250605509205,4.998207092285156,4.998445510864258,5.9947967529296875,5.995750427246094,4.997730255126953,5.996465682983398,4.9991607666015625,5.995035171508789,4.996299743652344,5.995035171508789,18.33,1138.7778888888888,0.0,0.0,0.0,0.0,0.0,0.0,33.3,100.0,0.0,50.0,55.93,0.053444444444444274,55.7,56.3,56.4,55.9,55.8,55.8,55.8,55.9,55.9,55.8
brightnessRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,121.06618881225586,28.80114829824581,136.0025405883789,119.9948787689209,118.99638175964355,118.99948120117188,118.99709701538086,120.99719047546387,116.99867248535156,119.99630928039551,118.99447441101074,120.68486213684082,34.38,69.00622222222222,51.5,37.5,37.5,23.3,30.0,34.4,40.6,33.3,23.3,32.4,55.89,0.04766666666666643,55.7,56.3,56.3,55.8,55.8,55.8,55.8,55.8,55.8,55.8
gaussianBlur,Video1,./data\Video1\Confetti1.png and 9 others,3,1.2994050979614258,0.235339591528019,2.0046234130859375,0.9984970092773438,0.9987354278564453,0.9996891021728516,1.003265380859375,0.9946823120117188,2.0020008087158203,0.9965896606445312,0.9953975677490234,2.000570297241211,80.0,1777.7777777777778,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,55.89,0.04766666666666643,55.7,56.3,56.3,55.8,55.8,55.8,55.8,55.8,55.8,55.8
meanThresh,Video1,./data\Video1\Confetti1.png and 9 others,3,4.997873306274414,0.22194390617692583,5.998373031616211,4.995584487915039,4.99272346496582,4.998207092285156,4.9953460693359375,4.994630813598633,5.008459091186523,3.9997100830078125,4.996299743652344,4.999399185180664,20.83,821.6667777777778,75.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,33.3,55.98,0.05066666666666678,55.8,56.4,56.4,55.9,55.9,55.9,55.8,55.9,55.9,55.9
gradientSobel,Video1,./data\Video1\Confetti1.png and 9 others,3,9.586310386657715,0.45887043711445585,10.899066925048828,9.994983673095703,9.994268417358398,8.997678756713867,8.996248245239258,9.9945068359375,9.996652603149414,8.996725082397461,8.996248245239258,8.996725082397461,22.49,571.5187777777778,75.0,0.0,25.0,25.0,33.3,33.3,0.0,0.0,33.3,0.0,55.96,0.0560000000000002,55.8,56.4,56.4,55.9,55.8,55.8,55.8,55.9,55.9,55.9
