Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data/Video1/Confetti1.png and 9 others,3,59.36253070831299,2.076580740448561,57.76405334472656,60.17756462097168,58.76731872558594,59.39459800720215,58.05778503417969,57.539939880371094,59.472084045410156,62.05558776855469,61.043500900268555,59.352874755859375,66.71000000000001,9.747666666666671,63.6,63.6,64.3,63.6,66.7,72.7,69.2,66.7,70.0,66.7,29.49,6.901000000000002,23.4,29.1,29.4,29.7,29.1,29.4,33.0,29.4,33.0,29.4
resize,Video1,./data/Video1/Confetti1.png and 9 others,3,2.1048784255981445,0.4670409939282965,3.9911270141601562,1.8248558044433594,2.3431777954101562,1.8296241760253906,1.8994808197021484,1.7948150634765625,1.7926692962646484,1.7805099487304688,1.9528865814208984,1.8396377563476562,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.52,6.164,24.0,28.8,29.4,29.7,29.1,29.4,33.0,29.4,33.0,29.4
rotate,Video1,./data/Video1/Confetti1.png and 9 others,3,1.525568962097168,0.005630859176461753,1.6117095947265625,1.5194416046142578,1.4295578002929688,1.5456676483154297,1.5017986297607422,1.5535354614257812,1.6582012176513672,1.4238357543945312,1.4638900756835938,1.5480518341064453,53.34,173.53155555555563,66.7,66.7,50.0,33.3,50.0,66.7,66.7,33.3,50.0,50.0,29.52,6.164,24.0,28.8,29.4,29.7,29.1,29.4,33.0,29.4,33.0,29.4
mirror,Video1,./data/Video1/Confetti1.png and 9 others,3,0.7655143737792969,0.005289669186620611,0.9031295776367188,0.8766651153564453,0.7023811340332031,0.7455348968505859,0.6630420684814453,0.762939453125,0.7443428039550781,0.7364749908447266,0.7541179656982422,0.7665157318115234,60.0,1555.5555555555557,50.0,100.0,0.0,0.0,50.0,100.0,100.0,50.0,100.0,50.0,29.52,6.164,24.0,28.8,29.4,29.7,29.1,29.4,33.0,29.4,33.0,29.4
contour,Video1,./data/Video1/Confetti1.png and 9 others,3,4.107499122619629,0.022382063965172467,4.4498443603515625,4.040241241455078,4.010438919067383,4.044771194458008,3.877401351928711,4.04667854309082,4.171848297119141,4.115104675292969,4.150867462158203,4.167795181274414,31.67,1879.889,0.0,0.0,0.0,100.0,66.7,100.0,0.0,0.0,0.0,50.0,29.53,6.042333333333331,24.1,28.8,29.4,29.7,29.1,29.4,33.0,29.4,33.0,29.4
contrastRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,4.242396354675293,34.83997788672847,2.268552780151367,1.4591217041015625,1.2989044189453125,1.276254653930664,1.2865066528320312,1.3401508331298828,15.523910522460938,1.2998580932617188,15.330314636230469,1.3403892517089844,19.17,988.7778888888889,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,66.7,50.0,28.439999999999998,2.7026666666666674,24.4,28.8,29.4,29.7,29.1,29.4,27.4,29.4,27.4,29.4
brightnessRandomization,Video1,./data/Video1/Confetti1.png and 9 others,3,53.61006259918213,10.065228953079794,55.93419075012207,52.42800712585449,50.84824562072754,57.18803405761719,50.09055137634277,58.046817779541016,49.76296424865723,57.21688270568848,52.23989486694336,52.34503746032715,55.019999999999996,10.903999999999996,58.3,54.5,54.5,54.5,50.0,50.0,60.0,58.3,55.6,54.5,28.0,1.9133333333333338,24.9,28.8,29.5,27.3,29.1,27.3,28.2,27.3,28.2,29.4
gaussianBlur,Video1,./data/Video1/Confetti1.png and 9 others,3,0.5973577499389648,0.00045977799345564563,0.6256103515625,0.5927085876464844,0.6089210510253906,0.6022453308105469,0.6167888641357422,0.5986690521240234,0.6175041198730469,0.5764961242675781,0.5755424499511719,0.5590915679931641,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.0,1.9133333333333338,24.9,28.8,29.5,27.3,29.1,27.3,28.2,27.3,28.2,29.4
meanThresh,Video1,./data/Video1/Confetti1.png and 9 others,3,2.503681182861328,0.0020192651896245983,2.583026885986328,2.464771270751953,2.4261474609375,2.4955272674560547,2.4852752685546875,2.534627914428711,2.5141239166259766,2.5475025177001953,2.4738311767578125,2.5119781494140625,20.0,1222.2222222222222,0.0,100.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,28.0,1.9133333333333338,24.9,28.8,29.5,27.3,29.1,27.3,28.2,27.3,28.2,29.4
gradientSobel,Video1,./data/Video1/Confetti1.png and 9 others,3,3.231978416442871,0.010462580096120493,3.365039825439453,3.155946731567383,3.1502246856689453,3.259897232055664,3.1456947326660156,3.451108932495117,3.2243728637695312,3.173351287841797,3.22723388671875,3.1669139862060547,40.0,2666.6666666666665,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,28.0,1.9133333333333338,24.9,28.8,29.5,27.3,29.1,27.3,28.2,27.3,28.2,29.4
computeHistogram,Video1,./data/Video1/Confetti1.png and 9 others,3,1.581573486328125,0.0022931418344443147,1.5976428985595703,1.5919208526611328,1.542806625366211,1.5523433685302734,1.56402587890625,1.6894340515136719,1.5549659729003906,1.5475749969482422,1.5425682067871094,1.6324520111083984,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,28.0,1.9133333333333338,24.9,28.8,29.5,27.3,29.1,27.3,28.2,27.3,28.2,29.4
computeCanny,Video1,./data/Video1/Confetti1.png and 9 others,3,39.388108253479004,1.3845352043517778,41.98169708251953,39.61634635925293,39.15905952453613,39.29567337036133,38.458824157714844,40.697336196899414,39.50762748718262,38.3913516998291,38.265228271484375,38.507938385009766,69.48,32.410666666666664,77.8,70.0,71.4,62.5,66.7,71.4,62.5,75.0,62.5,75.0,28.02,1.7795555555555544,25.1,28.8,29.5,27.3,29.1,27.3,28.2,27.3,28.2,29.4
detectSift,Video1,./data/Video1/Confetti1.png and 9 others,3,776.2321949005127,961.2519897271138,812.4039173126221,825.1292705535889,781.754732131958,802.9513359069824,746.624231338501,753.6633014678955,752.5115013122559,795.7367897033691,749.1631507873535,742.3837184906006,81.27,0.41788888888888626,82.1,81.8,82.1,81.4,80.5,80.7,80.8,81.8,80.5,81.0,30.22,1.5039999999999996,26.8,30.7,31.0,30.3,30.7,30.3,30.6,30.3,30.6,30.9
detectSurf,Video1,./data/Video1/Confetti1.png and 9 others,3,1282.291293144226,2961.584146359226,1309.5340728759766,1338.0987644195557,1242.5315380096436,1344.1524505615234,1301.781415939331,1192.6214694976807,1334.306001663208,1285.4678630828857,1204.1256427764893,1270.2937126159668,99.35,0.05833333333333128,98.9,99.3,99.6,99.3,99.2,99.6,99.2,99.6,99.2,99.6,28.59,5.492111111111112,27.2,27.5,28.2,27.1,27.4,33.0,27.4,33.0,27.4,27.7
goodFeatures,Video1,./data/Video1/Confetti1.png and 9 others,3,49.173617362976074,34.37791606365358,51.94592475891113,52.86741256713867,49.69978332519531,53.558349609375,52.5362491607666,38.50102424621582,52.355051040649414,38.16413879394531,52.6280403137207,49.48019981384277,50.79,9.541000000000002,50.0,54.5,44.4,54.5,54.5,50.0,50.0,50.0,50.0,50.0,30.07,2.413444444444444,29.1,29.4,29.7,29.1,29.4,33.0,29.3,33.0,29.4,29.3
houghLine,Video1,./data/Video1/Confetti1.png and 9 others,3,3117.9290771484375,3.6019619099331774,3115.351915359497,3118.2563304901123,3119.053363800049,3120.285749435425,3118.3063983917236,3117.0289516448975,3121.326446533203,3115.8597469329834,3116.8909072875977,3116.9309616088867,50.150000000000006,0.002777777777777857,50.1,50.1,50.2,50.1,50.2,50.2,50.2,50.1,50.2,50.1,30.07,2.413444444444444,29.1,29.4,29.7,29.1,29.4,33.0,29.3,33.0,29.4,29.3
measureMemoryUsage,Video2,./data/Video2/Gear1.png and 9 others,3,18.643879890441895,2.272814658807773,17.931461334228516,17.52161979675293,17.360448837280273,18.65243911743164,18.35322380065918,17.107725143432617,19.515037536621094,17.82965660095215,20.28656005859375,21.880626678466797,55.84,155.50044444444447,50.0,66.7,75.0,33.3,66.7,50.0,50.0,66.7,50.0,50.0,29.43,0.004555555555555583,29.3,29.5,29.4,29.4,29.5,29.4,29.5,29.4,29.5,29.4
