Benchmark,Source Video,Image Path,Kernel Width (# pixels),Average Time Elapsed (milliseconds),Variance of Time Elapsed (milliseconds),Time Elapsed 1 (milliseconds),Time Elapsed 2 (milliseconds),Time Elapsed 3 (milliseconds),Time Elapsed 4 (milliseconds),Time Elapsed 5 (milliseconds),Time Elapsed 6 (milliseconds),Time Elapsed 7 (milliseconds),Time Elapsed 8 (milliseconds),Time Elapsed 9 (milliseconds),Time Elapsed 10 (milliseconds),Average of average CPU usage (% of CPU),Variance of average CPU usage (% of CPU),CPU usage 1 (% of CPU),CPU usage 2 (% of CPU),CPU usage 3 (% of CPU),CPU usage 4 (% of CPU),CPU usage 5 (% of CPU),CPU usage 6 (% of CPU),CPU usage 7 (% of CPU),CPU usage 8 (% of CPU),CPU usage 9 (% of CPU),CPU usage 10 (% of CPU),Average memory usage (% of memory),Variance of memory usage (% of memory),memory usage 1 (% of memory),memory usage 2 (% of memory),memory usage 3 (% of memory),memory usage 4 (% of memory),memory usage 5 (% of memory),memory usage 6 (% of memory),memory usage 7 (% of memory),memory usage 8 (% of memory),memory usage 9 (% of memory),memory usage 10 (% of memory)
measureMemoryUsage,Video1,./data\Video1\Confetti1.png and 9 others,3,56.700849533081055,49.77534725741053,58.99691581726074,65.0031566619873,51.00297927856445,54.0008544921875,44.0061092376709,59.99922752380371,61.000823974609375,47.99795150756836,62.99543380737305,62.005043029785156,77.68,50.52622222222224,81.2,75.0,81.2,75.0,75.0,81.2,93.8,75.0,68.8,70.6,60.589999999999996,0.15877777777777718,60.2,61.0,61.0,61.3,60.8,60.3,60.2,60.4,60.3,60.4
resize,Video1,./data\Video1\Confetti1.png and 9 others,3,2.996516227722168,0.44048212923068303,3.9942264556884766,2.996683120727539,1.9986629486083984,2.9990673065185547,3.985166549682617,2.9985904693603516,2.9926300048828125,1.9986629486083984,3.000497817993164,3.000974655151367,98.75,15.625,100.0,100.0,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.589999999999996,0.1654444444444439,60.2,61.0,61.0,61.3,60.8,60.3,60.3,60.5,60.1,60.4
rotate,Video1,./data\Video1\Confetti1.png and 9 others,3,3.8982391357421875,0.9903831925031328,2.9938220977783203,6.000995635986328,4.000425338745117,3.9968490600585938,3.997325897216797,2.99835205078125,2.998828887939453,2.99835205078125,4.995822906494141,4.001617431640625,81.67,51.00011111111112,75.0,75.0,87.5,87.5,87.5,87.5,75.0,75.0,91.7,75.0,60.629999999999995,0.1690000000000001,60.3,61.0,61.1,61.3,60.9,60.3,60.3,60.5,60.1,60.5
mirror,Video1,./data\Video1\Confetti1.png and 9 others,3,5.0991058349609375,2.0980730924849116,4.000425338745117,6.994962692260742,3.998994827270508,6.995677947998047,3.996133804321289,7.000923156738281,6.003379821777344,4.000663757324219,4.003047943115234,3.9968490600585938,85.27,91.62455555555556,83.3,81.2,75.0,88.2,75.0,100.0,100.0,75.0,91.7,83.3,60.61,0.1543333333333332,60.3,61.0,61.0,61.3,60.8,60.3,60.3,60.5,60.1,60.5
contour,Video1,./data\Video1\Confetti1.png and 9 others,3,8.698129653930664,0.6779812489791462,9.003162384033203,8.999824523925781,8.995532989501953,7.994174957275391,9.996891021728516,9.000301361083984,8.997678756713867,7.990598678588867,9.000301361083984,7.002830505371094,57.5,2506.9444444444443,0.0,100.0,0.0,100.0,100.0,75.0,0.0,100.0,100.0,0.0,60.61,0.14988888888888877,60.3,61.0,61.1,61.3,60.5,60.4,60.4,60.5,60.1,60.5
contrastRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,5.697727203369141,2.2302941589360774,5.997896194458008,8.996248245239258,6.996631622314453,4.997968673706055,5.999326705932617,4.004716873168945,4.996538162231445,4.99415397644043,5.9967041015625,3.9970874786376953,37.5,1562.5,75.0,0.0,0.0,75.0,75.0,0.0,0.0,75.0,75.0,0.0,60.589999999999996,0.14766666666666656,60.4,61.0,61.0,61.3,60.6,60.3,60.3,60.5,60.1,60.4
brightnessRandomization,Video1,./data\Video1\Confetti1.png and 9 others,3,132.80117511749268,575.4029176393437,122.99942970275879,116.00160598754883,174.99375343322754,118.00146102905273,126.99604034423828,122.99513816833496,134.02843475341797,115.00191688537598,117.99955368041992,178.99441719055176,81.89999999999999,28.31111111111111,90.6,78.6,81.2,78.6,78.1,84.4,83.3,78.6,90.6,75.0,60.58,0.14622222222222203,60.4,60.9,61.0,61.3,60.6,60.3,60.4,60.5,60.0,60.4
gaussianBlur,Video1,./data\Video1\Confetti1.png and 9 others,3,1.0988712310791016,0.09942732503986917,0.9996891021728516,1.0018348693847656,1.9962787628173828,0.9970664978027344,1.0001659393310547,1.0008811950683594,0.9987354278564453,0.9965896606445312,0.9992122650146484,0.9982585906982422,90.0,1000.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,60.58,0.14622222222222203,60.4,60.9,61.0,61.3,60.6,60.3,60.4,60.5,60.0,60.4
meanThresh,Video1,./data\Video1\Confetti1.png and 9 others,3,4.898643493652344,0.7657540310093383,4.999637603759766,6.99925422668457,4.997730255126953,4.001140594482422,4.002571105957031,4.99725341796875,3.9975643157958984,4.997014999389648,4.997491836547852,4.996776580810547,30.0,2333.3333333333335,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,60.61,0.1454444444444442,60.5,61.0,61.0,61.3,60.6,60.4,60.4,60.5,60.0,60.4
gradientSobel,Video1,./data\Video1\Confetti1.png and 9 others,3,10.798287391662598,9.735064686664272,7.992982864379883,17.000436782836914,8.998870849609375,10.000228881835938,10.997295379638672,15.995979309082031,8.997440338134766,9.999752044677734,9.000301361083984,8.99958610534668,40.0,1833.3333333333333,75.0,75.0,0.0,0.0,0.0,75.0,75.0,0.0,100.0,0.0,60.65,0.12722222222222182,60.5,61.0,61.0,61.3,60.7,60.4,60.4,60.6,60.1,60.5
computeHistogram,Video1,./data\Video1\Confetti1.png and 9 others,3,0.9974241256713867,6.369620880124987e-06,0.9951591491699219,0.9961128234863281,0.9992122650146484,0.9946823120117188,0.9989738464355469,0.9958744049072266,0.9946823120117188,1.0023117065429688,0.9980201721191406,0.9992122650146484,50.0,2777.777777777778,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,60.67,0.15122222222222212,60.5,61.0,61.1,61.4,60.7,60.4,60.4,60.6,60.1,60.5
computeCanny,Video1,./data\Video1\Confetti1.png and 9 others,3,61.797475814819336,31.497247381493153,67.9938793182373,67.9922103881836,50.99987983703613,54.99696731567383,62.99901008605957,63.997507095336914,60.99891662597656,63.99679183959961,57.997941970825195,66.00165367126465,86.53,8.673444444444446,90.0,90.0,83.3,83.3,87.5,87.5,87.5,81.2,87.5,87.5,60.69,0.1365555555555553,60.6,61.0,61.1,61.4,60.7,60.4,60.4,60.6,60.2,60.5
detectSift,Video1,./data\Video1\Confetti1.png and 9 others,3,784.6578598022461,1240.6847450114988,809.9987506866455,780.9951305389404,775.9950160980225,824.0034580230713,773.9946842193604,786.0019207000732,780.5190086364746,764.9989128112793,711.0702991485596,839.0014171600342,89.15,1.9516666666666724,90.4,89.1,87.5,89.2,91.5,90.2,87.6,87.8,90.2,88.0,60.61,0.058777777777777575,60.6,61.0,61.0,60.6,60.6,60.5,60.4,60.6,60.2,60.6
detectSurf,Video1,./data\Video1\Confetti1.png and 9 others,3,1083.6585998535156,2653.7581130721974,1227.0255088806152,1065.028429031372,1054.5132160186768,1054.9952983856201,1060.0028038024902,1086.9994163513184,1064.9983882904053,1065.0238990783691,1080.000400543213,1077.9986381530762,99.55,1.660555555555551,95.9,100.0,100.0,100.0,100.0,100.0,100.0,99.6,100.0,100.0,60.58,0.0773333333333331,60.9,60.9,61.0,60.5,60.6,60.4,60.4,60.5,60.1,60.5
goodFeatures,Video1,./data\Video1\Confetti1.png and 9 others,3,111.51483058929443,156.67699688606262,120.99909782409668,101.99689865112305,100.9988784790039,101.03225708007812,117.51651763916016,133.51869583129883,99.02715682983398,106.00090026855469,106.03499412536621,128.0229091644287,94.76,50.084888888888905,78.6,100.0,91.7,100.0,100.0,89.2,100.0,100.0,96.4,91.7,60.52,0.1417777777777772,61.0,61.0,61.0,60.6,60.5,60.5,60.2,60.2,60.2,60.0
houghLine,Video1,./data\Video1\Confetti1.png and 9 others,3,1044.8106527328491,7549.445891151486,950.9947299957275,976.0308265686035,1143.9945697784424,1004.9984455108643,1160.024881362915,997.025728225708,1098.0234146118164,1114.9940490722656,912.0199680328369,1089.9999141693115,78.77,6.649000000000003,75.8,75.8,77.5,78.9,82.7,82.8,79.6,78.2,76.3,80.1,60.57,0.177888888888889,61.0,61.0,61.3,60.8,60.3,60.3,60.3,60.3,60.4,60.0
measureMemoryUsage,Video2,./data\Video2\Gear1.png and 9 others,3,14.998936653137207,4.225275769916455,12.99738883972168,11.001110076904297,17.003297805786133,15.999794006347656,16.997814178466797,14.992952346801758,16.00193977355957,16.99972152709961,15.000104904174805,12.995243072509766,71.25,696.1805555555555,75.0,75.0,87.5,75.0,75.0,75.0,100.0,75.0,75.0,0.0,59.8,0.04888888888888886,60.0,60.2,59.8,59.9,59.7,59.7,60.0,59.6,59.6,59.5
resize,Video2,./data\Video2\Gear1.png and 9 others,3,1.1005878448486328,0.0993310297619448,1.9974708557128906,1.0035037994384766,1.0101795196533203,1.001119613647461,1.0004043579101562,0.9984970092773438,0.9911060333251953,1.0013580322265625,1.0030269622802734,0.9992122650146484,80.0,1777.7777777777778,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,59.8,0.04888888888888886,60.0,60.2,59.8,59.9,59.7,59.7,60.0,59.6,59.6,59.5
rotate,Video2,./data\Video2\Gear1.png and 9 others,3,1.3997316360473633,0.26815854362717395,2.0017623901367188,0.99945068359375,0.99945068359375,0.9987354278564453,2.0017623901367188,0.9961128234863281,0.9982585906982422,2.0036697387695312,1.9984245300292969,0.9996891021728516,67.5,1395.8333333333333,100.0,0.0,75.0,75.0,100.0,0.0,75.0,75.0,100.0,75.0,59.8,0.04888888888888886,60.0,60.2,59.8,59.9,59.7,59.7,60.0,59.6,59.6,59.5
